"Core","Core_assignment","texture","sat_level","treatment","flux_co2_nmol_g_s","flux_co2_nmol_gC_s","flux_ch4_nmol_g_s"
16,"Soil_sat_W","SCL",100,"Wetting",0.0798033943063302,0.957000790751631,1.76522757328937e-09
17,"Soil_sat_W","SCL",100,"Wetting",0.0404169351821151,0.484620328710447,1.11131629327081e-08
18,"Soil_sat_W","SCL",100,"Wetting",0.078683192459561,0.943500450676306,8.82337432609666e-09
19,"Soil_sat_W","SCL",100,"Wetting",0.0302390882273926,0.36263071311073,3.13032111337526e-21
20,"Soil_sat_W","SCL",100,"Wetting",0.0840333317609576,1.00774684617743,3.33535123812133e-08
21,"Soil_sat_D","SCL",100,"Drying",0.0244899493446748,0.293682117382461,-3.63183810436251e-09
22,"Soil_sat_D","SCL",100,"Drying",0.0247951952095253,0.297344416596885,-9.77073540870242e-08
23,"Soil_sat_D","SCL",100,"Drying",0.0237719392088374,0.285071779564812,-6.19842413113104e-11
24,"Soil_sat_D","SCL",100,"Drying",0.0203641017210123,0.244156701101205,-8.26901135488399e-08
25,"Soil_sat_D","SCL",100,"Drying",0.027697077049167,0.332095449566751,3.15546750177401e-09
26,"Soil_75_W","SCL",50,"Wetting",0.0222219256107876,0.266415582648646,-6.56466982787031e-09
27,"Soil_75_W","SCL",50,"Wetting",0.0600961499471334,0.720614699660506,7.90325893332897e-11
28,"Soil_75_W","SCL",50,"Wetting",0.020816350325062,0.249623320080051,-5.98223516979271e-10
29,"Soil_75_W","SCL",50,"Wetting",0.0206247086308372,0.247319414022142,2.89027868731995e-21
30,"Soil_75_W","SCL",50,"Wetting",0.0438432799903564,0.525780213632827,8.45182425607313e-11
31,"Soil_75_D","SCL",50,"Drying",0.0118282474320252,0.141831488683493,-1.42102934760756e-09
32,"Soil_75_D","SCL",50,"Drying",0.00585388853966064,0.0701970108517144,6.62689874245369e-08
33,"Soil_75_D","SCL",50,"Drying",0.0176965562645656,0.212211715603803,-2.26618361915956e-08
34,"Soil_75_D","SCL",50,"Drying",0.00127884822099717,0.0153332436609463,-7.67881496018128e-09
35,"Soil_75_D","SCL",50,"Drying",0.018103404287617,0.217065303816321,-1.62402489223816e-08
36,"Soil_dry_W","SCL",5,"Wetting",0.000460809038434532,0.00552581616055602,4.51737807246941e-11
37,"Soil_dry_W","SCL",5,"Wetting",0.000396571829341574,0.00475432818269554,1.41053964607374e-10
38,"Soil_dry_W","SCL",5,"Wetting",0.000158335987640155,0.00189836981214798,2.91050211794886e-21
39,"Soil_dry_W","SCL",5,"Wetting",0.000183271272556444,0.00219731493397891,1.36117742161906e-10
40,"Soil_dry_W","SCL",5,"Wetting",0.000462688161008792,0.00554831730851411,5.51365767363707e-22
41,"Soil_dry_D","SCL",5,"Drying",0.000758812425664033,0.00909993578700917,-7.31636430265766e-09
42,"Soil_dry_D","SCL",5,"Drying",0.000827946210046322,0.0099262287653602,-3.99107773702524e-08
43,"Soil_dry_D","SCL",5,"Drying",0.000138001173922531,0.00165475081884452,5.02421760659424e-21
44,"Soil_dry_D","SCL",5,"Drying",0.00051267128555481,0.00614788866123641,-1.71425537577625e-07
45,"Soil_dry_D","SCL",5,"Drying",0.000544690422839816,0.00653164605343466,-9.24683790340527e-10
