"Core_assignment","treatment","texture","perc_sat","formula","n","presence"
"Soil_50_D","Drying","SCL",35,"C10H7O10N2S2P1",5,1
"Soil_50_D","Drying","SCL",35,"C11H18O10N4S1",5,1
"Soil_50_D","Drying","SCL",35,"C11H23O6N4P1",5,1
"Soil_50_D","Drying","SCL",35,"C12H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C12H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C12H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C12H14O9",5,1
"Soil_50_D","Drying","SCL",35,"C12H24O6N4S1",5,1
"Soil_50_D","Drying","SCL",35,"C13H10O10",5,1
"Soil_50_D","Drying","SCL",35,"C13H10O11",5,1
"Soil_50_D","Drying","SCL",35,"C13H10O8",5,1
"Soil_50_D","Drying","SCL",35,"C13H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C13H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C13H12O11",5,1
"Soil_50_D","Drying","SCL",35,"C13H12O8",5,1
"Soil_50_D","Drying","SCL",35,"C13H12O9",5,1
"Soil_50_D","Drying","SCL",35,"C13H14O10",5,1
"Soil_50_D","Drying","SCL",35,"C13H14O11",5,1
"Soil_50_D","Drying","SCL",35,"C13H14O8",5,1
"Soil_50_D","Drying","SCL",35,"C13H14O9",5,1
"Soil_50_D","Drying","SCL",35,"C13H16O10",5,1
"Soil_50_D","Drying","SCL",35,"C13H16O7",5,1
"Soil_50_D","Drying","SCL",35,"C13H16O8",5,1
"Soil_50_D","Drying","SCL",35,"C13H16O9",5,1
"Soil_50_D","Drying","SCL",35,"C13H18O7",5,1
"Soil_50_D","Drying","SCL",35,"C13H18O8",5,1
"Soil_50_D","Drying","SCL",35,"C13H18O9",5,1
"Soil_50_D","Drying","SCL",35,"C13H20O10N4S1",5,1
"Soil_50_D","Drying","SCL",35,"C14H10O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H10O11",5,1
"Soil_50_D","Drying","SCL",35,"C14H10O7",5,1
"Soil_50_D","Drying","SCL",35,"C14H10O8",5,1
"Soil_50_D","Drying","SCL",35,"C14H10O9",5,1
"Soil_50_D","Drying","SCL",35,"C14H12O10",5,1
"Soil_50_D","Drying","SCL",35,"C14H12O11",5,1
