"pore_um","texture","treatment","vol_water_perc","start","stop","Diff","Diff_perc"
2727.27,"SCL","drying",73.72,2720,2730,0.0300000000000011,0.04
2727.27,"SL","drying",61.74,2720,2730,0.0599999999999952,0.1
2500,"SCL","drying",73.66,2490,2500,0.0600000000000023,0.08
2500,"SL","drying",61.62,2490,2500,0.120000000000005,0.19
2307.69,"SCL","drying",73.6,2300,2310,0.0600000000000023,0.08
2307.69,"SL","drying",61.5,2300,2310,0.119999999999997,0.19
2142.86,"SCL","drying",73.54,2140,2150,0.0599999999999881,0.08
2142.86,"SL","drying",61.41,2140,2150,0.0900000000000034,0.15
2000,"SCL","drying",73.48,1990,2000,0.0600000000000023,0.08
2000,"SL","drying",61.3,1990,2000,0.109999999999999,0.18
1875,"SCL","drying",73.42,1870,1880,0.0600000000000023,0.08
1875,"SL","drying",61.18,1870,1880,0.119999999999997,0.19
1764.71,"SCL","drying",73.37,1760,1770,0.0499999999999972,0.07
1764.71,"SL","drying",61.09,1760,1770,0.0899999999999963,0.15
1666.67,"SCL","drying",73.29,1660,1670,0.0799999999999983,0.11
1666.67,"SL","drying",60.95,1660,1670,0.140000000000001,0.23
1578.95,"SCL","drying",73.2,1570,1580,0.0900000000000034,0.12
1578.95,"SL","drying",60.81,1570,1580,0.140000000000001,0.23
1500,"SCL","drying",73.14,1490,1500,0.0600000000000023,0.08
1500,"SL","drying",60.7,1490,1500,0.109999999999999,0.18
1428.57,"SCL","drying",73.07,1420,1430,0.0700000000000074,0.09
1428.57,"SL","drying",60.59,1420,1430,0.109999999999999,0.18
1363.64,"SCL","drying",72.99,1360,1370,0.0799999999999983,0.11
1363.64,"SL","drying",60.47,1360,1370,0.120000000000005,0.19
1304.35,"SCL","drying",72.91,1300,1310,0.0799999999999983,0.11
1304.35,"SL","drying",60.34,1300,1310,0.129999999999995,0.21
1250,"SCL","drying",72.83,1240,1250,0.0799999999999983,0.11
1250,"SL","drying",60.21,1240,1250,0.130000000000003,0.21
1153.85,"SCL","drying",72.74,1150,1160,0.0900000000000034,0.12
1153.85,"SL","drying",60.07,1150,1160,0.140000000000001,0.23
1111.11,"SCL","drying",72.64,1110,1120,0.0999999999999943,0.14
1111.11,"SL","drying",59.92,1110,1120,0.149999999999999,0.24
1071.43,"SCL","drying",72.53,1070,1080,0.109999999999999,0.15
1071.43,"SL","drying",59.76,1070,1080,0.160000000000004,0.26
1034.48,"SCL","drying",72.42,1030,1040,0.109999999999999,0.15
1034.48,"SL","drying",59.6,1030,1040,0.159999999999997,0.26
967.74,"SCL","drying",72.3,960,970,0.120000000000005,0.16
967.74,"SL","drying",59.43,960,970,0.170000000000002,0.28
937.5,"SCL","drying",72.17,930,940,0.129999999999995,0.18
937.5,"SL","drying",59.25,930,940,0.18,0.29
882.35,"SCL","drying",72.03,880,890,0.140000000000001,0.19
882.35,"SL","drying",59.06,880,890,0.189999999999998,0.31
857.14,"SCL","drying",71.88,850,860,0.150000000000006,0.2
857.14,"SL","drying",58.86,850,860,0.200000000000003,0.32
810.81,"SCL","drying",71.72,810,820,0.159999999999997,0.22
810.81,"SL","drying",58.65,810,820,0.210000000000001,0.34
769.23,"SCL","drying",71.55,760,770,0.170000000000002,0.23
769.23,"SL","drying",58.43,760,770,0.219999999999999,0.36
750,"SCL","drying",71.37,740,750,0.179999999999993,0.24
750,"SL","drying",58.2,740,750,0.229999999999997,0.37
714.29,"SCL","drying",71.18,710,720,0.189999999999998,0.26
