"group","treatment","sat_level","texture","soil_type","rel_abund","se","relative_abundance"
"amide","Wetting",50,"SCL","Soil",0.92,0.13,"0.92 ± 0.13"
"amide","Wetting",100,"SCL","Soil",0.66,NA,"0.66 ± NA"
"amide","Wetting",100,"SL","Soil_sand",0.74,0.2,"0.74 ± 0.2"
"aromatic","Drying",5,"SCL","Soil",18.82,4.89,"18.82 ± 4.89"
"aromatic","Drying",5,"SL","Soil_sand",19.95,5.62,"19.95 ± 5.62"
"aromatic","Drying",35,"SCL","Soil",28.43,8.03,"28.43 ± 8.03"
"aromatic","Drying",35,"SL","Soil_sand",26.32,6.45,"26.32 ± 6.45"
"aromatic","Drying",50,"SCL","Soil",16.86,3.38,"16.86 ± 3.38"
"aromatic","Drying",50,"SL","Soil_sand",16.61,4.22,"16.61 ± 4.22"
"aromatic","Drying",75,"SCL","Soil",31.88,2.02,"31.88 ± 2.02"
"aromatic","Drying",75,"SL","Soil_sand",19.9,5.5,"19.9 ± 5.5"
"aromatic","Drying",100,"SCL","Soil",27.83,6.58,"27.83 ± 6.58"
"aromatic","Drying",100,"SL","Soil_sand",17.61,7.05,"17.61 ± 7.05"
"aromatic","FM",NA,"SCL","Soil",47.62,7.38,"47.62 ± 7.38"
"aromatic","FM",NA,"SL","Soil_sand",26.39,3.71,"26.39 ± 3.71"
"aromatic","Wetting",5,"SCL","Soil",29.07,3.65,"29.07 ± 3.65"
"aromatic","Wetting",5,"SL","Soil_sand",23.72,5.53,"23.72 ± 5.53"
"aromatic","Wetting",35,"SCL","Soil",62.61,6.27,"62.61 ± 6.27"
"aromatic","Wetting",35,"SL","Soil_sand",58.93,7.33,"58.93 ± 7.33"
"aromatic","Wetting",50,"SCL","Soil",41.81,10.41,"41.81 ± 10.41"
"aromatic","Wetting",50,"SL","Soil_sand",64.33,7.09,"64.33 ± 7.09"
"aromatic","Wetting",75,"SCL","Soil",49.1,16.34,"49.1 ± 16.34"
"aromatic","Wetting",75,"SL","Soil_sand",72,3.65,"72 ± 3.65"
"aromatic","Wetting",100,"SCL","Soil",43.91,2.23,"43.91 ± 2.23"
"aromatic","Wetting",100,"SL","Soil_sand",47.12,4.62,"47.12 ± 4.62"
