"Core","FTICR_ID","npoc_mg_l","texture","treatment","sat_level","Core_assignment"
"16","FT001",15.73,"SCL","Wetting",100,"Soil_sat_W"
"17","FT002",16.94,"SCL","Wetting",100,"Soil_sat_W"
"18","FT003",16.33,"SCL","Wetting",100,"Soil_sat_W"
"19","FT004",17.96,"SCL","Wetting",100,"Soil_sat_W"
"20","FT005",18.13,"SCL","Wetting",100,"Soil_sat_W"
"21","FT006",6.17,"SCL","Drying",100,"Soil_sat_D"
"22","FT007",7.35,"SCL","Drying",100,"Soil_sat_D"
"23","FT008",5.29,"SCL","Drying",100,"Soil_sat_D"
"24","FT009",8.48,"SCL","Drying",100,"Soil_sat_D"
"25","FT010",6.35,"SCL","Drying",100,"Soil_sat_D"
"26","FT011",16.05,"SCL","Wetting",50,"Soil_75_W"
"27","FT012",10.56,"SCL","Wetting",50,"Soil_75_W"
"28","FT013",16.9,"SCL","Wetting",50,"Soil_75_W"
"29","FT014",18.92,"SCL","Wetting",50,"Soil_75_W"
"30","FT015",17.04,"SCL","Wetting",50,"Soil_75_W"
"31","FT016",5.86,"SCL","Drying",50,"Soil_75_D"
"32","FT017",6.21,"SCL","Drying",50,"Soil_75_D"
"33","FT018",7.04,"SCL","Drying",50,"Soil_75_D"
"34","FT019",4.46,"SCL","Drying",50,"Soil_75_D"
"35","FT020",5.68,"SCL","Drying",50,"Soil_75_D"
"36","FT021",34.38,"SCL","Wetting",5,"Soil_dry_W"
"37","FT022",36.29,"SCL","Wetting",5,"Soil_dry_W"
"38","FT023",34.92,"SCL","Wetting",5,"Soil_dry_W"
"39","FT024",38.85,"SCL","Wetting",5,"Soil_dry_W"
"40","FT025",37.11,"SCL","Wetting",5,"Soil_dry_W"
"41","FT026",25.23,"SCL","Drying",5,"Soil_dry_D"
"42","FT027",31.33,"SCL","Drying",5,"Soil_dry_D"
"43","FT028",27.46,"SCL","Drying",5,"Soil_dry_D"
"44","FT029",25.57,"SCL","Drying",5,"Soil_dry_D"
"45","FT030",25.29,"SCL","Drying",5,"Soil_dry_D"
"71","FT031",16.21,"SL","Wetting",100,"Soil_sand_sat_W"
"72","FT032",18.05,"SL","Wetting",100,"Soil_sand_sat_W"
"73","FT033",19.03,"SL","Wetting",100,"Soil_sand_sat_W"
"74","FT034",13.84,"SL","Wetting",100,"Soil_sand_sat_W"
"75","FT035",17.94,"SL","Wetting",100,"Soil_sand_sat_W"
"76","FT036",5.58,"SL","Drying",100,"Soil_sand_sat_D"
"77","FT037",6.57,"SL","Drying",100,"Soil_sand_sat_D"
"78","FT038",6.01,"SL","Drying",100,"Soil_sand_sat_D"
"79","FT039",5.42,"SL","Drying",100,"Soil_sand_sat_D"
"80","FT040",8.34,"SL","Drying",100,"Soil_sand_sat_D"
"81","FT041",14.57,"SL","Wetting",75,"Soil_sand_75_W"
"82","FT042",13.27,"SL","Wetting",75,"Soil_sand_75_W"
"83","FT043",14.63,"SL","Wetting",75,"Soil_sand_75_W"
"84","FT044",13.39,"SL","Wetting",75,"Soil_sand_75_W"
