Core,ppm,Intensity,Width,Area,Flags
147,4.33,0.2,1.53,2.9,None
148,7.25,0.1,14.72,25.5,None
148,7.12,0.1,17.37,33.33,None
148,7,0.1,16.46,14.06,None
148,7,0.1,12.47,10.33,None
148,6.52,0.1,1.45,0.92,None
148,4.36,0.1,1.8,1.92,None
148,4.34,0.2,1.9,4.74,None
148,4.33,0.1,1.71,2.84,None
148,3.95,0.1,10.06,7.31,None
149,7.24,0.1,30.8,29.89,None
149,7.12,0.1,34.46,64.51,None
149,7.01,0.1,25.77,34.49,None
149,6.52,0.1,1.54,1.39,None
150,8.13,0.1,1.2,1.11,None
150,7.26,0.1,7.11,5.34,None
150,7.24,0.8,2.48,25.72,None
150,7.13,0.1,7.35,6.01,None
150,7.11,0.9,2.37,26.3,None
150,6.99,0.8,2.45,25.78,None
150,6.52,0.4,2.08,9.34,None
150,4.35,0.1,11.18,11.67,None
150,2.96,0.1,1.82,1.49,None
151,7.22,0.1,20.86,34.78,None
151,7.09,0.2,26.58,67.8,None
151,6.97,0.2,22.68,42.08,None
151,6.53,0.1,1.57,1.03,None
151,6.52,0.5,1.74,10.14,None
152,7.22,0.1,23.54,25.76,None
152,7.1,0.2,47.3,107.97,None
152,6.97,0.1,24.99,34.95,None
153,7.22,0.1,21.93,40.27,None
153,7.09,0.2,25.09,58.16,None
153,6.97,0.1,22.05,39.96,None
153,6.52,0.2,1.56,3.47,None
153,3.51,0.5,2.45,15.77,None
154,7.22,0.2,26.66,61.37,None
154,7.1,0.1,36.72,46.48,None
154,7.09,0.1,15.84,14.81,None
154,6.98,0.1,26.01,39.47,None
154,3.5,0.6,2.79,20.56,None
155,7.21,0.1,29.4,47.02,None
155,7.09,0.2,37.42,88.46,None
155,6.98,0.1,32.81,47.89,None
156,7.49,0.1,4.42,3.15,None
156,7.13,0.1,77.49,91.1,None
157,6.52,0.2,1.17,3.41,None
158,7.23,0.1,11.29,8.33,None
158,7.1,0.1,11.23,8.71,None
158,6.97,0.1,11.98,8.9,None
158,6.52,0.1,1.24,0.89,None
159,7.24,0.1,20.8,24.12,None
159,7.12,0.1,24.88,27.31,None
159,6.99,0.1,19.19,18.05,None
160,7.26,0.1,4.93,3.47,None
160,7.24,0.4,2.52,14.16,None
160,7.14,0.1,4.81,3.78,None
160,7.11,0.5,2.35,14.51,None
160,7.01,0.1,5.69,5.09,None
160,6.99,0.4,2.45,13.83,None
160,6.52,0.4,2.11,11.45,None
18,7.06,0.2,29.86,92.32,None
18,4.35,0.1,1.47,1.75,None
18,4.34,0.2,1.61,4.42,None
18,4.33,0.1,1.71,2.71,None
18,3.49,0.1,4.35,4.61,None
19,8.13,0.1,2.23,2.04,None
19,7.2,0.1,35.18,37.46,None
19,7.09,0.2,45.95,85.01,None
19,6.99,0.1,31.12,20.05,None
19,6.52,0.1,1.23,0.96,None
19,4.36,0.1,1.6,1.85,None
19,4.35,0.2,1.64,4.42,None
19,4.34,0.1,1.7,2.63,None
22,7.22,0.3,4.65,20.17,None
22,7.09,0.3,4.09,17.71,None
22,6.99,0.1,8.65,6.03,None
22,6.97,0.3,4.36,18.02,None
