"Mass","formula","HC","OC"
277.108159006372,"C15H18O5",1.2,0.33
277.14452540949,"C16H22O4",1.38,0.25
277.179992836332,"C11H27O2N4P1",2.45,0.18
277.180846528489,"C17H26O3",1.53,0.18
279.014623856506,"C12H8O8",0.67,0.67
279.050100049388,"C7H13O6N4P1",1.86,0.86
279.05099105011,"C13H12O7",0.92,0.54
279.087393441849,"C14H16O6",1.14,0.43
279.123808364178,"C15H20O5",1.33,0.33
280.913782798548,"C10H3O4S2P1",0.3,0.4
281.030320546263,"C12H10O8",0.83,0.67
281.052836779665,"C10H10O6N4",1,0.6
281.066648542541,"C13H14O7",1.08,0.54
281.10305959706,"C14H18O6",1.29,0.43
281.105919643298,"C13H19O3N2P1",1.46,0.23
281.139463608568,"C15H22O5",1.47,0.33
281.175864968567,"C16H26O4",1.62,0.25
283.009445719318,"C11H8O9",0.73,0.82
283.02480743391,"C15H8O6",0.53,0.4
283.045968676928,"C12H12O8",1,0.67
283.060546268022,"C8H16O7N2S1",2,0.88
283.06119457751,"C16H12O5",0.75,0.31
283.082366187205,"C13H16O7",1.23,0.54
283.097699715011,"C17H16O4",0.94,0.24
283.118697392033,"C14H20O6",1.43,0.43
283.15506234776,"C15H24O5",1.6,0.33
283.264191473688,"C18H36O2",2,0.11
283.264390527627,"C18H36O2",2,0.11
285.004034002203,"C14H6O7",0.43,0.5
285.025244810019,"C11H10O9",0.91,0.82
285.040532884391,"C15H10O6",0.67,0.4
285.050785413695,"C16H15O1S1P1",0.94,0.06
285.061570380443,"C12H14O8",1.17,0.67
285.076874131306,"C16H14O5",0.88,0.31
285.09695832276,"C7H19O6N4P1",2.71,0.86
285.097976331654,"C13H18O7",1.38,0.54
285.11321430177,"C17H18O4",1.06,0.24
285.126100360389,"C14H23O4P1",1.64,0.29
285.13441308696,"C14H22O6",1.57,0.43
285.148505819616,"C12H23O2N4P1",1.92,0.17
285.170760821105,"C15H26O5",1.73,0.33
286.129612657202,"C13H21O6N1",1.62,0.46
287.019767276505,"C14H8O7",0.57,0.5
287.040774980603,"C11H12O9",1.09,0.82
287.056046673629,"C15H12O6",0.8,0.4
287.059614196733,"C12H16O6S1",1.33,0.5
287.07732966486,"C12H16O8",1.33,0.67
287.091780719919,"C8H20O7N2S1",2.5,0.88
287.091977702167,"C8H20O7N2S1",2.5,0.88
287.092476420235,"C16H16O5",1,0.31
287.113633641613,"C13H20O7",1.54,0.54
287.128929931591,"C17H20O4",1.18,0.24
287.149995816627,"C14H24O6",1.71,0.43
287.165333515774,"C18H24O3",1.33,0.17
288.954353608173,"C12H3O7P1",0.25,0.58
288.986630140415,"C8H7O8N2P1",0.88,1
288.999046929905,"C13H6O8",0.46,0.62
289.035415895726,"C14H10O7",0.71,0.5
289.070660611358,"C9H15O5N4P1",1.67,0.56
289.071036035269,"C7H18O8N2S1",2.57,1.14
289.071787850763,"C15H14O6",0.93,0.4
289.093024735818,"C12H18O8",1.5,0.67
289.108169188882,"C16H18O5",1.12,0.31
289.129248922981,"C13H22O7",1.69,0.54
289.14452733946,"C17H22O4",1.29,0.24
289.165704270805,"C14H26O6",1.86,0.43
289.986874105405,"C13H10O1N1S2P1",0.77,0.08
290.969124258613,"C15H4O1N2S2",0.27,0.07
291.014654133128,"C13H8O8",0.62,0.62
291.051012957494,"C14H12O7",0.86,0.5
291.087423066895,"C15H16O6",1.07,0.4
291.123839893398,"C16H20O5",1.25,0.31
291.16008466436,"C17H24O4",1.41,0.24
291.160284734981,"C17H24O4",1.41,0.24
291.953243334525,"C15H3O2N1S2",0.2,0.13
292.004873171017,"C9H12O6N1S1P1",1.33,0.67
292.993902227742,"C12H6O9",0.5,0.75
293.030315608738,"C13H10O8",0.77,0.62
293.033724986445,"C10H14O8S1",1.4,0.8
293.065789954682,"C8H15O6N4P1",1.88,0.75
293.066665970778,"C14H14O7",1,0.5
293.103034216997,"C15H18O6",1.2,0.4
293.139489099986,"C16H22O5",1.38,0.31
293.172794995877,"C13H30O1N2S2",2.31,0.08
293.1758735663,"C17H26O4",1.53,0.24
293.179256729741,"C14H30O4S1",2.14,0.29
293.989055612649,"C11H5O9N1",0.45,0.82
295.009517578804,"C12H8O9",0.67,0.75
295.024763671156,"C16H8O6",0.5,0.38
295.044789586637,"C7H13O7N4P1",1.86,1
295.045935494805,"C13H12O8",0.92,0.62
295.054693260003,"C16H12O2N2S1",0.75,0.12
295.061188093549,"C17H12O5",0.71,0.29
295.082354010925,"C14H16O7",1.14,0.5
295.11871950441,"C15H20O6",1.33,0.4
295.155045452926,"C16H24O5",1.5,0.31
295.155208841435,"C16H24O5",1.5,0.31
295.983653749749,"C14H3O7N1",0.21,0.5
297.004142209523,"C15H6O7",0.4,0.47
297.025194995186,"C12H10O9",0.83,0.75
297.040442915185,"C16H10O6",0.62,0.38
297.061594841755,"C13H14O8",1.08,0.62
297.076817653998,"C17H14O5",0.82,0.29
297.096892519126,"C8H19O6N4P1",2.38,0.75
297.097970512891,"C14H18O7",1.29,0.5
297.113284149424,"C18H18O4",1,0.22
297.134354440186,"C15H22O6",1.47,0.4
297.152961492168,"C16H26O3S1",1.62,0.19
297.155392082747,"C12H26O8",2.17,0.67
297.170754824707,"C16H26O5",1.62,0.31
297.185976436267,"C20H26O2",1.3,0.1
298.01552946866,"C8H14O7N1S1P1",1.75,0.88
298.125608038435,"C9H21O8N3",2.33,0.89
299.018086061233,"C9H17O5S2P1",1.89,0.56
299.019723395532,"C15H8O7",0.53,0.47
299.027057109992,"C9H8O8N4",0.89,0.89
299.040857088716,"C12H12O9",1,0.75
299.055128575675,"C10H13O5N4P1",1.3,0.5
299.056095379989,"C16H12O6",0.75,0.38
299.077266574503,"C13H16O8",1.23,0.62
299.087653165564,"C14H21O3S1P1",1.5,0.21
299.091753896958,"C9H20O7N2S1",2.22,0.78
299.092539747069,"C17H16O5",0.94,0.29
299.113592357442,"C14H20O7",1.43,0.5
