"Core_assignment","H"
"Soil_50_D",1.28
"Soil_50_W",1.25
"Soil_75_D",1.37
"Soil_75_W",1.33
"Soil_dry_W",1.46
"Soil_fm",1.31
"Soil_sat_D",1.03
"Soil_sat_W",1.3
