Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,FT061,FT062,FT063,FT064,FT065,FT066,FT067,FT068,FT069,FT070,FT114
138.115769704654,0,0,0,0,0,0,0,0,,None,139.123046171534,0,0,0,0,0,0,0,0,0,881077,0,0,0
138.167075560458,0,0,0,0,0,0,0,0,,None,139.174352027338,0,0,0,0,0,0,898554,0,0,0,0,0,0
138.186166531264,0,0,0,0,0,0,0,0,,None,139.193442998144,0,0,0,0,0,880878,0,0,0,0,0,0,0
138.214072705827,0,0,0,0,0,0,0,0,,None,139.221349172707,0,0,0,0,0,0,0,0,0,920016,0,0,0
138.217704034539,0,0,0,0,0,0,0,0,,None,139.224980501419,0,0,0,0,0,0,0,965134,0,0,0,0,0
138.220260532638,0,0,0,0,0,0,0,0,,None,139.227536999518,0,0,0,0,0,894319,0,0,0,0,0,0,0
138.233830098791,0,0,0,0,0,0,0,0,,None,139.241106565671,0,0,1229455,1153564,0,0,1375514,0,4255404,77886624,1552631,0,1048944
138.246192533682,0,0,0,0,0,0,0,0,,None,139.253469000562,0,0,0,0,0,1075948,0,0,0,0,0,0,0
138.247656533741,0,0,0,0,0,0,0,0,,None,139.254933000621,0,0,0,0,0,1144479,0,0,0,0,0,0,0
138.255351806601,0,0,0,0,0,0,0,0,,None,139.262628273481,0,0,0,0,0,0,0,0,0,0,871531,0,0
138.260612034779,0,0,0,0,0,0,0,0,,None,139.267888501659,0,0,0,0,0,0,0,1024342,0,0,0,0,0
138.267927562501,0,0,0,0,0,0,0,0,,None,139.275204029381,0,0,0,0,0,0,942261,0,0,0,0,0,0
138.279187706605,0,0,0,0,0,0,0,0,,None,139.286464173485,0,0,0,0,0,0,0,0,0,897829,0,0,0
138.280455438333,0,0,0,0,0,0,0,0,,None,139.287731905213,0,0,0,871662,0,0,0,0,0,0,0,0,0
138.487985709097,0,0,0,0,0,0,0,0,,None,139.495262175977,0,0,0,0,0,0,0,0,0,930197,0,0,0
138.535222545301,0,0,0,0,0,0,0,0,,None,139.542499012181,0,0,0,0,0,932622,0,0,0,0,0,0,0
138.558274742298,0,0,0,0,0,0,0,0,,None,139.565551209178,0,0,0,0,0,0,0,0,0,0,0,0,907973
138.57682325626,0,0,0,0,0,0,0,0,,None,139.58409972314,0,0,878213,0,0,0,0,0,0,0,0,0,0
138.581673741841,0,0,0,0,0,0,0,0,,None,139.588950208721,0,0,0,0,0,0,0,0,0,0,0,0,901755
138.606070815947,0,0,0,0,0,0,0,0,,None,139.613347282827,0,0,0,0,0,0,0,0,0,0,877597,0,0
138.642096710936,0,0,0,0,0,0,0,0,,None,139.649373177816,0,0,0,0,0,0,0,0,0,870380,0,0,0
138.784986338449,0,0,0,0,0,0,0,0,,None,139.792262805329,0,0,0,0,0,0,0,0,0,0,0,882043,0
138.849449574118,0,0,0,0,0,0,0,0,,None,139.856726040998,0,0,0,0,0,0,906219,0,0,0,0,0,0
139.159491512483,0,0,0,0,0,0,0,0,,None,140.166767979363,0,0,0,881660,0,0,0,0,0,0,0,0,0
139.171951883316,0,0,0,0,0,0,0,0,,None,140.179228350196,0,0,917376,1075460,0,0,0,0,0,0,0,0,0
139.172141513542,0,0,0,0,0,0,0,0,,None,140.179417980422,0,0,0,1046470,0,0,0,0,0,0,0,0,0
139.20925403982,0,0,0,0,0,0,0,0,,None,140.2165305067,0,0,0,0,0,0,0,927193,0,0,0,0,0
139.282446013074,0,0,0,0,0,0,0,0,,None,140.289722479954,0,0,0,0,1090828,1540667,2010397,1959882,0,0,1787155,0,1341774
