m/z,I,S/N,Res.
124.87215,1095911,4.3,1123350
125.442273,874511,3.2,1374059
125.729281,897358,3.3,1213208
125.817889,847749,3.1,1436340
126.336366,952718,3.6,1113620
127.200043,857368,3.1,1181046
127.211896,862839,3.1,1051231
127.389368,1016020,3.9,1289644
128.147275,858619,3.1,859151
128.42578,840873,3,1091413
128.427048,888562,3.3,851653
128.70861,893728,3.3,1281279
129.055606,862830,3.1,1254806
129.590705,847057,3,1355202
129.622809,1362456,5.6,1487806
130.336159,880715,3.2,1292076
130.380005,933218,3.5,1258154
130.60013,888487,3.3,938204
130.617257,892299,3.3,889613
131.40999,849921,3.1,1330573
131.427216,841893,3,1292221
131.869826,839307,3,1271851
132.466442,848390,3.1,1281233
133.37238,864852,3.1,1035312
135.790136,922688,3.4,1302966
136.30933,900076,3.3,1181104
137.338322,875697,3.2,925837
138.075913,858489,3.1,1049577
138.077547,846737,3,1266367
138.139255,859452,3.1,1037064
138.233275,1333956,5.4,1292446
139.312015,846714,3,887379
139.488965,838670,3,939731
139.958799,2730068,12.2,1140949
140.032205,941507,3.5,1145635
140.249525,858347,3.1,1522687
140.957785,840969,3,1236289
141.271213,875208,3.2,798645
141.293301,941488,3.5,1186199
142.555393,846663,3,1346946
142.966734,875228,3.2,828787
143.584876,853169,3.1,1088239
143.664185,874985,3.2,1127754
146.145338,990847,3.8,1169353
146.147994,885255,3.2,898234
146.149417,841479,3,625242
146.228253,866167,3.1,1147273
146.42404,879521,3.2,1355055
146.912149,901326,3.3,1124786
148.268753,870806,3.2,1108730
148.427787,924120,3.4,1235851
150.324621,848617,3.1,1336318
151.265343,849470,3.1,1098840
151.808625,843611,3,1190353
151.831284,952300,3.6,1190997
152.495266,899133,3.3,817467
153.331438,969686,3.6,596430
153.427242,2927625,13.2,927066
153.4557,945146,3.5,964148
153.842505,996326,3.8,980781
154.634778,869168,3.2,919311
156.165219,845114,3,884017
158.299853,851351,3.1,968536
158.644748,847703,3,783694
158.841249,840296,3,786898
159.864989,952915,3.6,1183565
160.169647,956131,3.6,1004074
160.180034,842067,3,798390
161.037467,843697,3,883594
161.369356,858308,3.1,879572
163.331772,896534,3.3,1155619
164.712456,856508,3.1,945105
165.96089,843230,3,975003
166.202355,912207,3.3,985240
167.240997,896215,3.3,1062522
167.730827,850361,3,934053
168.789249,948486,3.5,978122
169.226115,903735,3.3,712317
169.26801,911690,3.3,1065162
170.461553,925700,3.4,804642
172.000895,853950,3.1,1018477
172.304449,867862,3.1,830620
174.325874,871741,3.1,694995
174.371282,8248065,38.9,868188
174.466771,869097,3.1,794113
174.771269,940675,3.5,1048421
175.059291,923931,3.4,980864
175.367369,859446,3.1,726396
175.55159,901158,3.3,920164
176.062541,947634,3.5,989651
176.130509,847064,3,1262326
176.379385,869358,3.1,850480
177.012091,875173,3.2,875328
178.868185,861580,3.1,1012393
179.342892,10874040,51.5,785255
179.343469,1577272,6.5,480061
179.351305,1301753,5.2,769763
180.911786,883113,3.2,824677
183.477075,853917,3,459376
184.856317,918402,3.3,886487
185.444691,853084,3,740659
185.913894,866474,3.1,985388
190.214808,852758,3,890227
191.992032,875977,3.1,1140516
192.416052,871924,3.1,839124
194.624857,854292,3,770957
195.591344,891317,3.2,620298
198.495194,855643,3,847315
202.747515,1107906,4.2,831945
207.53923,889168,3.2,564791
208.541986,855854,3,280502
209.29752,870900,3.1,725369
209.570629,862285,3,826300
221.065363,864416,3,873197
221.347398,870646,3.1,664391
221.844861,901598,3.2,734106
223.091406,893312,3.2,613634
223.390285,881240,3.1,857964
226.003456,865123,3,661965
230.521483,947325,3.4,661178
231.023747,879395,3.1,795449
232.890027,1001009,3.7,796810
232.890665,937265,3.4,682609
233.211776,994698,3.6,597591
233.232353,867467,3,508649
236.519291,880198,3.1,747882
238.776929,871156,3,603840
241.443763,872324,3,627390
242.978173,886397,3.1,507128
243.426954,874913,3,472197
244.255908,868067,3,678581
245.903756,871593,3,615214
249.972721,871998,3,600043
250.87154,895564,3.1,847176
258.521834,1008010,3.6,744245
259.912504,899667,3.1,439438
262.784138,2007737,8.3,641220
264.7812,1395598,5.4,662629
265.148083,3056823,13.2,581208
266.778292,943980,3.3,767010
266.804024,1076591,3.9,681886
268.801117,2201685,9.2,609109
269.103282,946552,3.3,779243
270.798183,1190468,4.4,641507
271.11885,896875,3.1,725903
271.227993,1242488,4.7,708062
273.040595,1151579,4.2,634972
274.971851,987091,3.5,435820
277.108381,1062640,3.8,611344
277.14475,1030517,3.7,542345
277.181089,5866618,25.9,538035
278.184551,1108738,4,571658
279.087601,1911679,7.7,618827
279.12397,1859460,7.5,650645
279.163127,2458762,10.2,443529
279.163747,6027658,26.6,548016
279.917393,173052400,787.1,429871
279.917977,529502720,2410.4,586267
280.787654,893422,3,514743
280.915061,1698433,6.7,602151
280.917419,7942785,35.1,568406
280.920785,4342402,18.7,537485
280.9214,11068033,49.3,583406
280.932645,997507,3.5,700947
281.066891,1638550,6.4,556179
281.103242,1805467,7.2,347179
281.139626,1868705,7.4,538972
281.176009,1372838,5.2,614288
281.913247,16982800,76.3,434291
281.91384,44749584,202.7,568131
281.922307,4366097,18.8,566253
282.91721,1303458,4.9,832464
283.082553,1832122,7.3,608529
283.118911,1631935,6.4,556087
283.15529,1294021,4.8,497875
283.909665,1063220,3.8,745260
285.097569,933605,3.2,800148
285.09817,1385445,5.2,644040
285.134522,1024490,3.6,512036
285.20741,1301237,4.9,685878
287.056386,1743374,6.8,286449
287.092731,993812,3.4,348768
287.113892,1079063,3.8,615356
287.22293,1003816,3.5,412131
287.567225,913117,3.1,489992
288.987539,989242,3.4,594140
289.035644,1241153,4.5,467407
289.071966,1522503,5.8,607386
289.108315,1409357,5.3,556858
289.547821,908306,3,511068
291.051267,1668737,6.5,458499
291.087601,2241158,9.1,602632
291.12398,2499212,10.2,618189
291.160496,1431186,5.4,393978
291.196776,1195672,4.3,768079
292.891714,2080682,8.3,257211
293.030415,1347520,5,640731
293.066936,1671366,6.4,259514
293.103278,3554764,14.9,565977
293.139604,2260178,9.1,519124
293.176076,17086936,75.5,517415
293.179433,3585496,15,471369
294.179426,3301500,13.7,407637
295.046154,1669388,6.4,274517
295.08252,3147026,13,310474
295.118964,4818712,20.5,539159
295.15532,2385182,9.6,567579
296.12229,1103295,3.9,657719
297.061837,2333277,9.4,542504
297.077061,954463,3.2,657713
297.098252,3954787,16.7,302523
297.134576,3774569,15.9,508350
297.15325,18357356,81.2,516158
297.171074,1166959,4.2,565214
297.243697,1064827,3.7,719300
298.137944,942867,3.1,587075
298.15654,3057942,12.5,462743
299.026586,1156267,4.1,712094
299.056259,1353904,5,565502
299.077504,2118323,8.4,491438
299.092703,1320886,4.8,555170
299.11386,2738618,11.1,461958
299.150253,1833792,7.1,398063
299.186681,1129926,4,409380
299.22289,1261004,4.6,685388
299.259361,926931,3.1,400005
300.117167,963046,3.2,533998
301.035561,1719557,6.6,624010
301.056764,1116681,3.9,369724
301.071984,1593612,6,360313
301.093073,1441551,5.4,463271
301.10837,1532178,5.8,624264
301.129521,1922326,7.5,543438
301.144728,1119256,3.9,597391
301.165905,1767708,6.8,438257
301.23879,972841,3.3,662829
302.132844,994245,3.4,660272
303.014841,923616,3,504500
303.051264,2145894,8.5,299518
303.087661,2526828,10.2,304036
303.124035,2285171,9.1,525124
303.160368,1322873,4.8,415594
305.030512,1593541,6,466885
305.066834,3290571,13.4,545681
305.103319,3358674,13.7,440280
305.139673,2801624,11.3,502405
306.106679,1083014,3.7,609743
306.907321,9186070,39.4,492566
306.963504,954400,3.2,521907
307.046227,3137327,12.8,581870
307.082526,4371253,18.2,485305
307.118954,4474684,18.7,508496
307.155372,4783939,20,495949
307.1587,5240643,22,465307
307.191686,1371977,5,566721
307.906973,1717450,6.5,463545
308.158675,921976,3,379252
308.904145,1168512,4.1,521942
309.025482,1472406,5.4,546559
309.061748,3568797,14.7,497264
309.098217,6537379,27.7,472898
309.134591,6608042,28.1,465408
309.171,16311473,70.8,463910
309.174358,11785393,50.9,471172
309.207394,1349047,4.9,617778
310.101592,1237339,4.4,617934
310.137956,1362786,5,598021
310.174341,3224424,13.2,466649
310.17778,1578857,5.9,399274
311.041085,2061320,8,560045
311.05638,1090315,3.7,279835
311.077444,5551631,23.2,512983
311.092855,1126673,3.9,480377
311.113897,7212565,30.4,424052
311.150255,4198940,17.3,499493
311.16887,43132448,187.2,471603
311.186702,1697827,6.4,543728
311.222907,1802537,6.8,437136
312.117165,1359823,4.9,502013
312.1722,8328921,35.3,460363
312.728952,1141056,3.9,392338
313.035586,1470073,5.4,368883
313.056787,2610557,10.3,422109
313.07202,1663104,6.2,485847
313.093091,5257092,21.9,493120
313.107925,1124487,3.9,327693
313.129538,6859659,28.9,449429
313.165833,2337938,9.2,386102
313.202232,1299096,4.6,513926
313.238642,2543519,10.1,433813
314.13277,1377606,5,685873
314.725817,2663093,10.6,492032
315.014959,1169259,4.1,455393
315.051245,2702066,10.7,518360
315.072422,2259702,8.8,513570
315.087693,2316537,9.1,529263
315.108783,3169021,12.8,477093
315.123979,2228480,8.7,516615
315.145201,3076868,12.4,505128
315.160438,1492230,5.5,520640
315.181507,3534602,14.4,450305
315.217907,1057297,3.6,402627
315.254283,3392792,13.8,517013
316.722931,1913389,7.3,537935
317.030604,1997415,7.7,473379
317.066911,4021870,16.5,501784
317.103353,3488885,14.2,489460
317.124491,1694329,6.3,524532
317.139663,3657340,14.9,507682
317.160836,1455232,5.3,541931
317.176108,1330306,4.8,614655
318.720079,1033895,3.4,647236
318.745843,2980780,11.8,471065
319.009724,1049055,3.5,319280
319.046145,4057574,16.5,441879
319.082611,4782061,19.6,443538
319.118925,5121012,21,473103
319.155387,3171322,12.6,522071
319.190638,1107841,3.7,443665
319.191718,1235969,4.3,580199
320.122306,1217971,4.2,559747
320.74288,6658346,27.7,477205
320.922977,12895564,54.6,446703
321.025474,2230112,8.6,570001
321.061841,5035367,20.7,473738
321.098247,6417774,26.6,435453
321.134591,6915445,28.8,450799
321.171043,2640252,10.3,414443
321.207259,950147,3.1,661185
321.210753,1661571,6.1,536363
321.922534,2656268,10.4,489110
322.101747,1363374,4.8,401010
322.138037,1464629,5.3,436598
322.739982,5022377,20.6,460444
322.769594,963247,3.1,496544
322.919809,1692364,6.3,536384
323.041145,3684067,14.8,489310
