"Inst_blank_0316_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
"Acquired      03/16/2020,    4:56  PM",,,,,
#,m/z,I,S/N,Res.,
1,138.345547,512806,3.2,1144987,
2,139.360694,487923,3,1174865,
3,139.9921,488930,3,1225928,
4,140.710744,701384,4.8,1354695,
5,140.878738,506583,3.2,751074,
6,140.88632,882935,6.3,792407,
7,141.250219,3696802,29.9,1112215,
8,141.74104,502291,3.1,1258550,
9,142.112261,499014,3.1,1310097,
10,142.784498,509083,3.2,1366517,
11,142.977378,544221,3.5,979960,
12,142.981066,1002633,7.3,1203959,
13,144.369764,542382,3.5,1191406,
14,144.413959,500580,3.1,1145476,
15,145.118378,533167,3.4,1229309,
16,145.681045,519004,3.3,792762,
17,146.463292,525321,3.3,1146951,
18,148.102949,488922,3,922517,
19,149.692814,487321,3,1267425,
20,149.892928,513450,3.2,1034521,
21,149.92353,512347,3.2,1272885,
22,150.665948,542373,3.5,1153726,
23,151.409424,522927,3.3,1242766,
24,155.337025,506076,3.2,1343736,
25,155.515942,503239,3.1,1332074,
26,156.192209,497986,3.1,1088856,
27,156.70401,547353,3.5,1018979,
28,160.370286,490345,3,1180215,
29,160.591433,699145,4.8,850924,
30,160.748913,501089,3.1,1151342,
31,160.994326,490424,3,1221481,
32,161.139354,498348,3.1,1248617,
33,161.14506,487660,3,998852,
34,161.156631,501588,3.1,932342,
35,162.979814,509045,3.2,1004469,
36,165.505016,497680,3.1,1295386,
37,166.334591,493390,3.1,1019830,
38,167.522803,517053,3.3,874199,
39,167.829207,495046,3.1,930107,
40,167.83651,508622,3.2,1185824,
41,168.043526,502927,3.1,1036674,
42,170.673827,494859,3.1,1109155,
43,171.386626,495327,3.1,1184741,
44,171.766086,487458,3,1085230,
45,172.353331,782358,5.5,1014494,
46,172.684974,856920,6.1,625779,
47,172.79856,522305,3.3,741927,
48,174.288728,546781,3.5,984130,
49,174.371833,4629302,37.8,1041566,
50,174.666039,493792,3.1,1010327,
51,176.779169,518677,3.3,1061018,
52,177.347807,1217371,9.1,697318,
53,177.62681,542775,3.5,911770,
54,178.681671,495459,3.1,943888,
55,178.980264,510135,3.2,867848,
56,179.644851,510472,3.2,744989,
57,180.638415,506557,3.2,1172628,
58,180.758714,521599,3.3,972605,
59,181.552343,508618,3.2,983057,
60,182.26572,561797,3.6,970078,
61,184.000917,519216,3.3,949014,
62,184.002021,527217,3.3,993273,
63,185.427695,498857,3.1,988771,
64,187.014173,683846,4.6,1067250,
65,188.223531,505869,3.1,453359,
66,190.180074,494996,3.1,950596,
67,190.206602,942869,6.8,479924,
68,190.221346,522565,3.3,947579,
69,190.619221,492237,3,407196,
70,191.601509,492706,3,902549,
71,191.918722,553321,3.5,990498,
72,192.951932,511152,3.2,987726,
73,194.286911,499791,3.1,903492,
74,196.896641,552622,3.5,966053,
75,197.605252,493247,3,879556,
76,197.728588,495682,3.1,432688,
77,202.895403,532795,3.4,821904,
