m/z,Magnitude,S/N,Res.
138.246158,880794,3.1,936434
139.846589,887289,3.1,1450395
139.884672,909711,3.2,1404412
139.889051,871727,3.1,1337238
139.890361,1008119,3.7,554674
139.891802,1098367,4.1,413319
139.892562,900324,3.2,552132
139.893045,1133136,4.3,1022267
139.894734,1084020,4.1,1352163
139.895919,1023485,3.8,1489143
139.898019,1251052,4.8,1150180
139.899309,921991,3.3,1231300
139.899754,1245991,4.8,933826
139.900867,1059988,3.9,614400
139.901729,1432061,5.7,352088
139.901961,1396778,5.5,1439519
139.902759,1294713,5.1,1793939
139.902876,1337670,5.3,1363712
139.903439,1140829,4.3,469053
139.903626,1174132,4.5,1494117
139.903762,1509146,6.1,1691292
139.903941,1173226,4.5,871859
139.904327,1349900,5.3,1335727
139.90452,1019701,3.8,1078252
139.90473,1589926,6.5,1408756
139.904873,1508316,6.1,1356390
139.905121,1508873,6.1,1591700
139.905289,1370703,5.4,1355781
139.905415,1560290,6.3,1623924
139.906157,1219847,4.7,551833
139.906387,1503493,6,1669476
139.906902,2419453,10.4,1147908
139.90732,1809215,7.5,468507
139.907708,1764630,7.3,712169
139.908154,2828060,12.3,1348179
139.908663,1844463,7.7,811955
139.908778,1663393,6.8,1623882
139.908977,2895767,12.6,739905
139.909489,3298115,14.5,416180
139.909871,2296154,9.8,792052
139.910071,1712466,7,1086754
139.910388,2726269,11.8,1403066
139.910523,1807328,7.5,957893
139.91123,2957131,12.9,945827
139.911461,4621665,20.8,890558
139.911778,2927519,12.8,923281
139.912003,2266404,9.7,744647
139.912235,2295056,9.8,731155
139.912412,2327343,9.9,1369914
139.912683,4110340,18.4,585573
139.913079,3958111,17.7,1139728
139.913421,3987661,17.8,1092467
139.913564,2099181,8.9,1474673
139.913729,2895031,12.6,733759
139.913864,1989102,8.3,1705165
139.914207,4432193,19.9,412034
139.914706,3173011,13.9,669017
139.914901,3150123,13.8,942749
139.915137,2143020,9.1,1408818
139.915298,3262616,14.4,1170569
139.91557,4362508,19.6,1135616
139.915707,5127752,23.2,1392433
139.9159,3213246,14.1,1092516
139.916137,1988345,8.3,900534
139.916385,5291855,24,410454
139.916696,3373340,14.9,1319421
139.916822,5324277,24.1,553334
139.917133,1739806,7.2,590209
139.917419,2734346,11.9,946187
139.917599,2762007,12,656291
139.917919,3949647,17.6,743672
139.918152,2961758,12.9,812573
139.918481,2698694,11.7,1171708
139.91863,2843136,12.4,1450363
139.918799,3296437,14.5,589954
139.919045,3553682,15.7,776767
139.919513,3359928,14.8,681892
139.920138,2430791,10.4,563777
139.920286,2410461,10.3,1175268
139.920524,4353537,19.5,530043
139.920864,2660711,11.5,800981
139.921033,2660707,11.5,1076394
139.921339,1590568,6.5,1276028
139.921575,1968592,8.2,1041544
139.921847,1889428,7.9,1071014
139.921982,2315032,9.9,1346941
139.92218,2442926,10.5,742564
139.922368,2159054,9.1,1183086
139.922696,1946120,8.1,842217
139.922935,2447677,10.5,877760
139.923222,1583913,6.4,1401077
139.923583,2825493,12.3,1211609
139.923971,2058845,8.7,639273
139.924137,1771165,7.3,511965
139.924697,1797337,7.4,730730
139.925014,1644219,6.7,853185
139.925317,1543845,6.2,349747
139.925666,1097270,4.1,1349146
139.92587,1185425,4.5,1535112
139.926112,1168831,4.5,658374
139.926499,1222381,4.7,1093746
139.927007,1254065,4.9,1129527
139.927399,1155307,4.4,676132
139.927746,1474092,5.9,638793
139.928157,1186893,4.5,636732
139.928523,1600330,6.5,1293390
139.928714,1492131,6,1118097
139.928995,961592,3.5,997899
139.929507,1078297,4,559075
139.930334,1108422,4.2,605766
139.93064,864431,3,1600769
139.931217,1636119,6.7,1023907
139.931415,1253320,4.9,1153271
139.931596,1154878,4.4,533984
139.931963,1046987,3.9,1206876
139.932591,1508826,6.1,584028
139.932736,1230906,4.8,1570514
139.933915,1479673,5.9,522791
139.93493,1690040,6.9,565779
139.936807,975164,3.5,766372
139.939098,956537,3.5,1315741
139.939837,1021928,3.8,1264935
139.944427,1020056,3.8,1033990
140.821509,950410,3.4,1136338
140.836298,861319,3,1573858
140.836877,862152,3,1102940
140.837319,1000179,3.7,1045393
140.83952,983453,3.6,1050110
140.842043,1029243,3.8,1255581
140.84221,969821,3.5,1330338
140.843218,905541,3.2,650800
140.844214,948315,3.4,1485262
140.844965,1163854,4.4,1197362
140.846728,1141972,4.3,520187
140.847012,1225592,4.7,937706
140.848149,1355160,5.3,410937
140.850441,1376145,5.4,714252
140.851336,1095113,4.1,599384
140.852065,1363685,5.4,1404466
140.852204,1146164,4.4,1444977
140.852841,1516373,6.1,495256
140.8533,1959975,8.2,939362
140.853682,1699495,7,899501
140.854097,883746,3.1,897214
140.854373,1163580,4.4,1298913
140.854894,1119830,4.2,738605
140.85516,1820126,7.5,514847
140.855523,1512605,6.1,703389
140.856026,1340015,5.3,1743890
140.856166,1669744,6.8,1558961
140.856302,1718243,7.1,553952
140.856687,1219450,4.7,1842760
140.856816,1526013,6.1,1073618
140.857068,1423403,5.7,1403729
140.857766,1884371,7.8,618942
140.858132,986465,3.6,1524738
140.858433,1252936,4.9,1857174
140.858701,2281045,9.7,1357893
140.858915,1321495,5.2,1338703
140.859204,1539992,6.2,488395
140.859527,1525995,6.1,536083
140.860015,2301648,9.8,853740
140.860321,2056435,8.7,696648
140.860803,2319688,9.9,436395
140.861284,2598574,11.2,712142
140.861586,3456208,15.3,944342
140.861738,2735714,11.9,1062251
140.862191,3459964,15.3,559624
140.862537,4482341,20.1,820932
140.862682,4787717,21.6,463614
140.862997,3860958,17.2,553447
140.863215,4156871,18.6,744983
140.863633,3144718,13.8,1107158
140.863853,5336352,24.2,917408
140.863998,3267498,14.4,1760706
140.864175,5082654,23,1073015
140.864352,2678941,11.6,1739267
140.864714,3632608,16.1,535823
140.865042,2555001,11,721639
140.865163,2124783,9,1175785
