m/z,Magnitude,S/N,Res.
138.47193,902013,3.3,1348021
138.622458,888034,3.2,1286533
139.042809,870959,3.1,1317287
139.407212,851986,3,1330360
139.888292,848738,3,889160
139.958811,1094457,4.2,1030957
140.07865,923345,3.4,642467
140.557364,887087,3.2,1464271
140.751678,878435,3.2,947217
140.77543,982213,3.7,975999
141.541155,901556,3.3,1188388
142.980785,876605,3.1,1538978
143.059728,848875,3,1177817
143.325283,919444,3.4,1127609
143.507937,858936,3.1,1126426
143.944063,925403,3.4,1182077
144.819536,900615,3.3,1518231
144.839996,872529,3.1,949097
144.990934,946354,3.5,986044
145.108719,857687,3.1,1277860
145.161017,852026,3,1154846
145.758434,854591,3,1376309
145.877246,861087,3.1,1432934
146.419174,886407,3.2,1717691
146.726766,892996,3.2,1155237
148.195511,893540,3.2,1240543
148.422788,852407,3,1148872
148.463899,876033,3.1,1361362
150.703261,889823,3.2,1306169
151.274842,866919,3.1,858562
151.615214,874253,3.1,1244727
152.216749,926226,3.4,1423138
152.696847,871587,3.1,1301059
153.086786,866900,3.1,1133928
153.420126,899343,3.3,1018011
153.439234,874206,3.1,643478
154.516503,858980,3.1,1023288
156.959647,889025,3.2,1006857
158.703556,864851,3.1,1440810
159.453932,896485,3.2,921983
160.591443,1829159,7.7,1219143
161.24899,900695,3.3,1058564
163.225488,1051512,4,1086430
164.965427,912701,3.3,1208317
165.866333,992121,3.7,980864
165.969417,924930,3.4,1051209
167.185662,848057,3,930051
169.981798,888740,3.2,1433908
172.298019,888212,3.2,1149179
172.351484,1960469,8.4,1029378
172.685585,1629050,6.8,469465
173.252826,849076,3,1325095
174.371869,5083866,23.4,1005493
174.522548,881165,3.2,838755
176.184286,909123,3.3,1039480
176.4706,857562,3,1105282
176.581088,850140,3,798806
179.242959,862854,3.1,1032413
179.751097,974213,3.6,849668
181.107899,888465,3.2,1047359
182.262094,919033,3.3,899747
183.258905,856477,3,1077153
184.830832,881337,3.2,1294465
185.554055,861367,3.1,1079009
185.980091,855256,3,436556
186.568604,857745,3,901255
187.000196,1005747,3.8,922441
187.672372,895728,3.2,1134720
188.408666,903601,3.3,842397
192.81029,865637,3.1,1167964
194.159899,1002475,3.7,777990
194.226146,4031438,18.3,965407
194.28485,1478097,6,1013450
197.187342,872591,3.1,1012728
197.277914,883924,3.2,967386
202.182468,920754,3.3,736898
202.3902,1377439,5.5,923416
204.011972,869154,3.1,486989
204.230895,934160,3.4,729812
204.506062,959073,3.5,645510
204.806324,856403,3,967920
205.396087,856856,3,932658
209.238746,862030,3,832115
209.929485,873467,3.1,747859
210.33775,867797,3.1,1011698
212.115763,882058,3.1,865118
212.484997,1071651,4,1082224
212.622615,880812,3.1,943416
213.261128,892502,3.2,823064
215.590569,891634,3.2,622847
219.628791,1634561,6.7,910186
220.252487,928811,3.4,890892
220.82352,1036178,3.9,881602
221.515658,868673,3.1,883207
221.773499,993810,3.7,687889
223.602778,934861,3.4,828521
223.872311,912223,3.3,774349
224.51709,886410,3.1,916084
225.066882,872047,3.1,855024
227.294859,957315,3.5,754458
227.725162,898975,3.2,764312
229.717478,917889,3.3,629221
234.193955,859007,3,757573
235.362783,890248,3.2,726956
235.749088,897504,3.2,871258
237.922954,867459,3,576737
239.463116,915134,3.3,607544
241.692241,883902,3.1,672107
241.862005,931463,3.3,499342
243.039432,908105,3.2,709203
246.779419,885518,3.1,595018
246.841012,876049,3.1,824564
248.64214,870315,3,726932
248.747265,898736,3.2,713336
250.449203,884034,3.1,765093
251.217282,922983,3.3,853794
251.799023,923458,3.3,555361
252.463452,889249,3.1,662352
254.094137,869740,3,627145
255.514129,876204,3.1,666205
256.167223,891018,3.1,443732
258.087146,869023,3,395206
261.053989,876962,3,558209
261.904411,914503,3.2,598258
262.373762,878236,3,680207
263.19414,974912,3.5,647667
263.940263,927073,3.3,603120
264.900846,925643,3.3,717767
265.565129,1461097,5.8,349033
265.802108,874035,3,582023
269.032154,885509,3.1,742118
269.441343,915736,3.2,658296
270.83222,894233,3.1,647027
276.186371,6141408,27.5,663335
277.181057,2398740,10.1,566650
278.010632,918336,3.2,609962
279.087619,1238522,4.7,688872
279.124112,963324,3.4,796553
279.775114,911136,3.2,610402
279.84698,901092,3.1,411398
279.917482,35952296,165.7,470978
279.918054,112690856,521.8,626140
280.917378,2003169,8.2,676205
280.920525,1059297,3.8,1024404
280.921375,2178529,9,328505
281.06679,1149161,4.3,685260
281.103264,1584363,6.3,707055
281.13972,933613,3.3,633644
281.230582,887538,3,704883
281.913136,3741722,16.3,280314
281.913841,11394842,51.8,623236
282.570729,896321,3.1,603067
283.082585,1680735,6.7,596866
283.118927,1846113,7.5,586609
285.040004,907864,3.1,652784
285.098133,1219548,4.6,650877
285.134571,918942,3.2,534365
289.035762,1064674,3.8,854310
289.072006,1382116,5.3,605211
291.051221,1327987,5.1,515254
291.087629,1944949,7.9,601488
291.123313,1062392,3.8,537699
291.124031,1089912,4,709676
292.429448,932507,3.2,494880
292.891759,1138174,4.2,600210
293.030501,1241481,4.7,247805
293.056111,927499,3.2,455496
293.066868,1894924,7.7,579963
293.103255,2687247,11.3,535415
293.139746,1042194,3.7,495582
293.175428,7087637,31.6,399329
293.176088,16706068,75.9,519543
294.179446,3175012,13.6,311209
295.046165,2109611,8.6,703904
295.082608,2612910,10.9,579233
295.118308,2161329,8.9,547415
295.118952,4681393,20.4,608686
295.155275,996532,3.5,509725
296.086063,906242,3.1,661461
297.025504,1081683,3.9,716782
297.061816,2396502,9.9,670510
297.098174,4231513,18.4,287773
297.13458,3240285,13.8,572156
297.153201,7087966,31.5,541679
298.156635,1325111,5,469983
298.659622,903397,3.1,603114
298.950726,943871,3.3,546177
299.041071,1243144,4.6,542852
299.077417,2820619,11.9,550833
299.113787,3332110,14.2,456782
299.150355,1316370,5,272764
301.035609,1221317,4.5,662425
301.056668,1425735,5.5,406791
301.072125,1166792,4.3,472075
301.093147,2290378,9.4,556284
301.129463,1846990,7.4,598702
301.165889,997713,3.5,573316
303.014905,960523,3.3,671939
303.051194,2069391,8.4,500414
303.072406,1019537,3.6,832724
303.087715,1532562,5.9,752188
303.12402,1076502,3.9,544586
303.513339,919166,3.1,481361
304.656708,958903,3.3,531716
305.030491,2110816,8.6,346131
305.066986,2298468,9.4,518878
305.103302,2686056,11.2,605129
305.139727,1385068,5.3,483122
306.907317,4427057,19.1,548889
307.00969,1160765,4.2,669514
307.046152,2812225,11.7,560793
307.082543,3559749,15.2,513898
307.118992,3521353,15,528031
307.155324,2183758,8.9,491889
307.906939,945829,3.2,337217
308.085855,979514,3.4,552625
308.236504,1039948,3.7,594440
308.519705,945773,3.2,398343
308.950951,907937,3.1,584025
309.025471,1647658,6.4,619254
309.061879,4156463,17.9,524563
309.098218,6970419,30.7,543258
309.133685,1123127,4.1,688324
309.134607,4262968,18.4,515256
309.171006,8446012,37.4,489017
310.065209,980650,3.4,614011
310.101603,1119150,4,766866
310.137826,923571,3.1,853284
310.17435,2001591,8.1,524800
311.041115,2863909,12,471358
311.077561,5547305,24.2,529520
311.113866,8383790,37.1,508222
311.150289,2553651,10.6,551204
311.168855,26620212,120.2,510330
312.080834,1269675,4.6,575957
312.117245,1532080,5.8,596310
312.171397,1582519,6,657355
312.172311,4733879,20.2,505884
313.020158,968232,3.3,417919
313.035691,996906,3.4,331276
313.056737,3426861,14.3,476511
313.071036,922415,3.1,823210
313.072041,904623,3,423708
313.093176,5727794,24.6,470497
313.129575,5925431,25.5,518583
313.165995,1468219,5.5,493738
314.096487,1459386,5.5,589967
314.13291,1005887,3.5,474088
315.035954,1505854,5.7,547648
315.051292,2070080,8.2,552627
315.072442,3430723,14.3,570973
315.087662,1230917,4.5,503603
315.107822,1453896,5.5,805080
315.108817,3282760,13.7,493158
315.124142,1137482,4,682380
315.145159,2372941,9.6,560841
315.181692,1441234,5.4,428223
317.030515,2434655,9.9,537269
317.051597,1247586,4.5,649093
317.065861,1318500,4.9,791650
