m/z,I,S/N,Res.
184.125902,1227022,4.7,808533
184.127053,1204632,4.6,1468420
184.129189,1566639,6.3,973370
184.130286,1080262,4,1316408
184.131236,1073969,4,804957
184.134496,1867973,7.8,926134
184.135638,2086594,8.8,521606
184.13667,1344236,5.3,1430693
184.13777,2264952,9.6,1097922
184.138016,1136140,4.3,1500221
184.139119,1793675,7.4,1194596
184.140157,1402972,5.6,554966
184.141112,1138793,4.3,1530488
184.142212,1136635,4.3,1503589
184.145521,2860342,12.5,882307
184.146089,1187502,4.5,1465905
184.146636,3176968,14,1162257
184.147985,1360656,5.4,344262
184.149974,1537052,6.2,923167
184.151184,1583612,6.4,643517
184.152126,1256096,4.9,1396966
184.153249,1591981,6.5,1573452
184.154352,3688026,16.4,1014145
184.156431,1435071,5.7,1488271
184.15744,1317797,5.2,236394
184.158689,4768111,21.5,1378751
184.159483,1868508,7.8,1175978
184.159653,1988166,8.3,1464585
184.159791,2052145,8.6,1268378
184.159931,4030113,18,1724116
184.160966,4340231,19.5,743655
184.161462,1215910,4.7,1103882
184.161963,3998332,17.9,1612243
184.162115,7338977,33.7,1478177
184.1632,9742148,45,1078983
184.163602,1792767,7.4,647999
184.164303,8149264,37.5,628565
184.165055,4141143,18.5,850948
184.165367,30653504,144.1,1179379
184.165654,6175682,28.2,1057162
184.165857,4040120,18,1625549
184.166196,2565209,11.1,853540
184.166475,37187112,175,1146694
184.166643,5510665,25,675414
184.166785,6753895,30.9,723398
184.167383,4367092,19.6,1415454
184.167617,30469360,143.2,927327
184.167985,4178221,18.7,1805413
184.168442,2957034,12.9,920698
184.168597,4607955,20.7,1952689
184.168714,3552398,15.7,2397093
184.168855,11873471,55.1,1224106
184.169144,2678718,11.6,1094355
184.169339,3679096,16.3,797138
184.16971,4353529,19.5,485601
184.170193,1310009,5.1,1035624
184.170722,2573264,11.1,1588036
184.170865,4615697,20.8,1469822
184.171535,1856617,7.7,1143772
184.172024,14459488,67.4,1140051
184.172544,1624523,6.6,954960
184.173158,7882504,36.2,1181355
184.173376,2139007,9,1251559
184.174265,5614809,25.5,740694
184.174877,1323647,5.2,1100403
184.175355,3431935,15.2,591208
184.17642,4047374,18.1,986546
184.177599,2184453,9.3,1196157
184.17972,1386964,5.5,1193978
184.180862,1775170,7.3,1208596
184.181956,2159800,9.1,1619536
184.182211,1823685,7.6,1469860
184.183056,2012740,8.4,1157067
184.185345,1708655,7,1241100
184.186373,1665127,6.8,1257821
184.187499,2542468,11,942932
184.18855,1549152,6.3,847428
184.193101,1194169,4.6,852500
184.194168,1357083,5.3,1474136
184.195241,1077102,4,1380291
184.198529,1687802,6.9,1443678
184.200709,1474966,5.9,1255067
184.210694,2700356,11.7,1455721
184.211822,1208156,4.6,1097753
184.221784,1147889,4.4,1434716
184.223939,1195212,4.6,1456146
184.226405,1144255,4.3,433374
184.232804,1329822,5.2,1023739
184.243806,1150495,4.4,1153372
184.247983,1204635,4.6,1400377
184.26485,1085717,4.1,1254314
184.288042,1150673,4.4,1067801
184.334507,1207856,4.6,1216534
187.883241,6093541,27.8,1114645
194.225434,2493925,10.7,1313638
195.036422,25796874,121.1,1201540
211.979528,1286208,5,1266574
222.528307,1147958,4.3,727579
