m/z,Magnitude,S/N,Res.
138.220253,899998,3.2,1531288
138.834389,865281,3,1489317
139.615639,913116,3.2,1150994
139.870161,869240,3,1314381
139.887156,1047901,3.9,1485439
139.88888,1166244,4.4,1307741
139.891237,871753,3,1072676
139.891753,1145958,4.3,1250529
139.892429,939087,3.4,1569172
139.892971,933789,3.3,1446557
139.893434,947573,3.4,1425272
139.895185,987351,3.6,1333502
139.895555,1148197,4.4,885930
139.89581,1193691,4.6,1286157
139.896303,1189389,4.5,1250616
139.896884,1217823,4.7,442970
139.897427,966443,3.5,1694906
139.89813,1114292,4.2,1540777
139.898463,1510154,6.1,625863
139.898948,1106976,4.2,1620888
139.899087,1060219,3.9,1172888
139.899421,1242669,4.8,974140
139.899626,1114757,4.2,1562261
139.900246,1228226,4.7,1417420
139.900648,888338,3.1,1467103
139.90113,1019986,3.7,1652811
139.90138,1180401,4.5,583005
139.901641,1225177,4.7,1505375
139.90241,1270475,4.9,590350
139.902703,1302949,5.1,773646
139.903261,1657922,6.8,743200
139.903438,1259796,4.9,1507032
139.903679,1668354,6.8,624323
139.904037,1707990,7,1129938
139.904488,1304695,5.1,675072
139.904795,1279618,5,1642873
139.904931,2030493,8.5,1369698
139.905385,1410181,5.6,1806983
139.905563,2133527,9,551644
139.906147,1975748,8.3,659919
139.906399,2043756,8.6,771994
139.906679,2381922,10.2,1092370
139.906895,1636579,6.7,799760
139.907168,2070265,8.7,1575513
139.907444,1763859,7.3,1154809
139.907857,1587000,6.4,503738
139.908227,2282437,9.7,476353
139.908556,2601638,11.2,1439855
139.908903,3744826,16.6,395685
139.909088,2229487,9.5,1462613
139.909245,1503890,6,715076
139.909563,2223495,9.4,489335
139.910336,2507617,10.8,592197
139.910466,1511618,6.1,1625275
139.910825,2270750,9.7,1027989
139.91103,3472479,15.3,788670
139.911459,2764737,12,807774
139.911698,3252165,14.3,1143703
139.911813,2436401,10.4,1416754
139.912003,3108685,13.6,1113098
139.912403,2696040,11.7,716825
139.912772,5119015,23.1,773898
139.912936,2821265,12.3,1294787
139.913078,4454405,20,681079
139.91348,4383752,19.6,768081
139.913722,5743558,26.1,1016541
139.914037,3360557,14.8,972693
139.914191,2700912,11.7,956148
139.914452,3505607,15.5,603978
139.914648,2301807,9.8,1262567
139.914978,2940806,12.8,1533846
139.915094,1795827,7.4,1688587
139.915415,5545747,25.1,659970
139.915735,3684036,16.3,619092
139.91597,6086297,27.7,949361
139.916135,4342136,19.5,1097481
139.916641,4408307,19.8,618730
139.916879,2439746,10.5,1223868
139.91706,2693600,11.7,836904
139.917212,3684575,16.3,512608
139.917594,3297760,14.5,1057000
