m/z,Magnitude,S/N,Res.
138.217698,965134,3.4,1260642
138.260606,1024342,3.7,1377624
139.209248,927193,3.3,916624
139.282426,1959882,8.1,1369362
139.617602,893642,3.1,1572012
139.872121,917706,3.2,1955124
139.889605,918549,3.2,1065264
139.903056,985527,3.5,1482607
139.913209,873911,3,1227242
139.914679,906147,3.2,1418752
139.916683,1097391,4.1,1373401
139.920755,947141,3.4,503187
139.923394,891265,3.1,1041914
139.923685,1080320,4,799666
139.92474,996272,3.6,657595
139.925129,996209,3.6,1197282
139.925342,885859,3.1,1441211
139.926103,1381498,5.4,1190364
139.926391,1205663,4.6,605697
139.927321,1736305,7,1154721
139.927549,1206136,4.6,955224
139.928041,1160496,4.4,1124904
139.928538,1130704,4.2,1578805
139.928968,920088,3.2,542182
139.930127,1008105,3.6,1245602
139.930539,907355,3.2,639476
139.932606,1068019,3.9,1428875
139.933169,971176,3.5,1173514
139.933588,1362818,5.3,601506
139.933821,1445310,5.7,702067
139.934252,1749131,7.1,787984
139.934753,1907590,7.8,614734
139.935324,1405117,5.5,459580
139.935538,1294629,5,1384561
139.935861,1208446,4.6,1093599
139.936112,1145680,4.3,735342
139.936449,1414359,5.5,1406277
139.936648,1225458,4.7,1149731
139.937005,1368644,5.3,1207373
139.937259,1733860,7,1541077
139.937481,1193264,4.5,1780472
139.937804,1651426,6.6,707699
139.93807,2237622,9.4,616961
139.938551,1761765,7.2,464723
139.938957,2128232,8.9,535881
139.939226,2839180,12.2,1087537
139.939727,2241783,9.4,680057
139.93992,1777623,7.2,1179266
139.940136,2533494,10.8,1150115
139.940293,1710183,6.9,1481725
139.940451,3389015,14.8,1129547
139.940861,2549327,10.8,1008549
139.941208,1751680,7.1,655862
139.941536,2431335,10.3,1139449
139.941772,2672988,11.4,621009
139.942033,2462887,10.4,928224
139.942179,2541150,10.8,522681
139.942604,2027916,8.4,759518
139.942748,1934892,8,1640140
139.942984,3261400,14.2,545421
139.94319,2464874,10.4,848648
139.943483,3813938,16.7,748079
139.943885,4174656,18.4,747497
139.944283,3357832,14.6,955656
139.944427,4234842,18.7,1035277
139.944602,1920131,7.9,1450575
139.944786,4005140,17.6,1045466
139.944959,2902473,12.5,1188240
139.945329,4245977,18.8,893347
139.945524,4647862,20.6,1043648
139.945779,3464775,15.1,420690
139.946164,1882950,7.7,1079292
139.946315,3216561,14,979461
139.946513,3987670,17.6,647216
139.946731,3167213,13.7,517498
139.946939,2936911,12.6,772585
139.947095,3242981,14.1,956333
139.94733,5468109,24.5,1062773
139.947543,3074037,13.3,1918484
139.94766,2814932,12.1,1780656
139.947863,3051267,13.2,1487596
139.948,5026197,22.4,1386840
139.948149,3052731,13.2,1112100
139.948328,4782269,21.3,1259662
139.948469,3187935,13.8,498863
139.948592,3653124,16,1329250
139.948798,3086587,13.3,1433332
139.948905,2497755,10.6,1128964
139.949072,2006011,8.3,2260566
139.949333,3499279,15.3,1251735
139.949615,3470764,15.1,532413
