m/z,Magnitude,S/N,Res.
138.115814,869648,3.1,1555651
138.129526,948672,3.5,1589632
138.853904,985833,3.7,1265980
139.998221,908433,3.3,1159571
140.403316,877533,3.2,787820
141.016589,853528,3,1234990
141.481446,1064555,4.1,1045726
142.686903,876162,3.1,1495569
144.258939,893892,3.2,1319323
145.720539,855453,3,1372130
145.997394,875198,3.1,1392349
146.419304,3279497,14.7,1174750
146.421982,1755456,7.4,531171
146.53616,1064628,4.1,950443
146.646057,1502903,6.2,772953
146.759476,3325623,15,964509
147.084955,983299,3.7,809040
147.08997,1134456,4.4,1802090
147.415188,850180,3,1160497
147.42525,1066698,4.1,1135170
148.590455,862249,3.1,1039096
149.156791,921495,3.4,969143
149.623871,848960,3,1110421
151.052492,1145907,4.4,1414697
151.337989,904206,3.3,866551
151.388497,854873,3,1344642
152.15843,870364,3.1,960212
152.558258,900122,3.3,1216141
153.753804,858743,3.1,1134574
153.937246,1195194,4.7,1391582
154.429372,1660519,6.9,710848
155.071956,864212,3.1,1095362
156.506924,919937,3.4,971956
156.523387,859157,3.1,1068491
156.953432,948891,3.5,963689
158.108671,892630,3.2,1233609
158.319079,972046,3.6,1116340
158.511867,850725,3,1200183
159.46719,894939,3.2,494001
159.954893,859066,3.1,1222209
160.372826,920777,3.4,1318669
160.394591,852977,3,1511651
161.060111,978648,3.6,1267721
161.101682,909936,3.3,1488899
161.836671,902336,3.3,1165358
163.10255,971713,3.6,1053410
163.267608,1036546,3.9,1242084
164.836079,888358,3.2,1004061
167.178453,900019,3.3,848457
168.864625,898546,3.3,768518
169.121978,881429,3.2,1182073
169.513752,920025,3.4,1047923
169.795224,875188,3.1,769990
169.945017,848382,3,1096261
170.106034,853008,3,894116
170.873882,874330,3.1,1118229
171.210223,868303,3.1,1157182
171.267541,869488,3.1,1173440
171.940225,851082,3,992951
171.950021,855946,3,1313230
172.017692,909483,3.3,1268898
172.058585,939932,3.5,1116166
172.35088,1270625,5,1043537
172.513615,883491,3.2,930599
172.639817,914294,3.3,1141173
172.685576,1595430,6.6,912232
172.685869,2492903,10.9,960271
173.512829,868406,3.1,959960
174.371914,5010855,23.1,1055216
174.492657,855594,3,1236106
174.829235,856129,3,1179476
175.555792,950770,3.5,851393
175.929815,876075,3.1,1012129
177.117856,2060617,8.9,701188
177.392331,873521,3.1,1231356
178.064601,854756,3,1273358
178.994712,882095,3.2,1082077
179.984675,873166,3.1,1018551
180.102915,880130,3.2,1066133
180.647432,977076,3.6,1127708
183.780464,900839,3.3,918848
185.983101,931587,3.4,928325
