m/z,I,S/N,Res.
184.204564,854069,3.1,1263505
184.9472,875136,3.2,1407748
187.925032,902320,3.3,1102082
187.950541,856721,3.1,1386579
190.078018,864694,3.1,1297529
192.268425,933679,3.4,1288530
193.466383,851148,3,1379429
194.225591,1734163,7.3,1329363
194.287227,885589,3.2,1264905
195.036411,4138735,19,857918
195.036774,4837943,22.4,1069802
195.947885,843404,3,1485520
196.318166,855430,3.1,791604
197.840052,871968,3.1,1461194
199.894784,902673,3.3,1110671
199.914001,875907,3.2,1199712
200.149116,964242,3.6,1051942
200.307091,956041,3.6,1134490
201.072899,886080,3.2,1362501
201.779951,951248,3.5,1083763
201.784579,938248,3.5,1286775
201.88272,877911,3.2,1478786
202.084,925338,3.4,1328482
203.971011,848191,3,1100347
204.876687,849336,3,1056267
205.920967,843506,3,1381871
206.072323,856210,3.1,1190922
206.647142,901614,3.3,1077421
207.973176,859467,3.1,1472779
208.84082,940869,3.5,1054454
209.280394,881539,3.2,1162060
209.308145,906787,3.3,974868
211.357687,853115,3.1,1223566
211.956051,872448,3.1,1266073
212.275764,847115,3,1007985
212.805909,843704,3,1280624
214.747497,874041,3.2,789212
215.01631,862669,3.1,1320775
215.807721,887682,3.2,624780
216.723696,888499,3.2,958941
217.349711,881416,3.2,1087648
217.985332,895822,3.3,1038221
219.780208,876821,3.2,1075761
219.910431,876312,3.2,783917
220.009539,847899,3,1252957
222.787367,852149,3,1140365
223.2672,888670,3.2,888498
223.449823,853949,3,1087999
224.066643,862317,3.1,981966
225.175176,925362,3.4,901361
226.928942,857767,3.1,942707
230.052769,899273,3.3,1074045
230.181749,2822064,12.5,1187148
231.662227,890865,3.2,920397
232.571365,872149,3.1,1220581
235.102085,876335,3.1,1024834
237.315454,1006720,3.8,828429
237.852765,939812,3.4,1066737
237.918487,851209,3,1208335
241.362052,873183,3.1,1241105
242.093293,992373,3.7,1039492
243.850761,859069,3,894977
244.804177,917960,3.3,778147
244.985852,913718,3.3,1114279
245.488953,970719,3.6,1009822
245.754219,903284,3.2,1000276
247.29704,900403,3.2,936332
247.617673,868302,3.1,840574
248.592367,877440,3.1,1071052
248.921334,854988,3,677355
249.516728,918031,3.3,971691
251.294637,1001497,3.7,766502
252.081545,863823,3,1252228
252.838158,880499,3.1,992811
254.493751,913321,3.3,893570
255.98596,932115,3.4,910163
258.663118,903023,3.2,828513
259.188021,1007169,3.7,605078
259.700026,951218,3.4,863533
260.77647,880570,3.1,843475
261.319871,926862,3.3,727278
261.58116,860456,3,671631
261.999973,942064,3.4,783985
263.092573,975740,3.6,1066552
264.457041,859906,3,1052633
265.071811,1064319,4,952561
265.108195,1057795,3.9,485305
265.148079,1106887,4.2,632474
265.363351,911228,3.2,739454
265.780896,953478,3.4,891775
266.875942,900723,3.2,1148352
267.087493,1379144,5.5,801484
267.403886,877128,3.1,819060
269.066749,1069007,4,682783
269.103144,1177363,4.5,946400
271.082417,1173595,4.5,1078803
273.265135,879673,3.1,752343
273.60448,944923,3.4,843429
274.971753,1612006,6.5,869691
275.019822,940587,3.4,1155686
277.035432,1216760,4.7,486386
277.071853,1069628,4,427891
277.108202,1079488,4,1070440
277.246026,884366,3.1,1012373
277.96696,895127,3.2,870926
278.318076,915194,3.2,967849
279.051184,1480325,5.9,861589
279.087512,1988745,8.3,910685
279.123892,1461708,5.8,816004
279.663334,916355,3.2,843542
279.916151,1481308,5.9,958884
279.91743,8048477,36.9,386707
279.91796,31031132,145.5,762796
281.030382,916941,3.2,775134
281.06671,1364433,5.4,564074
281.103189,2292180,9.7,807040
281.139539,1264024,4.9,806791
281.91323,1472934,5.9,870955
281.913771,3051814,13.3,788335
281.924876,874855,3,774653
282.073594,904630,3.2,534379
282.081894,883927,3.1,841097
282.217041,926821,3.3,652724
283.082475,1726107,7.1,460065
283.118823,1625695,6.6,688457
283.155219,907555,3.2,668362
285.061738,1013025,3.7,938530
285.09816,1543973,6.2,664168
285.134555,1208872,4.6,691325
286.790513,871948,3,879128
287.056188,1068710,3.9,831583
287.113719,1360940,5.3,875192
289.035506,1155560,4.3,723739
289.071912,1085036,4,1030779
291.051154,1473196,5.8,1019827
291.087559,1146863,4.3,667433
293.030403,1275370,4.9,870956
293.066717,1524398,6.1,613907
293.103227,2494193,10.6,598575
293.139624,1236597,4.7,858649
293.17594,7642232,34.7,716354
294.179284,1534552,6.1,896706
294.824619,960790,3.4,523867
295.046037,1648491,6.6,605306
295.081594,1255598,4.8,902277
295.082479,2885295,12.4,717158
295.118847,3256114,14.1,711480
295.155249,1229685,4.7,845735
297.025345,923687,3.2,1080265
297.061744,2333675,9.8,896602
297.0981,2952430,12.7,715928
297.134548,2769138,11.8,789489
297.151868,899443,3.1,1395855
297.153115,4801012,21.3,426275
298.156459,932690,3.3,854469
299.041007,1003814,3.6,1177872
299.077346,2156330,9,558358
299.113773,2742445,11.7,431464
299.150152,1442992,5.6,894033
301.035564,899554,3.1,954834
301.093052,1771752,7.2,704757
301.129387,1637739,6.5,754548
302.867815,920974,3.2,952014
303.014788,952732,3.3,351489
303.05117,1430944,5.6,896437
303.087622,1266019,4.8,688082
303.108609,1249893,4.7,765834
303.12393,1004711,3.6,1077407
304.787582,882563,3,776841
305.030382,1089594,4,632103
305.066333,1087581,4,1007701
305.066839,2242269,9.3,828055
305.103209,1907808,7.8,757733
305.139672,1191524,4.4,675509
305.697247,889432,3,694566
305.812499,924451,3.2,766183
306.907245,2167178,8.9,763146
307.046034,2058135,8.4,675102
307.082468,3123866,13.3,658307
307.118872,3551390,15.3,756153
307.155241,1506977,5.9,676423
307.291989,883694,3,768055
307.868944,1078372,3.9,824717
309.025365,947537,3.3,478110
309.061791,3028820,12.9,760956
309.09811,5015128,22.1,642560
309.134515,3225691,13.8,609227
309.170882,1071518,3.9,515044
310.088372,898293,3.1,802871
310.101488,890614,3,740494
311.04102,1784078,7.1,678176
311.077428,3957010,17.1,714837
311.113779,5576469,24.6,642757
311.15024,1875993,7.6,637986
311.168798,14326554,64.8,668938
312.117263,932180,3.2,518997
312.17217,2405497,10,404999
313.056645,2594252,10.9,756028
313.093087,4029136,17.5,664220
313.129407,5234131,23,650814
313.165739,1539287,6,627718
314.7156,919081,3.1,738571
315.051194,1377161,5.2,460369
315.072307,2364043,9.8,693598
315.087645,1177229,4.3,460631
315.10873,3328143,14.2,732852
315.123997,975056,3.4,714258
315.145077,1964306,7.9,599408
315.181555,1077718,3.9,616000
317.03045,1806149,7.2,724051
317.066133,1081801,3.9,1088892
317.066884,1977289,8,567123
317.087977,1240075,4.6,665181
317.103236,1768780,7,715267
317.124393,916966,3.1,454688
317.139639,1135184,4.1,789337
317.350057,897828,3,865703
319.046135,2361478,9.8,451708
319.082454,2609674,10.9,719856
319.118844,2795533,11.7,651262
319.155261,1920017,7.7,893874
320.921738,1142971,4.2,1049631
320.922948,2414011,10,627937
321.025308,2002757,8.1,575380
321.061764,3275976,13.9,580190
321.096993,959564,3.3,1071459
321.098124,4297932,18.5,706826
321.134502,3712720,15.9,684918
321.170889,1522515,5.9,658924
321.70143,900294,3,657425
321.922439,1088156,3.9,844806
322.101476,1044653,3.7,899726
323.041048,2777737,11.6,650938
323.076372,1407372,5.4,915494
323.077396,5738892,25.1,612330
323.113829,5988240,26.3,594886
323.150164,3808147,16.3,661110
323.186551,986263,3.4,985080
324.080717,990766,3.4,566580
324.117175,970098,3.3,776623
324.479623,900245,3,714531
324.917502,896576,3,935048
325.020427,1677258,6.6,740371
325.056664,4496462,19.4,593445
325.092257,1580370,6.1,658487
325.093056,9421906,41.8,625680
325.129462,5965397,26,647422
325.16585,3017305,12.6,687893
325.184428,14795867,66.2,633777
326.096406,1137461,4.1,883552
326.132816,1301432,4.9,762701
326.187833,2844350,11.9,666584
327.03594,1954322,7.8,574378
327.05123,1254291,4.6,687889
