m/z,Magnitude,S/N,Res.
140.823784,1408411,5.5,692224
140.824013,1650936,6.7,513147
140.824494,1985716,8.2,1088946
140.824674,1780334,7.3,737834
140.824987,3281731,14.3,1011930
140.82522,1983024,8.2,1566036
140.825632,1738506,7.1,519731
140.825855,2453924,10.4,574156
140.826306,3777666,16.6,1020710
140.826485,3268553,14.2,1360703
140.826922,2065122,8.6,1194615
140.827232,3065059,13.3,699245
140.827772,4254147,18.8,974936
140.828153,2557037,10.9,1560740
140.828263,1630790,6.6,1474247
140.828451,1489463,5.9,712730
140.828631,1387326,5.4,1796930
140.828887,2603532,11.1,1658702
140.829053,4212523,18.6,1030874
140.829442,4072567,18,1189162
140.829627,2099857,8.8,944784
140.829828,2434561,10.3,1076133
140.829971,3083776,13.4,890308
140.830476,4496050,20,482384
140.830688,3373828,14.7,1158114
140.830877,4810574,21.4,1318909
140.831187,2805150,12.1,1314204
140.831323,4788780,21.3,778122
140.831756,5133225,23,424012
140.832026,3808742,16.8,1404654
140.832171,3347854,14.6,1836672
140.832297,4647423,20.7,1450700
140.832428,7671379,34.8,1077419
140.832779,6404307,28.9,1099674
140.833019,2901363,12.5,934848
140.83319,2166445,9.1,1990391
140.833433,5689681,25.6,729289
140.833663,2034234,8.5,1674273
140.833874,5417185,24.3,976867
140.833985,3589077,15.7,1321582
140.834149,5900133,26.5,847886
140.834271,3930634,17.3,1399848
140.834462,8019054,36.5,1032344
140.834683,3233419,14.1,1286240
140.834948,4144235,18.3,664731
140.835189,2927187,12.6,1985096
140.835372,5072181,22.7,737331
140.835648,4882140,21.8,1036808
140.835782,2459435,10.4,1996425
140.835918,4815783,21.5,1194623
140.836292,4045671,17.9,682164
140.836444,4250946,18.8,1372921
140.836631,2127198,8.9,1133367
140.836753,2360721,10,1667960
140.836938,4157245,18.4,1266296
140.837092,5169405,23.1,1382768
140.837226,3186533,13.8,1644006
140.837411,4593212,20.4,988522
140.837578,6610577,29.9,514551
140.837828,5121283,22.9,1025476
140.838065,4854838,21.7,712031
140.838219,1805129,7.4,1893629
140.838353,2502245,10.6,1461938
140.838806,4212372,18.6,730283
140.838969,2237098,9.4,2009374
140.839063,2030893,8.4,1321754
140.839175,3355828,14.6,1298057
140.839451,3996751,17.6,493341
140.839712,3640642,16,1164134
140.839867,3324686,14.5,1113655
140.840161,3111946,13.5,695961
140.840435,2825754,12.2,1695172
140.840551,1382141,5.4,1770847
140.840832,3872622,17.1,928689
140.841173,2309516,9.7,731589
140.841472,3891056,17.1,538312
140.841671,2123342,8.9,1185441
140.842112,1788954,7.3,1031848
140.84224,1776834,7.2,813013
140.842566,1755411,7.1,1135232
140.842739,1827581,7.5,1479712
140.842868,1368650,5.3,1257916
140.843051,1202555,4.6,1242664
140.843639,1505078,6,1001318
140.843757,1877020,7.7,1613344
140.843982,1260581,4.8,726178
140.844296,1247543,4.8,435097
140.8447,1687332,6.8,678762
140.845058,1524858,6.1,621418
140.845611,2339586,9.9,1094990
140.846105,1673490,6.8,853898
140.846497,1541340,6.1,1240420
140.847044,1597676,6.4,796014
140.847218,1491790,5.9,1581967
140.847369,1352781,5.3,1381714
140.847729,1164817,4.4,1068629
140.848035,1177122,4.4,1410624
140.848294,2894959,12.5,1037254
140.848483,1669108,6.7,1546204
140.848732,1254258,4.8,558448
140.849111,1130160,4.2,780812
140.849374,1386134,5.4,1385759
140.849993,1699823,6.9,1207850
140.851071,1338681,5.2,704244
140.852184,1371421,5.3,939463
140.852638,1399061,5.5,1309583
140.852875,1984791,8.2,600750
140.853448,1242037,4.7,1576530
140.853854,1615033,6.5,548925
140.85418,1478018,5.8,1100179
140.854814,1011765,3.7,457252
140.855685,1123629,4.2,350953
140.856687,1239431,4.7,1405208
140.859125,1103426,4.1,1202698
140.860657,1488598,5.9,887931
140.861572,1160287,4.4,1371668
140.864719,883608,3.1,1215922
140.866005,970771,3.5,847389
140.871,926945,3.3,1439804
140.876542,1224063,4.7,1339711
140.879905,1010329,3.7,1135324
140.888044,889873,3.1,1351144
141.459651,873889,3,1338469
142.31029,1670626,6.7,1264853
