m/z,Magnitude,S/N,Res.
138.233832,1229455,4.8,1376736
138.57682,878213,3.1,1288858
139.171935,917376,3.3,2007953
139.332446,905435,3.2,1462912
139.793842,877757,3.1,1209666
139.859329,1041279,3.9,1761864
139.884797,894009,3.2,1841162
139.922537,887313,3.1,474964
139.925126,1030652,3.8,1084505
139.926623,873544,3.1,743054
139.927796,1079928,4,1173630
139.928601,883810,3.1,1364564
139.929267,885938,3.1,1505894
139.932515,959602,3.5,496919
139.933247,985970,3.6,689266
139.934534,1018322,3.8,749603
139.935665,973976,3.5,1544896
139.935927,1059542,3.9,990931
139.93657,1251564,4.9,904744
139.938546,1428602,5.7,1007569
139.938871,1272119,5,1084240
139.939137,1350072,5.3,1417030
139.939506,888898,3.1,1624411
139.939952,1024767,3.8,530111
139.940363,1679711,6.9,827894
139.940972,1729904,7.1,1371180
139.941623,1313887,5.2,1008576
139.94205,1639228,6.7,665020
139.94282,1799136,7.5,608181
139.943247,1137916,4.3,1118812
139.943419,1273680,5,1452761
139.94359,1229921,4.8,1514398
139.943941,1565916,6.3,1220760
139.944302,1539382,6.2,1018441
139.944448,2759628,12,1451101
139.944703,2082287,8.8,798837
139.945072,2444384,10.5,1208943
139.94546,1353403,5.3,628415
139.946022,1216799,4.7,1888766
139.946134,1141008,4.3,1315412
139.946434,2325668,9.9,1053759
139.946648,2809454,12.2,839934
139.946983,1545282,6.2,1052327
139.947149,3089379,13.6,1342449
139.947302,2539707,11,866099
139.947584,2050296,8.6,1156141
139.947843,4998574,22.6,1054762
139.948027,2601541,11.3,965449
139.948244,2568886,11.1,1360976
139.948633,2339139,10,1334506
139.948769,3056272,13.4,997835
139.949192,3727078,16.6,474966
139.949653,2286514,9.8,1091239
139.949861,2490543,10.7,1490268
139.949997,2228912,9.5,1315718
139.950146,4050697,18.1,951625
139.95055,2914029,12.7,1172030
139.950694,1714879,7.1,1777292
139.95083,4865969,22,1285088
139.950999,6058368,27.6,1203633
139.951412,2616710,11.3,618305
139.951596,4909543,22.2,1185552
139.951777,3275629,14.5,1796318
139.951889,2431657,10.5,607142
139.952001,2906039,12.7,841568
139.952211,4440914,20,526624
139.952424,3269724,14.4,1361001
139.952632,2332248,10,751055
139.952855,2771764,12.1,1360217
139.952981,2901898,12.7,1327260
139.953166,2535183,10.9,875514
139.95348,4638214,20.9,1163544
139.953667,1340464,5.3,1532652
139.953789,3743253,16.7,473383
139.954068,2962520,13,547778
139.954224,2838113,12.4,900244
139.954752,3262368,14.4,1358563
139.954887,3497247,15.5,1102895
139.955275,3884394,17.3,862683
139.955647,2855801,12.5,722427
139.956021,2659275,11.5,1303771
139.956268,2200658,9.4,1322252
139.956445,1624397,6.6,1485602
139.956742,2291165,9.8,667050
139.95699,2743331,11.9,558429
139.957166,1682566,6.9,498858
139.957552,2210420,9.4,879472
139.957735,1625508,6.6,1750807
139.95787,1356593,5.4,1687226
139.958023,1298450,5.1,719528
139.95831,1824275,7.6,685988
139.958473,1731395,7.1,1046956
139.958924,1828040,7.6,1060304
139.959349,1730825,7.1,551691
139.959902,1583279,6.4,948650
139.960081,1488582,6,801839
139.96057,1699495,7,1463468
139.960708,1367623,5.4,1063797
139.960986,1325870,5.2,512991
139.9616,1740728,7.2,546579
139.962008,1540384,6.2,634462
139.962599,1818340,7.5,1131483
139.962747,1214481,4.7,1321053
139.963316,1916644,8,511799
139.96374,1051307,3.9,709592
139.964089,883701,3.1,2034468
139.964787,1483031,6,763803
139.965301,1534319,6.2,424651
139.966682,920869,3.3,1474242
139.968092,1060379,3.9,1630836
139.968464,969810,3.5,1121399
139.968971,910206,3.2,1604746
139.969726,902002,3.2,1146025
139.970293,1090164,4.1,1085691
139.972109,992723,3.6,1648616
139.972867,1009214,3.7,1134090
139.973708,892645,3.2,905082
139.973925,914912,3.3,1013722
139.974643,1109705,4.2,1248195
139.975641,987041,3.6,1460195
139.977021,1008583,3.7,1223949
139.978151,904195,3.2,799430
139.985234,909420,3.2,1265959
139.987243,897721,3.2,1696011
140.568629,918495,3.3,1092371
140.804646,889459,3.1,1041098
140.808417,874944,3.1,1863419
140.810511,1037180,3.8,1506149
140.810744,1046001,3.9,700433
140.811065,875726,3.1,1508860
140.811512,1108778,4.2,946565
140.812156,1026217,3.8,1212123
140.812317,1061077,4,1453332
140.81257,1642168,6.7,1423916
140.813933,928726,3.3,1403993
140.814871,1156163,4.4,1069330
