m/z,Magnitude,S/N,Res.
138.251947,846931,3,1071354
139.429579,906771,3.3,1548003
139.643005,856951,3,1425513
139.958811,1389930,5.6,1360681
140.135296,935419,3.4,841469
140.380735,962126,3.6,1144916
140.989743,855181,3,1115842
141.34501,918974,3.3,1053513
142.980795,1286267,5.1,1418387
143.179745,865060,3.1,1310224
144.174355,906658,3.3,1363210
144.964066,859051,3.1,1424148
145.279769,937608,3.4,1192953
145.321881,999443,3.7,1127767
146.419215,1077940,4.1,945459
147.090683,2288801,10,1243858
147.637117,853709,3,1276462
148.013952,882314,3.2,1263300
148.69799,860667,3.1,1233385
149.95799,1105067,4.2,966281
150.328474,959940,3.5,1350100
151.044032,947303,3.5,1189181
151.806895,872925,3.1,1078139
154.930658,855411,3,1051492
155.061381,936430,3.4,1117054
156.54562,885981,3.2,867058
158.264264,860061,3.1,736139
159.685264,907853,3.3,1107394
161.176116,921610,3.4,870233
161.744822,905786,3.3,1250373
162.225181,868986,3.1,1183165
162.409187,846594,3,1297320
163.37407,930036,3.4,1158850
164.33066,858699,3.1,647216
165.007015,909082,3.3,1047513
167.273864,848106,3,1130774
168.36459,897389,3.2,863202
170.461724,858274,3.1,934700
170.482493,861266,3.1,923772
170.686783,846933,3,1096215
171.170118,859966,3.1,1340443
171.543227,919604,3.4,1042534
172.351655,1176036,4.6,778312
172.685643,1864971,7.9,1227857
173.233925,852271,3,846247
174.371844,5026483,23.2,1058157
175.010832,911684,3.3,767889
175.589213,868724,3.1,873397
176.508548,881952,3.2,1028344
180.047502,887086,3.2,1065042
180.516317,1084672,4.1,1086201
181.81245,876759,3.1,960196
183.00653,871436,3.1,679565
185.434143,938721,3.4,901282
185.915305,970330,3.6,905018
193.269635,857186,3,793660
194.218919,922239,3.3,1077101
194.221933,890559,3.2,812790
194.226134,1641823,6.8,1052505
194.284862,1767203,7.4,858258
197.096502,957694,3.5,906964
199.976061,908742,3.3,970472
202.390199,1400084,5.6,1110920
202.974741,924127,3.3,899677
203.134426,1034411,3.9,761658
204.050557,1000015,3.7,729873
204.250723,907198,3.3,836407
205.223497,912422,3.3,936171
205.231396,875783,3.1,900542
206.149026,922684,3.3,623377
207.646375,860669,3,893051
208.865209,860731,3,436064
209.787972,872642,3.1,884925
211.188109,1033454,3.9,749782
211.969059,894826,3.2,832010
213.472396,864543,3,396624
214.665704,875003,3.1,812222
215.327984,882511,3.1,757191
216.38647,885633,3.1,975791
216.436858,920389,3.3,746344
216.870878,907686,3.2,1004894
217.11806,862297,3,629292
