m/z,I,S/N,Res.
123.133599,1072902,4.1,1303631
123.241117,866274,3.1,1356051
123.526381,978916,3.7,1084728
124.115697,879773,3.2,1170334
124.189249,878158,3.2,1345868
124.734605,887445,3.2,1133284
125.428817,892995,3.3,1123263
125.563055,840798,3,1095908
125.834591,853884,3.1,596889
125.914594,960817,3.6,1414779
126.391252,957812,3.6,1253063
127.162142,840868,3,1357758
128.184806,867503,3.1,970668
128.456253,915134,3.4,1061166
129.286549,883978,3.2,1246640
131.471103,861305,3.1,1210115
131.500351,914650,3.4,1250887
132.431794,950408,3.6,1200941
135.261544,916905,3.4,1093745
135.331423,841581,3,1317927
135.663152,863594,3.1,1149301
136.201092,895866,3.3,1205428
136.702086,1096233,4.3,847893
136.704837,1158551,4.6,1127671
136.867248,874372,3.2,928271
137.38999,844458,3,912549
137.519316,882509,3.2,1211336
138.04817,844690,3,1377771
139.958819,976929,3.7,1307590
140.001156,847921,3.1,804138
140.272404,895200,3.3,1104391
141.338155,855742,3.1,1231109
141.486627,941614,3.5,555053
143.532166,862911,3.1,984415
144.058445,867336,3.1,1024879
144.843176,866940,3.1,1454961
145.777625,889785,3.3,1205192
146.05208,853155,3.1,861544
146.1295,863356,3.1,1086135
147.012094,869964,3.2,954029
147.299598,841847,3,701975
148.05627,887808,3.2,853862
148.952427,884309,3.2,1095240
149.097039,883207,3.2,1041550
149.418459,868877,3.2,707584
150.301974,840173,3,581428
152.154192,861935,3.1,895257
152.392497,844629,3,743585
152.92686,978300,3.7,965256
153.427293,8079147,38.3,1030863
154.087295,883951,3.2,1103145
154.505608,876941,3.2,778234
155.492168,887568,3.2,986969
156.091442,876902,3.2,972870
156.543001,865480,3.1,901255
156.860218,849285,3,957088
158.341051,870085,3.1,1286990
159.477982,980507,3.7,991839
161.712295,859343,3.1,1056021
164.810935,842470,3,722760
165.024202,862227,3.1,1082639
167.705421,901030,3.3,939945
168.490986,1007741,3.8,675095
171.948239,870976,3.1,752886
172.181182,897618,3.3,798547
173.867297,924185,3.4,775744
174.926203,959505,3.6,944415
176.014161,852300,3,949704
176.507819,850039,3,888472
177.403033,890564,3.2,473409
178.481125,856899,3.1,939211
179.342848,2626992,11.6,769156
179.343423,944688,3.5,1147781
179.35136,892144,3.2,1179192
184.126509,852458,3,863304
184.205313,879089,3.2,804776
184.746633,853253,3,746322
187.455588,896714,3.2,684145
192.25109,870530,3.1,826259
193.367225,911249,3.3,695602
194.606423,851948,3,879990
194.775767,1049405,4,691455
197.45881,867016,3.1,624095
198.684921,879617,3.1,904659
200.891585,859355,3,696622
206.060724,896207,3.2,792807
206.071442,878864,3.1,810510
208.37719,873160,3.1,634984
211.811047,943774,3.4,704906
211.941083,870634,3.1,707800
213.010732,917959,3.3,702198
214.033163,861600,3,968721
215.026325,867189,3,756215
215.901276,887806,3.1,677056
219.258464,879892,3.1,745628
225.819609,916697,3.3,731919
226.39143,862149,3,580426
229.463021,882800,3.1,670056
235.31417,883368,3.1,634792
236.507388,914498,3.2,618609
239.897329,927362,3.3,668296
240.308043,873250,3,801620
241.344948,887537,3.1,668520
247.348653,894404,3.1,685749
247.410578,869320,3,878496
248.6358,900266,3.1,599532
249.098791,899984,3.1,622962
249.6075,929017,3.3,620202
250.187097,918760,3.2,474511
254.455469,1064844,3.9,587604
254.631476,990107,3.6,541091
255.654531,906228,3.2,621158
256.820502,876122,3,429772
262.140197,928576,3.3,767579
263.961682,1057904,3.9,537423
267.051159,1134373,4.2,539593
267.901343,930429,3.2,556367
269.066927,1175672,4.4,620208
269.103244,894843,3.1,732069
269.228447,955209,3.3,419951
273.061822,927022,3.2,509678
274.971768,1780746,7.1,610835
275.019912,940559,3.2,811556
275.056329,1412627,5.4,594940
277.035563,1438974,5.5,776861
277.071968,1349122,5.1,497656
277.108312,1438471,5.5,505142
277.181077,5524496,24.3,539875
277.595008,980033,3.4,502818
278.184514,1117321,4.1,603992
279.051244,1662964,6.6,600165
279.087019,1423864,5.5,661049
279.087602,2263800,9.3,644288
279.12401,1984253,8,583399
279.756928,913611,3.1,204260
279.917424,59306336,268.9,370420
279.918009,157454688,715.7,567905
280.917462,2457566,10.1,621599
280.921401,3077086,12.9,613775
281.030471,1538540,5.9,422886
281.066878,1781745,7,669858
281.103243,2314741,9.5,611926
281.139638,1775354,7,442829
281.176055,1153918,4.2,582254
281.913249,5825117,25.5,441436
281.913844,14887517,66.7,578625
281.922326,1029470,3.6,758363
282.45958,950307,3.3,641780
283.046168,1973999,7.9,640444
283.082613,2194420,8.9,349841
283.118958,1812473,7.2,584366
284.893754,974819,3.4,439332
285.04059,1557751,6,603620
285.061093,1121274,4,608935
285.06182,1492474,5.7,712696
285.098147,1760255,6.9,322328
285.134642,1148420,4.2,584988
287.020049,1234947,4.5,675339
287.056335,1959176,7.8,663523
287.077434,1326091,4.9,572234
287.092738,1428493,5.4,604046
288.987527,2823700,11.7,608449
289.035629,2488859,10.2,330092
289.07203,1908000,7.6,219985
289.108368,1328421,4.9,342894
291.014864,1346868,5,351156
291.051296,3092281,12.9,551646
291.086968,1468990,5.6,614009
291.08763,2447166,10,580151
291.124006,1756484,6.9,617043
291.160459,927049,3.1,638090
293.030469,3101273,12.8,534535
293.066952,3867742,16.3,308167
293.103281,3678308,15.4,550142
293.139666,1633385,6.3,507762
293.176083,13920366,61.4,349859
294.179413,2773763,11.4,572750
295.046178,2969476,12.3,306071
295.082522,4648330,19.8,261608
295.119004,4985231,21.3,311949
295.155277,1251733,4.6,709119
296.049475,909724,3,413956
296.085875,949537,3.2,641667
297.025405,1699249,6.6,528194
297.04081,1186483,4.3,317530
297.061849,3489462,14.6,535620
297.098243,4637372,19.7,509183
297.13456,3791553,15.9,532661
297.153264,9235140,40.3,511217
298.15642,1323807,4.8,422702
299.019999,1229286,4.4,359308
299.041111,1411561,5.2,321708
299.055695,979435,3.3,679015
299.056365,2054123,8.1,604253
299.077518,3489775,14.5,367035
299.092716,1390833,5.1,228266
299.113888,3238900,13.4,568887
299.15022,1143546,4,632875
300.984502,915996,3,571369
301.035634,2486564,10,271974
301.056672,1466408,5.5,454111
301.072011,2729258,11.1,553550
301.092359,1142317,4,521079
301.093106,2639149,10.7,615060
301.108431,1849904,7.2,510083
301.129562,1675571,6.4,405921
301.144783,1095734,3.8,688993
303.003214,1150561,4.1,677787
303.013718,1001187,3.4,394101
303.01484,1864291,7.2,481532
303.051279,4170345,17.5,501227
303.087661,3114095,12.8,491960
303.123107,1222773,4.4,631925
303.124008,2056309,8.1,401456
303.160352,1027963,3.5,638858
304.054633,1220365,4.4,525734
305.030548,3873710,16,484954
305.066907,4705204,19.7,284058
305.103349,3898298,16.1,507692
305.139609,2290624,9.1,518228
306.070108,1052507,3.6,622868
306.657267,1532926,5.7,270386
306.90731,2360040,9.4,551596
307.009665,1720569,6.5,432622
307.046211,5511424,23.3,486023
307.082529,6146310,26.1,477265
307.118984,4194572,17.5,292851
307.155372,3512594,14.4,434736
307.191905,1035800,3.5,257804
307.731854,1243892,4.4,212231
308.049438,998314,3.4,735753
308.122228,1030454,3.5,509093
309.025515,3094097,12.6,499020
309.040702,1231443,4.4,677874
309.061822,6066775,25.7,448573
309.098241,8522333,36.5,490958
309.13461,5703268,24.1,480149
309.170995,15729258,68.3,468456
309.870028,982882,3.3,422989
310.065097,1025028,3.5,532417
310.101582,1435914,5.3,485696
310.138075,997649,3.3,270222
310.174352,2674967,10.7,396642
311.041104,3982254,16.4,493616
311.056447,1692081,6.4,248250
311.077454,7140277,30.2,472957
311.09278,1203639,4.2,692303
311.113896,9081787,38.7,431609
311.150194,3356609,13.6,463896
311.168878,40158148,174.6,456251
312.081036,1084005,3.7,544499
312.117206,1574763,5.8,283241
312.172207,7765109,32.9,459971
313.020536,1210891,4.3,502227
313.035562,2644238,10.5,512927
313.056799,4299026,17.8,448361
313.071996,2595092,10.3,537527
313.093117,6679832,28.2,480370
313.108328,1724699,6.5,230492
313.129532,6192415,26,469053
313.164645,1666853,6.2,481545
313.165952,2007845,7.7,541143
314.096454,1112267,3.8,656571
314.132855,1060818,3.6,662483
315.014891,1562480,5.8,527924
315.036069,1453428,5.3,510330
315.051245,4414071,18.3,468204
315.072395,3468411,14.1,457578
315.087696,3524222,14.4,485810
315.1088,3459713,14.1,465254
315.124015,2043780,7.9,435666
