m/z,I,S/N,Res.
184.249913,906334,3.3,1223011
187.095066,857837,3.1,1357678
187.807073,940183,3.5,897493
189.38556,902682,3.3,1278983
189.933414,909562,3.3,1335038
191.994464,886139,3.2,1343319
192.756522,867764,3.1,1292767
193.287924,849435,3,1105213
193.823109,904527,3.3,861045
195.036225,1627626,6.8,1157306
195.366346,930550,3.4,1172598
197.196724,879465,3.2,1563149
198.204605,852372,3,1357386
198.894533,903419,3.3,888757
198.97515,882166,3.2,1124108
199.68541,883340,3.2,1152857
199.904082,870096,3.1,857600
199.990665,853246,3,1261688
200.365279,859143,3.1,1072126
200.92592,939950,3.5,946647
203.20922,927005,3.4,1167029
203.377225,867797,3.1,1355128
204.47815,887162,3.2,1260796
205.654931,887644,3.2,1391728
207.509828,953084,3.5,1125108
207.76131,915672,3.3,998109
209.568543,847168,3,946298
209.69568,855033,3,946603
211.305029,859400,3.1,1100810
211.396123,935865,3.4,1101446
211.682907,955290,3.5,1114463
212.745597,948026,3.5,919099
213.025649,929064,3.4,876285
215.272444,876251,3.1,1088634
215.629745,877472,3.1,1136817
215.846468,862027,3.1,1074318
216.710481,859999,3.1,1105774
216.936446,897010,3.2,700391
218.086157,862357,3.1,1079825
218.469548,862428,3.1,1294744
218.828879,938587,3.4,1006270
219.464988,867343,3.1,1239549
219.785391,877686,3.1,661493
222.840407,889472,3.2,1278288
225.874362,930698,3.4,1115905
226.480431,911950,3.3,1093135
228.410327,859922,3.1,952076
230.394999,924903,3.4,873609
230.994901,873703,3.1,538868
231.082853,871675,3.1,872376
232.079522,867813,3.1,1054691
232.479925,916598,3.3,1001395
232.64863,856510,3,877234
234.161804,869666,3.1,868419
234.189218,890771,3.2,1073500
235.082315,871949,3.1,1044173
235.177394,873169,3.1,996808
239.81891,860636,3,882275
240.284032,868342,3.1,861665
240.445159,928222,3.4,926161
242.271185,904804,3.2,1052582
242.413145,853804,3,1118887
242.429828,869197,3.1,775429
242.545791,921812,3.3,1047019
243.541617,880861,3.1,942126
244.738404,888212,3.2,1084815
246.5901,902580,3.2,698331
248.149366,930677,3.4,642243
248.442058,869544,3.1,826137
248.774871,864509,3,853121
252.257172,882672,3.1,918767
253.118829,869018,3.1,679633
254.754102,883993,3.1,902228
255.062197,901742,3.2,975474
257.134384,887310,3.1,721328
258.520251,905024,3.2,419966
259.82021,908061,3.2,866143
260.956002,951759,3.4,755682
262.784072,1297428,5.1,756603
263.128979,994158,3.6,833731
264.478394,1009745,3.7,883459
264.781126,1222280,4.7,935163
265.035519,1185242,4.5,1130932
265.071883,972893,3.5,1222604
265.108204,992416,3.6,818781
266.803934,2147678,9.1,715750
267.08742,1292659,5.1,1045392
267.123796,936982,3.4,724977
268.801006,2810228,12.3,722303
269.066764,909048,3.2,687678
269.103099,1444170,5.8,905238
270.798077,2244618,9.6,988985
271.056548,885214,3.1,851509
271.082473,958304,3.5,1112983
272.161652,924209,3.3,1069809
272.593257,874706,3.1,905248
272.79513,1030753,3.8,1071274
273.209676,893473,3.2,901598
274.971754,1507975,6.1,768806
277.059798,1965541,8.2,973225
277.071867,1255398,4.9,900208
277.108344,1052072,3.9,551762
277.155841,983532,3.6,938068
277.85025,864897,3,820642
277.934388,888711,3.1,575451
279.051161,1589563,6.4,706357
279.087504,1663102,6.8,866486
279.123999,1277121,5,519489
279.606658,896229,3.2,969686
279.91741,3219389,14.2,502046
279.917962,13578045,63.2,799689
280.539128,906635,3.2,723043
280.98821,898829,3.2,680851
281.030352,1390224,5.5,904703
281.066746,1760659,7.2,845466
281.103166,1742870,7.2,791481
281.139572,1690521,6.9,815864
281.686917,968706,3.5,695994
281.913733,1230547,4.7,792296
283.04605,972199,3.5,1207907
283.082471,1529770,6.1,729698
283.118854,1634157,6.6,732414
283.154556,900271,3.2,1230863
285.061736,983101,3.6,835051
285.098092,1381695,5.4,982854
285.390534,866325,3,961850
286.177342,1136143,4.3,972948
286.615114,950495,3.4,545472
287.002818,929803,3.3,954677
287.07736,1025489,3.7,1079515
288.98742,1729500,7.1,871560
289.035523,1616351,6.5,895449
289.108161,964964,3.5,728825
290.657954,1017748,3.7,779601
291.051121,1242353,4.8,1000084
291.087492,1509235,6,851303
292.827529,1250160,4.8,545771
292.848231,894897,3.1,763418
293.030373,1736574,7.1,756137
293.06679,2131841,8.9,675951
293.10315,2549507,10.9,850694
293.139574,1313542,5.1,964862
293.175976,5173257,23.2,703723
294.179245,1254224,4.8,860067
294.824556,1605118,6.4,741877
295.046021,2054670,8.5,776510
295.08158,1155920,4.3,600098
295.082453,2704784,11.6,843698
295.118283,1564307,6.2,932876
295.118854,3150227,13.7,728134
296.729326,883269,3.1,1108888
297.025334,1038298,3.8,823928
297.061741,1928092,8,860987
297.098109,2660895,11.4,402005
297.133965,1153313,4.3,1307911
297.134429,2176930,9.1,719702
297.15313,4481059,19.9,811758
299.077387,2103979,8.7,832708
299.113781,2080173,8.6,470306
299.150079,1350704,5.2,839119
300.192972,2713081,11.6,670438
301.035536,1206581,4.6,691803
301.092993,1214457,4.6,741140
302.172212,1384325,5.4,437597
303.051102,1369795,5.3,693433
303.087626,1281093,4.9,859126
303.123951,885896,3,1032267
303.703122,886961,3.1,725110
305.030427,1195342,4.5,1076020
305.066839,1701969,6.8,628555
305.103242,1880916,7.7,811941
305.13953,942934,3.3,965929
306.90722,3130835,13.5,761832
307.046069,2195805,9.1,556083
307.082462,3052768,13.1,742977
307.118888,2434914,10.2,690247
307.155185,1422053,5.5,837826
309.025427,1709162,6.9,814312
309.061717,3272300,14.1,714612
309.098132,4246639,18.6,691696
309.134509,2594162,11,619178
309.170875,991348,3.5,1210431
309.543664,937295,3.3,760531
311.040954,1870330,7.6,827698
311.077394,3714301,16.1,598588
311.113797,5170687,22.8,647179
311.150088,1452162,5.6,745193
311.167657,2712579,11.5,470878
311.16879,14339075,65.3,663429
312.172178,2568907,10.8,519696
313.056632,2076299,8.5,716971
313.093046,3479950,15,667632
313.129434,2810768,11.9,556386
313.165846,905107,3.1,418139
314.132669,904473,3.1,746146
314.208705,2407903,10.1,429176
315.051179,1231900,4.6,607987
315.072293,2470174,10.3,729589
315.087498,1064479,3.8,489980
315.1087,2019232,8.2,412791
315.145053,942563,3.3,666651
315.167484,1139748,4.2,781491
315.181428,1114917,4.1,793581
315.978143,884192,3,601136
316.187941,1632751,6.5,650318
316.373754,906077,3.1,593622
317.030491,1198253,4.5,936348
317.066854,2133680,8.8,816480
317.087896,1055985,3.8,360585
317.103278,1642802,6.5,745841
317.124338,902324,3.1,1175759
317.139613,948725,3.3,873210
319.046075,2677059,11.3,708401
319.081942,984005,3.5,780026
319.082514,2570053,10.8,796797
319.118837,2462792,10.3,737161
319.155395,1216459,4.5,587560
320.049063,928270,3.2,796963
320.742777,1254850,4.7,729097
320.922917,3776720,16.3,650532
321.025326,2118231,8.7,694103
321.060475,1025498,3.6,1007753
321.061751,3315162,14.2,555933
321.09815,3341533,14.3,635108
321.134491,2190688,9,487993
321.170977,982242,3.4,443830
321.590586,898306,3.1,815258
321.922385,1142555,4.2,768852
322.101481,888745,3,513595
322.530108,954570,3.3,621712
323.040994,2685041,11.3,691934
323.076444,989299,3.5,1381594
323.077389,5013364,22,622115
323.113789,4315254,18.8,579394
323.150197,2229369,9.2,572641
324.080787,1390145,5.3,917415
324.11702,918404,3.1,735190
325.056695,3900941,16.8,636093
325.093049,6888975,30.5,663580
325.128487,1410834,5.4,868848
325.129453,4680722,20.4,667543
325.165845,1862549,7.5,691430
325.184477,13025302,58.6,610007
326.060076,940251,3.2,766069
326.096457,1367134,5.2,798656
326.132911,1028577,3.6,886701
326.187778,2431333,10.1,666342
326.75974,1316882,5,562030
327.036024,1535784,6,688784
327.051107,1084841,3.9,655421
327.071564,1327915,5,829514
327.072316,4449451,19.3,621417
327.10874,5802158,25.5,628276
327.145053,3333297,14.2,744620
327.209384,915702,3.1,664975
328.075751,1021947,3.6,589701
328.111495,891901,3,1066527
328.112019,1103101,4,810045
328.187879,1003907,3.5,893543
328.224434,1659014,6.5,541464
328.347094,888144,3,601506
328.75682,1017009,3.6,823326
329.030415,1039623,3.7,611244
329.050442,899401,3,999026
329.051687,2246985,9.2,645237
329.066825,1667722,6.5,547855
329.087968,3176268,13.4,592846
329.103296,933645,3.2,614159
329.123627,1016143,3.6,1301612
329.124391,3034703,12.8,670951
329.139314,980240,3.4,775240
329.160838,1410386,5.4,370403
329.183208,1337811,5,652325
329.233531,943287,3.2,564815
330.167285,1077923,3.9,748517
330.203642,3660966,15.6,631170
330.35119,896178,3,759688
330.753843,988755,3.4,773015
331.046143,2368491,9.7,654168
331.06719,1345005,5.1,643164
331.082503,1975790,8,697009
331.103666,1630448,6.4,790388
331.118936,1764849,7,796639
331.139918,900467,3,525575
331.155114,1358836,5.1,723556
331.162411,891125,3,838172
332.182932,1204681,4.4,849672
333.025407,1974927,7.9,676054
333.061817,3860626,16.6,631859
333.082711,896788,3,777775
333.098132,3175573,13.4,606263
333.134585,2434968,10,538898
333.170906,1351963,5.1,649714
333.848855,974420,3.4,595636
334.065143,931430,3.2,962686
334.128796,932460,3.2,765030
334.177441,973296,3.4,887043
334.938696,1179057,4.3,348690
335.004314,936502,3.2,745883
335.041103,3358777,14.2,582990
335.07741,4447549,19.2,621588
335.112796,1161792,4.2,411045
335.113856,4573504,19.7,647098
335.150213,2785603,11.6,619332
335.186644,1328966,5,859959
337.020312,1621604,6.3,594446
337.056697,4995048,21.6,565067
337.093038,6848491,30.1,653006
337.129507,5565422,24.2,655651
337.165849,2869489,12,560480
338.096487,1557827,6,680423
338.132928,1359942,5.1,633495
338.793005,906624,3.1,781264
338.932184,1419405,5.4,748375
338.933505,7534733,33.2,611912
339.035975,2909078,12.2,399123
339.05119,1264279,4.7,688722
339.072317,7459993,32.9,599118
339.107622,1309596,4.9,275681
339.108778,8078493,35.7,616670
339.145093,5254304,22.7,594454
339.181541,1281187,4.7,695996
339.200136,3594405,15.2,584219
339.933057,1536230,5.9,785718
340.075788,1201651,4.4,656775
340.112195,1816310,7.2,702378
340.930599,1007424,3.5,515766
341.015263,1044552,3.7,827819
341.030473,1040202,3.7,627928
341.051597,4586316,19.7,591151
341.066802,967757,3.3,678657
341.086473,1268303,4.7,463680
341.088028,8501583,37.4,621464
341.103334,1189456,4.3,803601
341.124395,7357266,32.3,619235
341.160792,2653526,11,677060
341.197187,915801,3.1,637931
341.303022,908514,3.1,776389
342.091374,1251755,4.6,609260
342.127634,1101934,3.9,628729
342.167244,969522,3.3,598668
342.240001,3005881,12.6,671333
342.761102,964521,3.3,648018
343.03087,1462530,5.6,765330
343.046249,1558275,6,709576
343.067307,3940357,16.8,626293
343.082528,1761287,6.9,732027
343.103658,6523913,28.5,611974
343.118935,1413002,5.3,653242
343.140021,2929676,12.2,652086
343.176482,1196560,4.4,649849
343.198879,1862418,7.4,756188
343.212805,1245075,4.6,683348
343.704708,944257,3.2,521736
344.106909,1157159,4.2,605582
344.219299,2296178,9.3,585681
344.759236,1859493,7.3,588568
344.769329,1294758,4.8,815666
345.025435,1656382,6.4,614053
345.046614,949824,3.2,684999
345.06181,2984642,12.4,602098
345.082886,2657732,10.9,576871
345.09818,3051717,12.7,572756
345.11929,2102215,8.4,759694
345.134617,2319817,9.4,380062
345.155677,1104843,3.9,592811
345.170952,1820364,7.2,656044
345.178101,1292621,4.8,471522
346.757131,1923941,7.6,609507
346.766313,1517670,5.8,561713
347.041042,3826817,16.2,578666
347.077479,4031365,17.1,596840
347.098562,1003143,3.5,672036
347.113806,4158856,17.7,644868
347.150241,3445644,14.5,663864
347.186497,1375759,5.1,496058
349.02037,2009925,8,699079
349.05671,5785673,25,588354
349.091749,1417548,5.3,834303
349.093075,6045773,26.2,535073
349.106203,2682446,11,511815
349.128268,1443664,5.5,804033
349.129532,5557328,24,577894
349.165841,3853396,16.3,560499
349.202334,1403735,5.3,763085
349.43256,976111,3.3,569191
349.475529,1043315,3.6,608626
350.060124,1234094,4.5,770017
350.096265,1537458,5.8,546277
350.132857,1377205,5.1,690460
350.172372,1173306,4.2,669822
350.786255,4082936,17.3,669661
351.034616,963858,3.3,718754
351.035999,4520466,19.2,546942
351.070887,1332885,4.9,558704
351.072346,8029462,35,563281
351.103119,1381529,5.1,701257
351.107434,1389593,5.2,372783
351.108733,8664345,37.9,575545
351.134664,1135900,4,718328
351.143744,1259293,4.6,718361
351.145129,6686493,29,567785
351.181482,2906657,12,602469
351.217959,903781,3,611077
352.075714,1611133,6.2,800350
352.103912,931904,3.1,353463
352.112102,1636097,6.3,576260
352.148465,1375621,5.1,765707
352.783316,5536200,23.8,625346
352.948125,1976153,7.8,580149
352.949143,14460377,63.9,568811
353.01528,1029856,3.6,888429
353.030601,1147234,4.1,832824
353.051616,6775268,29.4,606671
353.088044,9977320,43.7,579633
353.124364,10045931,44.1,584755
353.160781,5615087,24.2,607006
353.19715,1555315,5.9,621902
353.948734,2824771,11.6,587723
354.054925,1097806,3.9,712320
354.091357,1843282,7.2,685479
354.127804,1776470,6.9,604487
