m/z,Magnitude,S/N,Res.
139.235749,855556,3.1,1404825
139.267469,894223,3.2,1439004
139.527227,879791,3.2,1579856
139.991585,904636,3.3,1306595
140.710928,1281888,5.1,1492621
140.71867,2278765,9.9,1303453
140.787548,1153120,4.5,1559427
140.789871,1305268,5.2,602689
141.34861,961329,3.6,1164382
142.473148,1016457,3.8,1516982
142.980737,1584511,6.6,1167514
143.576502,867838,3.1,1349216
144.396272,895733,3.2,1377193
145.08496,1167374,4.6,1197335
145.139091,896340,3.3,1573796
145.585158,909133,3.3,918130
146.204172,886921,3.2,816535
146.315191,884852,3.2,1501396
146.418827,1325473,5.3,1319889
146.419363,3598813,16.3,1167695
146.42178,2069801,8.9,1299055
146.421979,2076461,9,985072
146.424312,3178153,14.3,317197
146.424444,3344401,15.1,575719
146.424882,34964456,168,1002335
146.53448,1151066,4.5,1202803
146.536119,2947236,13.2,1088914
146.646026,5048423,23.3,1008394
146.753713,1366822,5.5,691899
146.757693,984620,3.7,1327740
146.817613,848447,3,998894
147.084957,2348248,10.3,1121921
147.090251,1560688,6.5,1382724
147.425264,1507911,6.2,1016747
148.99911,948816,3.5,997323
149.266719,879085,3.2,964322
149.493854,902940,3.3,938790
150.8392,863688,3.1,1111318
153.439313,974919,3.6,1285579
153.687315,849173,3,865019
153.937202,952819,3.5,1304606
154.429434,2073959,8.9,982501
154.653563,847154,3,706188
154.834676,1054060,4,1148601
155.094009,901895,3.3,1174546
155.840687,934378,3.4,812645
156.594588,851673,3,1427164
156.793917,849000,3,1443108
157.408069,898173,3.3,1038811
157.883294,941998,3.5,1060957
158.682037,850839,3,1190978
159.261904,928397,3.4,556149
159.355876,857821,3.1,683140
159.426444,867932,3.1,1000526
159.523729,5281292,24.5,951531
159.65595,1093964,4.2,1075388
159.786424,1582427,6.6,929059
159.840201,973483,3.6,1000360
160.394397,1156122,4.5,1524242
160.3968,854122,3,998871
160.601727,1094218,4.2,1033608
160.680396,880250,3.2,992456
161.229716,876649,3.2,1118339
162.450232,866881,3.1,845102
163.011204,1001554,3.8,940148
163.638567,846396,3,1024836
165.782138,913462,3.3,1050226
165.862142,952095,3.5,1000526
166.411118,846331,3,1359678
166.913486,885535,3.2,1038572
167.018461,909344,3.3,1012118
168.958587,881831,3.2,1237433
169.367451,1513181,6.2,821804
170.811059,945877,3.5,1006010
171.191919,861068,3.1,1268551
171.709313,846982,3,1009024
171.974473,854876,3,1171805
172.350696,1530260,6.3,1081925
172.685859,1749052,7.4,497485
172.810488,1385183,5.6,1068468
174.371934,7845415,36.8,1024513
175.328005,887043,3.2,1006670
176.529525,871770,3.1,1021644
176.680452,867552,3.1,669487
177.117898,1452479,5.9,915889
177.452103,889035,3.2,1218317
177.980627,871263,3.1,841178
178.247879,870649,3.1,1065995
180.638235,871245,3.1,1108017
180.798303,869236,3.1,1219305
183.234974,922442,3.4,1165348
184.004353,897298,3.2,1018186
184.572995,959344,3.5,1019070
185.900568,848490,3,841786
185.983169,1245918,4.9,931167
185.987605,1304607,5.2,750907
185.987966,1488031,6.1,1194715
186.443166,991257,3.7,1086606
188.719887,906243,3.3,1027581
189.117458,885404,3.2,1072802
191.306015,908107,3.3,1000599
192.728234,993933,3.7,775457
193.728216,921236,3.3,1146342
193.799538,2179802,9.4,764651
194.226224,3246136,14.5,954436
194.274824,1018876,3.8,1054782
194.464921,985450,3.7,317980
194.950354,1528685,6.3,706545
198.655275,888010,3.2,718669
199.818447,983943,3.6,923241
201.203392,861720,3.1,829842
201.413125,898441,3.2,749151
202.390273,2202555,9.5,848201
202.460208,2158017,9.3,844724
203.778798,1439857,5.8,940574
203.908829,1028540,3.9,922093
205.890188,898984,3.2,881735
206.175139,874465,3.1,781843
206.631147,852201,3,959252
206.78668,857271,3,908525
208.615602,908170,3.3,496390
208.980137,907579,3.3,746046
210.820519,902370,3.2,706602
212.483596,1107963,4.2,986761
213.215,856351,3,772412
214.470066,869524,3.1,714700
215.069291,947244,3.4,555336
215.298338,896289,3.2,807290
216.205064,860214,3,481356
217.732118,865126,3,716831
218.32697,872863,3.1,1028014
218.817318,889805,3.2,868514
218.983503,861661,3,847654
219.262604,863095,3,768484
219.628434,5169370,23.6,397934
219.62897,5247962,24,722926
219.635103,8117979,37.7,750860
219.64174,1541339,6.3,388554
220.133369,1499466,6.1,731143
220.385663,907105,3.2,735804
220.627076,2522808,11,712163
220.627433,4007992,18.1,883444
220.633822,3014457,13.3,835006
221.129095,887528,3.2,840773
223.021405,977563,3.6,830510
223.825002,911399,3.3,808665
223.864226,1090027,4.1,696766
223.975203,865141,3,895551
226.1149,861119,3,904929
226.800558,877632,3.1,712083
227.665724,858769,3,717130
227.983976,870318,3.1,854848
229.120272,926968,3.3,621300
229.263437,864805,3,764901
229.36448,867055,3,831526
230.551927,1003165,3.7,672160
231.315661,875427,3.1,698827
231.634502,1592000,6.5,375454
232.397431,1054725,3.9,645604
233.614789,933236,3.4,827803
235.169887,942015,3.4,597811
236.97513,963422,3.5,810199
237.913424,910447,3.2,826020
239.089116,873748,3.1,600442
239.448123,865266,3,860784
240.081092,900519,3.2,765278
244.574478,864340,3,785020
246.389498,933855,3.3,716801
247.010965,907086,3.2,572142
248.5803,877314,3.1,638043
249.112603,904809,3.2,804644
250.48729,1564235,6.3,791676
251.605608,973466,3.5,585742
252.423921,880211,3.1,725505
254.045904,870786,3,601206
254.514572,928866,3.3,749951
255.32025,905432,3.2,591107
256.548336,1009193,3.7,652807
259.964424,884104,3.1,584596
266.472047,960356,3.4,648759
270.946685,926590,3.2,681110
273.424186,895068,3.1,574429
276.044984,964423,3.4,725447
276.186502,5929424,26.4,657503
277.54071,883242,3,609682
279.91761,17887946,81.5,348246
279.918194,42789580,196.5,569042
280.920959,979984,3.5,884767
280.92162,1104144,4,789410
281.914029,4284246,18.7,475969
285.668725,899301,3.1,611952
285.93883,891641,3,589945
291.411725,3248679,13.8,581575
291.412288,2822695,11.9,727156
291.423503,3388456,14.5,566174
293.176355,8005307,35.6,313635
294.179648,1585170,6.2,288139
295.082751,980065,3.4,733332
295.119213,1110596,4,423178
295.155358,1084647,3.9,526518
297.098592,986776,3.4,212493
297.152619,1597469,6.2,655151
297.153404,2520605,10.4,564304
298.818402,970298,3.4,542094
299.11406,1020118,3.6,391056
301.107676,980763,3.4,580948
301.455979,932158,3.2,499507
302.922015,929365,3.2,530642
303.051264,974883,3.4,547387
305.067044,1321275,4.9,628078
305.103526,1557567,6,594049
305.139889,999491,3.5,780973
306.907604,2033162,8.1,349541
307.082725,1670174,6.5,379290
307.119208,2076962,8.3,497821
307.155505,8327207,36.6,510124
308.158844,1293851,4.8,222566
308.236522,1843621,7.3,422325
309.061957,2238471,9.1,548351
309.09854,2718987,11.2,338337
309.134792,3148048,13.2,448668
309.17117,11437332,50.7,404549
310.174489,2693518,11.1,496915
310.21596,1029395,3.6,510827
310.789682,926171,3.1,630265
311.041294,1288186,4.8,484245
311.077777,2960895,12.3,457109
311.114094,4212483,18,278550
311.15046,3190792,13.4,359634
311.169042,19226122,85.9,441812
311.186886,3106060,13,417010
312.11709,1079171,3.8,350100
312.172431,3769994,15.7,472019
313.057026,1778173,6.9,401037
313.093329,3928834,16.4,434441
313.12986,3296519,13.6,328906
313.166075,1634572,6.2,480861
314.133113,1038220,3.6,649494
315.015004,1114372,3.9,582665
315.051589,1165577,4.1,601418
315.072544,2267660,9,276348
315.087886,1248654,4.5,489201
315.108943,2188305,8.7,317336
315.12415,1127059,4,266790
315.14544,1522070,5.7,409597
315.160547,949784,3.2,743565
315.181983,1285275,4.7,270596
317.030721,1358623,5,749977
317.067081,1851429,7.2,494423
317.088027,1147432,4.1,302375
317.103548,1873962,7.3,554789
317.139877,1683503,6.4,566811
317.267681,2774082,11.3,349652
319.01004,1035586,3.5,677801
319.045272,933191,3.1,488219
319.046418,2629704,10.5,529269
319.082895,2269517,8.9,432761
319.119202,3002706,12.1,419792
319.155695,1806168,6.9,519383
319.190998,4940381,20.6,486677
319.19199,1318749,4.7,497676
319.862835,1187523,4.2,496827
320.743124,2692427,10.8,537778
320.923212,6800231,28.8,465194
321.025623,2023799,7.8,225537
321.062089,3100541,12.5,511565
321.098364,3759490,15.4,415217
321.13479,4063112,16.8,416692
321.158992,1916812,7.4,448750
321.171162,1939342,7.5,400106
321.188351,1246224,4.4,396319
321.22035,1127573,3.9,266631
321.922548,1122565,3.9,467131
322.101955,1043489,3.5,642500
322.138223,1137959,3.9,658134
322.540117,20851816,90.3,450382
322.566801,1294828,4.6,254767
322.740185,1808520,6.9,479892
323.041255,2845113,11.4,366721
323.07683,1822143,6.9,531447
323.077699,5317824,22.3,438815
323.114102,7011525,29.7,417444
323.15042,5889227,24.8,416793
323.186907,1717201,6.5,546077
324.117609,1375595,5,508320
324.153907,1258353,4.5,462799
324.762913,2070488,8,379350
