m/z,Magnitude,S/N,Res.
138.548749,901724,3.3,1324149
139.460714,860596,3.1,1326147
139.721732,876547,3.1,1344799
140.710943,1114955,4.3,1322223
140.786783,937268,3.4,1100447
140.791966,851520,3,912464
141.500656,872336,3.1,1073992
141.875045,899514,3.3,1274489
142.297177,851935,3,1061452
142.585781,855422,3,908259
142.970955,959369,3.5,1187707
142.98086,1416306,5.7,1307540
143.29629,874433,3.1,1316709
143.981796,978980,3.6,1077196
144.655086,922015,3.4,1306469
144.794889,851229,3,1129111
144.973347,871334,3.1,1171485
146.419292,2588621,11.4,1128644
146.421984,1680425,7,1230355
146.42449,2273301,9.9,916284
146.460588,862467,3.1,1122846
146.753652,925390,3.4,1608725
147.084922,1008820,3.8,1199984
147.340865,867907,3.1,1298363
149.786952,973653,3.6,1116727
151.133493,894250,3.2,1177377
152.0759,848612,3,857579
152.266088,856561,3,1152956
153.044117,872486,3.1,1459611
153.072193,867314,3.1,1076693
153.81304,1034315,3.9,930916
156.719426,899298,3.3,746435
157.050524,857657,3.1,1299335
157.245089,848088,3,442411
157.500966,866488,3.1,1074724
158.295188,877406,3.1,998967
158.406728,1034621,3.9,991329
159.425604,873076,3.1,852889
159.523772,871564,3.1,1600835
160.378081,848707,3,1316721
160.394571,892795,3.2,1640108
160.598216,851794,3,1145842
160.683153,867842,3.1,770003
160.732155,895778,3.2,1065068
161.183,850418,3,948951
161.575671,854426,3,1063943
161.961595,888602,3.2,1427185
162.817927,940930,3.5,989296
163.533347,882411,3.2,1239048
163.863268,875128,3.1,808597
165.855358,937737,3.4,1042221
166.102543,905218,3.3,1253561
168.343815,871821,3.1,1178221
168.653708,851279,3,1174483
168.664536,847791,3,1175262
168.703748,893503,3.2,1060377
168.793314,848511,3,787915
168.794223,872591,3.1,1113031
169.086826,957089,3.5,981939
169.684164,883030,3.2,1098062
172.069432,904731,3.3,1271857
172.351177,1125390,4.3,1270337
172.685854,2118354,9.1,752540
172.798838,939139,3.4,1179751
