m/z,Magnitude,S/N,Res.
138.233867,1048944,3.9,1583827
138.55834,907973,3.2,1280805
138.581739,901755,3.2,925627
139.282454,1341774,5.2,1493256
139.906967,873759,3,562775
139.911775,962067,3.4,1193703
139.917376,872637,3,750446
139.92135,881163,3.1,1326415
139.922816,1089868,4,681207
139.923818,1102052,4.1,1580045
139.925231,935792,3.3,1326356
139.926487,1118149,4.2,903751
139.928238,911075,3.2,1540504
139.9291,900512,3.2,1269156
139.930012,1030107,3.8,424699
139.930816,950381,3.4,773114
139.930987,940534,3.3,1513058
139.931197,1463094,5.8,1436715
139.932126,884000,3.1,1286986
139.932327,1333186,5.2,1554639
139.932741,1148756,4.3,1624613
139.933142,1397784,5.5,524416
139.933436,2084031,8.7,1002559
139.933899,1724686,7,1269379
139.934312,1665136,6.7,782301
139.934726,1821556,7.5,1295380
139.934955,1445392,5.7,895474
139.935643,1080072,4,545311
139.936059,1551271,6.2,1319357
139.936967,2082507,8.7,1192016
139.937132,1126727,4.2,1219448
139.937528,1658444,6.7,728302
139.937823,1490830,5.9,1175968
139.938199,2266539,9.6,903991
139.938992,1316775,5.1,510619
139.939282,1026852,3.7,1018089
139.939429,1547149,6.2,1521553
139.939664,2274329,9.6,1602042
139.939804,2471175,10.5,711772
139.939984,1984237,8.2,1015922
139.940147,2258837,9.5,1010651
139.940411,3044007,13.2,1378937
139.940558,2559658,10.9,972017
139.940681,1450643,5.7,623256
139.940782,2158319,9.1,1755635
139.940993,1599987,6.4,1347572
139.941124,1918507,7.9,1530022
139.941316,3983307,17.6,852685
139.941665,1854195,7.6,1478420
139.94186,1379999,5.4,1418767
139.942018,2112330,8.8,399376
139.94236,3714023,16.4,753569
139.942622,1528666,6.1,2118865
139.942758,1350827,5.3,1548685
139.943009,1760611,7.2,1476210
139.943224,1923967,8,1151198
139.943405,3260708,14.2,1351628
139.943544,3254309,14.2,1146661
139.943702,1843788,7.6,1084653
139.943989,3725618,16.4,1296118
139.944209,6113172,27.6,911149
139.944401,2755097,11.9,578270
139.944589,3335956,14.6,1252282
139.944714,4324983,19.2,996665
139.944949,3193525,13.9,1081146
139.945086,3658690,16.1,1193364
139.945236,3242654,14.2,1253802
139.945492,4177228,18.5,1234065
139.945682,2670552,11.5,1693511
139.945822,4829321,21.6,698512
139.9462,6254256,28.3,1078481
139.946564,6084239,27.5,1280139
139.9469,2606066,11.2,571543
139.947133,2700551,11.6,805782
139.947352,4918386,22,243833
139.947747,5320494,23.9,1053585
139.947928,2403438,10.2,2166442
139.948123,3956496,17.5,819259
139.948445,5600510,25.2,1377030
139.948576,3424944,15,1050391
139.94885,5213834,23.4,931490
139.949147,2614243,11.2,996178
139.94937,5170300,23.2,1209404
139.949545,2744782,11.8,1131544
139.949678,2639572,11.3,976218
139.949976,5990751,27.1,830145
139.950207,6061572,27.4,1203015
139.950489,3332142,14.6,931166
139.950754,3436317,15.1,1423894
139.950861,1269020,4.9,3184930
139.95104,3784851,16.7,1299777
139.95118,3641409,16,579663
139.951407,3404148,14.9,1421146
139.951849,3351980,14.7,630318
139.952061,3911247,17.3,1202276
139.952348,4243629,18.9,618288
139.952669,2096017,8.8,1187162
139.952875,3014151,13.1,707133
139.953235,3559907,15.6,925209
139.953635,2201809,9.3,1287731
139.953925,1865867,7.7,489483
139.954103,1645902,6.7,1428505
139.954355,3669134,16.2,651185
139.954591,1987213,8.3,1477975
139.954909,2245886,9.5,1116454
139.955141,2254583,9.5,1160314
139.955277,1551031,6.2,1013984
139.955945,2756352,11.9,426930
139.956316,2481138,10.6,1023689
139.956478,2123596,8.9,1006021
139.956663,1362539,5.3,1428991
139.957006,2529622,10.8,617078
139.957308,1835061,7.5,728201
139.957431,1677630,6.8,1195063
139.957624,2003791,8.3,1675955
139.957756,1077593,4,1589198
139.957908,2574988,11,1137389
139.958131,1895535,7.8,1481344
139.958264,1547872,6.2,789978
139.958607,1101965,4.1,1144359
139.959003,1663136,6.7,760459
139.959189,1347272,5.3,1219496
139.95962,1197492,4.5,581317
139.959917,1324481,5.1,1810469
139.960155,1793142,7.3,728528
139.960324,909800,3.2,1962541
139.960532,1218905,4.6,881889
139.96084,1352274,5.3,922828
139.961065,1391468,5.5,601727
139.96151,1231508,4.7,635679
139.962297,1525909,6.1,778430
139.962785,895778,3.1,1521085
139.963114,1233555,4.7,1163261
139.963752,948452,3.4,638875
139.963928,1259394,4.8,1353074
139.964172,1035547,3.8,1591491
139.964482,1119470,4.2,1310525
139.96494,974054,3.5,981120
139.965337,959111,3.4,1744697
139.965571,1051831,3.9,1447371
139.965755,1564122,6.3,1069976
139.966122,1156110,4.4,1479039
139.966515,1428685,5.6,616418
139.967812,1013315,3.7,613363
139.968262,1163096,4.4,1151247
139.969322,962166,3.4,556303
139.969995,1060462,3.9,1150842
139.970512,1069988,4,482961
139.971069,1024436,3.7,817977
139.971445,1057510,3.9,1203975
139.971932,1113017,4.2,656449
139.972617,1001375,3.6,1747198
139.97355,963204,3.4,460931
139.975182,959669,3.4,528420
139.977985,1057747,3.9,1417149
139.980544,983609,3.5,1843836
139.993071,1136481,4.3,1495638
139.993806,898048,3.1,1200975
140.191175,1009784,3.7,1080675
140.456882,886477,3.1,1457792
140.78901,1105752,4.1,1149668
140.795161,927744,3.3,1103296
140.796023,1047327,3.8,1462118
140.802337,932627,3.3,1403676
140.803852,895518,3.1,948214
140.80558,872381,3,935019
140.809793,978612,3.5,1271865
140.810295,976166,3.5,1745753
140.811113,954502,3.4,513839
140.811906,1273689,4.9,1453410
140.812245,906611,3.2,628304
140.813109,950539,3.4,1566661
140.813334,1006735,3.7,983181
140.813698,1334349,5.2,1087729
140.813876,1433647,5.7,957993
140.814446,1018033,3.7,475254
140.815356,1321261,5.1,867968
140.815574,1373772,5.4,915380
140.816072,1070083,4,565691
140.816604,1301565,5,1496048
140.8174,1896774,7.8,1207334
140.817761,1361155,5.3,441479
140.818036,1583247,6.4,891252
140.818288,1582057,6.4,1218153
140.818539,1351068,5.3,1118035
140.819188,1243067,4.8,701177
140.819862,1630088,6.6,827000
140.820127,1348608,5.3,782528
140.820933,1432522,5.7,1330789
140.821332,1578134,6.3,683384
140.822007,1502871,6,1261189
140.822225,2131712,8.9,812799
140.822877,2713445,11.7,529550
140.823275,1468422,5.8,667095
140.823647,1778601,7.3,1148751
140.823945,1472280,5.8,918685
140.824226,2073377,8.7,1261765
140.824383,1489481,5.9,1775339
140.824516,1333582,5.2,1835124
140.824863,3118595,13.6,484795
140.825262,1703934,6.9,1122469
140.825655,1500155,6,569910
140.826307,2393876,10.2,666958
140.826542,1966410,8.2,901946
140.826739,2506530,10.7,1077279
140.82697,1890860,7.8,735552
140.827482,2527431,10.8,335478
140.82782,2148041,9,678986
140.828005,1646023,6.7,1281343
140.828176,1767087,7.2,1155058
140.828404,2398984,10.2,769586
140.828673,3126918,13.6,720918
140.828824,2656662,11.4,1515420
140.829002,3485406,15.3,738670
140.82929,3127348,13.6,1079441
140.829559,3542111,15.6,952328
140.829708,1606774,6.5,1349699
140.829927,2068033,8.6,785138
140.830128,4394626,19.6,815582
140.830315,3192847,13.9,1348508
140.830505,3110651,13.5,1308400
140.830763,4362025,19.4,881905
140.830901,3712657,16.4,965083
140.831203,4405734,19.6,527224
140.831438,4849998,21.7,1266080
140.831581,4522486,20.2,1113429
140.831714,5768796,26,1174664
140.831901,4090130,18.1,1104354
140.832141,5232267,23.5,1188074
140.832516,3365069,14.7,463108
140.832751,4923331,22,1115029
140.833014,5811428,26.2,1492215
140.833134,4284650,19,1314192
140.833319,4174865,18.5,802875
140.833447,2211546,9.3,2134159
140.833622,4712363,21.1,1374019
140.833818,4090011,18.1,1359987
140.833921,2449375,10.4,1376476
140.834154,4061997,18,897721
140.834436,6149416,27.8,1056627
140.834565,5960959,26.9,1062871
140.834724,6187934,28,806526
140.834973,3972122,17.6,1706363
140.835174,3994788,17.7,1419982
140.83547,2551006,10.9,1026278
140.83561,3885956,17.2,1499028
140.835797,3484354,15.3,1426689
140.835912,3705543,16.3,1109622
140.836239,3192623,13.9,442080
140.836427,2827900,12.2,836919
140.836584,3109502,13.5,1021065
140.836731,4335524,19.3,906613
140.837054,4579987,20.4,825470
140.837248,2838029,12.3,1411332
140.837374,3200960,14,499255
140.83757,2965473,12.9,1899449
140.83769,3070185,13.3,1653397
140.837844,6399013,29,576833
140.838412,5472860,24.6,798785
140.838728,3199125,13.9,1071248
140.838845,5086344,22.8,1441721
140.838977,4514642,20.1,1373601
140.839157,1618794,6.5,1193711
140.839327,1994214,8.3,956106
140.839451,2592903,11.1,1942529
140.839582,5052945,22.7,1358906
140.839805,2650535,11.4,908961
140.840083,1962931,8.1,1157347
140.84023,1582400,6.4,1080249
140.840537,2124905,8.9,626036
140.840829,2520056,10.8,739149
140.84123,4117911,18.3,1323839
140.841515,4029604,17.9,545719
140.842061,1793742,7.3,570727
140.842208,1704013,6.9,1113070
140.842438,3413002,15,1337890
140.84264,4660388,20.8,681668
140.843044,2348874,10,518554
140.843453,1628299,6.6,1292646
140.843698,1896957,7.8,1851037
140.843817,1416730,5.6,1915561
140.843941,1553624,6.2,1915143
140.84408,1745436,7.1,841648
140.844362,1523023,6.1,1522242
140.844582,1356714,5.3,795432
140.845209,1533506,6.1,321110
140.845448,1751933,7.2,699138
140.845797,1781848,7.3,664175
140.846109,1664264,6.7,908975
140.846566,1537122,6.1,1339824
140.846682,1170751,4.4,1400170
140.847067,2743512,11.8,1062395
140.847313,1023954,3.7,1392769
140.847446,1556358,6.2,1609746
140.84776,1828411,7.5,1239230
140.848167,1240478,4.8,1442552
140.848873,1526396,6.1,1342026
140.849114,1212217,4.6,1485513
140.849282,1219063,4.7,522349
140.849725,1378115,5.4,938560
140.850669,1394937,5.5,506126
140.851323,1280992,4.9,376740
140.851701,1067224,3.9,949882
140.852327,1350665,5.3,848642
140.852749,904035,3.2,1267891
140.853375,1553230,6.2,865761
140.853694,1356708,5.3,835730
140.854277,1021173,3.7,1050060
140.854573,923885,3.3,718649
140.854974,1008931,3.7,1283293
140.85515,1608484,6.5,733631
140.855688,1122321,4.2,641161
140.855984,904640,3.2,1413664
140.856775,988905,3.6,1337136
140.857894,1007417,3.7,560817
140.859528,881808,3.1,1345679
140.861106,885869,3.1,1562504
140.861589,1252641,4.8,608507
140.864825,1088090,4,1106569
140.867145,1110664,4.1,1457229
140.867287,1111117,4.1,1615149
140.871831,965867,3.5,476735
140.892029,884198,3.1,962905
142.776709,1357644,5.3,1397521
142.907342,1093198,4.1,1295448
142.980233,1397865,5.5,1285352
143.384994,882286,3.1,1283135
143.912469,900353,3.2,1273032
144.70054,887617,3.1,1120420
