m/z,Magnitude,S/N,Res.
138.784973,882043,3.1,699245
139.78279,905446,3.2,1439933
139.892316,914438,3.2,696517
139.894609,900199,3.2,1591259
139.895357,1025329,3.8,1597450
139.896389,960146,3.5,963570
139.897777,1070873,4,1310984
139.898116,1023360,3.8,1278816
139.899012,945070,3.4,1126482
139.899716,1162526,4.4,546626
139.900286,959557,3.5,722473
139.900638,893525,3.1,1492186
139.90102,1178437,4.5,831938
139.90135,959017,3.5,890386
139.901745,1215294,4.7,1298495
139.902017,1064401,4,361808
139.902409,963437,3.5,1137266
139.902638,1446563,5.8,1380932
139.903274,1130855,4.3,557834
139.903731,942171,3.4,1613232
139.903997,1094856,4.1,496942
139.904501,1123988,4.2,1072675
139.904835,1170194,4.4,479827
139.905374,1186393,4.5,602495
139.905709,1860081,7.7,1419375
139.905877,969043,3.5,1158117
139.90653,1461862,5.8,850302
139.906823,1310640,5.1,1090603
139.907428,1487350,5.9,1062714
139.907986,1963025,8.2,1186662
139.908284,1189584,4.5,1488315
139.908488,1129193,4.3,968258
139.908775,1956896,8.2,1167842
139.909115,1256483,4.9,459431
139.909503,1510499,6.1,1167547
139.909849,1635232,6.6,711293
139.910102,2368860,10.1,1053832
139.910405,1569721,6.3,1115817
139.910922,2952201,12.9,523515
139.911274,2625016,11.3,1391988
139.911422,2188094,9.3,1306176
139.911957,1654249,6.7,367025
139.912458,2271856,9.7,441513
139.912823,2175347,9.2,900042
139.912948,1537807,6.2,1718782
139.913142,1045986,3.9,2136863
139.913414,2319802,9.9,707307
139.913858,1410854,5.6,574734
139.914077,1462953,5.8,488578
139.914558,3651009,16.2,569573
139.914832,4088153,18.2,596404
139.915073,2908603,12.7,1387567
139.915275,3824930,17,872865
139.915497,2335250,10,1392861
139.915696,4299485,19.2,998380
139.915838,3449479,15.2,1250781
139.916273,3782977,16.8,551448
139.916495,2956532,12.9,1070829
139.916712,3376317,14.9,1036239
139.916863,2510965,10.8,1349632
139.917045,2082199,8.8,1028843
139.917383,3992921,17.8,616547
139.917734,4829827,21.7,1029121
139.917893,2987393,13,1386402
139.918033,2154674,9.1,541213
139.918217,2555095,11,1324794
139.918444,2094397,8.8,1099243
139.918783,4873006,21.9,1019225
139.91934,2276284,9.7,1217977
139.919457,2353462,10,666556
139.919897,2755297,11.9,667080
139.920063,3327878,14.6,951291
139.920245,4213186,18.8,618639
139.920538,3261575,14.3,765681
139.920744,2348851,10,1270969
139.920916,3206356,14.1,950815
139.921111,1467163,5.9,1341933
139.921289,2609856,11.2,1226668
139.921535,2847065,12.4,1485554
139.92179,2163346,9.1,945678
139.922341,1738506,7.1,779873
139.922477,1587746,6.4,1395984
139.92268,2246186,9.5,748716
139.923187,1931221,8,1329677
139.923339,3607233,16,1057640
139.923776,1856063,7.7,494391
139.924338,1182321,4.5,1879630
139.92454,1178337,4.5,901957
139.924976,1496776,6,1155921
