"Inst_blank_0312_neg: 100 scans, H1=0.1, H2=0.5, TOF=0.0009, Q1=250, Ex Amp=8.75, neb=0.5 ",,,,,
Acquired 3/12/2020  9:11 AM,,,,,
#,m/z,I,S/N,Res.,
1,139.088555,489181,3,1230649,
2,139.20498,488551,3,1244673,
3,139.584759,501717,3.1,1157655,
4,140.710772,948839,6.9,1314937,
5,140.74701,491603,3,874028,
6,141.581335,536536,3.4,710554,
7,141.795827,502621,3.1,1505736,
8,141.863503,503263,3.1,1099322,
9,142.140692,488396,3,1242548,
10,142.142488,854068,6.1,1483362,
11,142.98178,501643,3.1,1584751,
12,143.307996,516023,3.2,1113080,
13,145.021705,585763,3.8,539695,
14,146.437845,497631,3.1,995186,
15,147.059971,517797,3.3,834635,
16,147.065806,526951,3.3,876320,
17,147.201292,500676,3.1,1330464,
18,147.253747,488824,3,1344675,
19,147.409158,522858,3.3,1137430,
20,148.034493,488990,3,1347396,
21,148.058045,490341,3,1181502,
22,150.975714,517318,3.3,1263685,
23,151.053465,504658,3.1,1362027,
24,151.133275,688252,4.7,1329185,
25,152.862993,499417,3.1,748833,
26,152.885046,504059,3.1,1226598,
27,153.260546,500793,3.1,1152288,
28,157.222332,494912,3.1,1118933,
29,158.31412,1322066,10,798707,
30,158.481565,552398,3.5,1102662,
31,160.574216,501500,3.1,1033635,
32,160.591479,542284,3.5,1249424,
33,160.636134,496416,3.1,1018740,
34,161.091857,510140,3.2,1013595,
35,161.148533,561804,3.6,1015409,
36,163.785898,571689,3.7,1266892,
37,164.064671,490737,3,1008513,
38,166.414349,487374,3,1016227,
39,166.647037,514511,3.2,925371,
40,166.78054,551671,3.5,972559,
41,166.964988,540232,3.4,960857,
42,167.693333,502194,3.1,1314069,
43,168.191613,527916,3.3,843129,
44,168.982441,492408,3,886900,
45,170.024134,512573,3.2,1007289,
46,170.412098,516616,3.2,1101548,
47,172.357185,550949,3.5,1217520,
48,172.684281,1363208,10.4,1047916,
49,172.736025,635904,4.2,969729,
50,173.365099,500922,3.1,747168,
51,173.820958,487674,3,864408,
52,174.371524,2379223,18.9,1049589,
53,174.47421,488200,3,1088346,
54,177.347818,626745,4.2,1190696,
55,178.392265,501622,3.1,1030207,
56,178.590827,488361,3,1208458,
57,179.174534,524433,3.3,933545,
58,179.336547,496612,3.1,1038719,
59,179.340017,496668,3.1,753432,
60,180.516435,665734,4.5,938286,
61,182.00818,488606,3,847747,
62,182.371828,492356,3,912915,
63,182.434247,490469,3,1021880,
64,182.54895,617863,4.1,1240387,
65,182.848203,507788,3.2,1036312,
66,182.970411,489895,3,954600,
67,184.762883,489024,3,924681,
68,187.014232,612125,4,1062564,
69,187.645717,498283,3.1,745885,
70,188.245876,519480,3.3,1031372,
71,189.448117,935091,6.7,909700,
72,189.69622,512392,3.2,1086445,
73,190.206791,1182468,8.8,841802,
74,191.075124,522489,3.3,943593,
75,194.935946,517787,3.2,1027978,
76,194.959647,495052,3,878160,
77,197.016335,530404,3.3,778621,
78,197.285508,531771,3.4,826022,
79,197.39421,509551,3.2,941765,
80,198.227421,506006,3.1,752512,
81,199.087586,505295,3.1,871412,
82,199.538268,520604,3.3,705722,
83,199.947273,495336,3,959739,
84,204.744008,520781,3.3,766637,
85,205.903752,492850,3,840203,
86,206.530626,558615,3.6,402399,
87,208.648474,521918,3.3,876208,
88,208.926075,532871,3.4,825279,
89,209.319743,520597,3.2,889766,
90,209.511199,507771,3.1,947507,
91,210.128575,529968,3.3,946716,
92,211.42178,540573,3.4,798978,
93,211.576662,514855,3.2,509783,
94,211.616693,494084,3,1018736,
95,211.994735,574289,3.7,874269,
96,212.481012,593218,3.9,904131,
97,212.485382,750787,5.2,1021133,
98,212.486827,809091,5.6,890921,
99,212.488304,790147,5.5,931785,
100,213.479976,519046,3.2,900136,
101,213.972775,521175,3.2,776129,
102,215.34083,630377,4.2,826477,
103,218.688052,493827,3,812670,
104,220.303058,503263,3.1,756773,
105,226.313926,530435,3.3,894053,
106,227.559632,494563,3,637948,
107,228.423419,507444,3.1,869588,
108,228.546083,539929,3.4,674663,
109,231.208986,502479,3.1,546204,
110,231.704179,526354,3.3,392888,
111,235.147846,500759,3.1,872832,
