m/z,I,S/N,Res.
139.146346,858822,3.1,1179539
139.389764,894662,3.2,1083989
140.004994,865149,3.1,1118125
142.033738,903798,3.3,1007102
142.906829,918003,3.3,1302077
144.633598,867551,3.1,1214694
144.729702,864454,3.1,1384569
144.967559,901177,3.3,1505661
145.584193,873176,3.1,1389356
146.17267,869907,3.1,1053767
146.841215,849243,3,1499108
147.677518,851259,3,1100954
148.26025,902979,3.3,902612
148.772013,866535,3.1,1166644
148.888135,857607,3.1,1195283
150.663617,868117,3.1,1327438
150.849194,901012,3.3,1475098
150.857269,896272,3.2,1050006
151.435364,891444,3.2,954004
152.234474,913710,3.3,1471758
153.439294,851001,3,1228237
153.565274,901849,3.3,922397
153.92817,951713,3.5,876991
153.937199,930631,3.4,558468
154.450751,6883110,32.1,1171281
155.007864,899580,3.3,1215566
155.844402,854417,3,887075
155.998464,880300,3.2,1084303
156.623108,863586,3.1,641817
160.317446,861423,3.1,853867
160.949012,853158,3,1272914
161.882926,926342,3.4,530014
162.104943,861270,3.1,1189815
163.112881,956639,3.5,1036587
165.017759,881947,3.2,972320
165.182958,912859,3.3,909532
167.034801,938242,3.4,1027060
167.620763,866181,3.1,953817
168.68319,931676,3.4,1026146
169.125547,867135,3.1,1122761
172.685518,2475440,10.9,1019869
172.68573,1836528,7.8,1182663
172.734922,955697,3.5,1160586
172.79887,851426,3,1138358
174.592488,924889,3.4,920133
176.983909,922544,3.4,790746
178.101427,848213,3,1077615
178.840158,851108,3,830942
179.145446,882058,3.2,550964
179.913105,853163,3,977422
182.828216,875152,3.1,893534
183.42899,853984,3,1058988
183.593912,884212,3.2,803579
185.130862,868143,3.1,1095553
188.460027,860340,3.1,1232051
189.097063,995369,3.7,973375
189.448837,1162869,4.5,1083888
192.524982,893570,3.2,865469
196.428842,892314,3.2,939308
196.844683,860812,3.1,787291
197.277979,1004510,3.7,964752
197.857389,867446,3.1,952843
199.365433,864855,3.1,822987
202.390287,932224,3.4,1251122
203.457847,851186,3,780648
204.875757,854550,3,938553
205.013992,880893,3.1,1139096
206.34586,854590,3,356877
208.220765,904861,3.3,733097
208.938276,897538,3.2,928636
209.550371,911650,3.3,869776
210.952149,921644,3.3,614512
212.178903,869613,3.1,903967
212.757141,999948,3.7,968465
212.798648,931439,3.4,395369
213.637171,908477,3.3,947244
215.089934,856781,3,745794
216.271383,946831,3.5,815991
217.642784,862109,3,1028697
217.924135,871277,3.1,634229
218.827714,917377,3.3,730328
218.872289,907172,3.3,911320
220.139424,880686,3.1,686746
220.619337,896586,3.2,786343
220.637987,889483,3.2,708395
220.847254,935255,3.4,805232
221.123626,883047,3.1,812879
221.159248,1006313,3.7,751627
221.380355,879574,3.1,599456
222.519697,968058,3.5,755815
223.973018,893009,3.2,463005
225.414416,938792,3.4,830252
227.327713,858077,3,873360
231.47188,867775,3.1,650200
232.445518,921628,3.3,765028
234.610938,975908,3.6,735813
235.922596,957752,3.5,657975
236.640352,869605,3.1,779164
242.358904,869907,3.1,647194
244.889897,902582,3.2,861275
246.806825,940337,3.4,514380
247.001764,889853,3.1,635078
249.541596,863585,3,717455
250.514575,922655,3.3,627676
251.695091,891052,3.1,787196
258.216293,868314,3,557003
258.611725,884084,3.1,572199
261.88344,888659,3.1,659964
266.045469,920375,3.2,618285
267.635119,898346,3.1,738169
267.835495,885049,3.1,687885
268.273547,893977,3.1,678381
268.490281,909033,3.2,657774
271.780361,928223,3.2,669020
274.334328,925604,3.2,627429
274.795242,921161,3.2,487365
276.186464,4575032,20.1,681276
277.478445,976416,3.5,573745
279.086462,970533,3.4,594914
279.91738,912363,3.1,714148
279.918102,2167659,8.9,693101
282.043125,925601,3.2,747159
285.633128,904418,3.1,611836
293.066914,912051,3.1,734753
293.103349,1225143,4.5,478324
293.174552,1037374,3.7,846746
293.175429,1611326,6.3,505720
293.176153,3378495,14.4,635069
295.046136,1041410,3.7,381832
295.082678,1327621,5,308368
295.118326,1021833,3.6,645138
295.119028,2085897,8.4,681175
296.005397,976488,3.4,646032
297.025028,964566,3.3,747450
297.061921,1209050,4.4,366865
297.098268,2481630,10.2,551845
297.134611,1484002,5.7,739021
297.153268,3033828,12.8,612030
298.156581,1128531,4.1,764788
299.041128,1190582,4.4,698607
299.077556,1815226,7.2,665069
299.087936,1013179,3.6,623591
299.113832,1800126,7.1,472979
299.15025,1103810,4,673464
301.093214,1546401,6,457580
302.048556,939409,3.2,606189
303.014959,1014661,3.5,354077
303.05035,1020809,3.6,614826
303.05128,1938313,7.7,690267
303.087773,1221005,4.5,689142
305.030594,2020219,8.1,285394
305.065753,908159,3.1,795708
305.066949,2693247,11.2,567019
305.103423,2215044,9,568884
305.139766,1095048,3.9,281957
306.90738,3828583,16.2,575321
307.009861,1696628,6.6,675762
307.046297,3160441,13.2,499666
307.0826,4341630,18.5,298019
307.118283,1269634,4.7,824534
307.119033,3128450,13.1,471354
307.155384,1632391,6.3,290845
307.162579,958984,3.3,458415
307.906973,1022824,3.6,502575
308.880033,970856,3.3,454617
308.896277,1121898,4,187514
309.025559,2579067,10.6,505743
309.061873,5054592,21.7,507092
309.098298,7313029,31.9,538309
309.134657,3509897,14.8,516171
309.170232,1159054,4.2,774040
309.171062,2681230,11,503271
310.065083,969861,3.3,604330
310.101602,1349898,5,594391
311.004884,1105285,3.9,699992
311.041151,3984778,16.9,546085
311.07761,6856591,29.9,502145
311.113939,9130900,40.1,525438
311.150319,2559385,10.5,528380
311.168921,29356956,131.4,527225
311.186795,1180574,4.3,791468
311.330149,963121,3.3,614385
311.885118,1009662,3.4,465345
312.080902,1088281,3.8,616129
312.11741,1519518,5.7,444783
312.172331,5134374,21.7,511030
312.860136,1379718,5.1,605219
313.02041,1063837,3.7,465891
313.035654,1671071,6.4,493669
313.056849,4620962,19.4,503422
313.072227,1318052,4.8,763925
313.09319,7573671,32.5,516095
313.108664,1077545,3.7,556314
313.128366,1630380,6.2,608918
313.129638,6010028,25.6,503337
313.166055,1459377,5.4,597066
314.096525,1141814,4,610373
314.132988,1162811,4.1,459165
314.905672,4296107,18,530918
315.014985,1845946,7.1,492521
315.036035,1623742,6.1,571883
315.051324,2886592,11.7,483744
315.072464,3722691,15.4,373708
315.087683,2028485,7.9,543939
315.10888,4550600,19.1,459902
315.124089,1334986,4.9,604362
315.14522,3021261,12.3,452873
315.181637,1432787,5.3,540010
316.112395,922716,3,570581
316.184868,1092454,3.8,731263
316.832322,1153479,4.1,443559
317.029351,993765,3.4,857702
317.030605,4063461,16.9,534530
317.051852,1653480,6.3,503796
317.066981,4607210,19.4,486459
317.088097,2105069,8.3,566741
317.103393,3491056,14.4,572305
317.124529,1631475,6.2,500847
317.139727,2312949,9.2,591656
318.070407,1138306,4,725946
318.877032,4667391,19.2,524391
319.009846,2694163,10.7,500636
319.0463,6611993,27.7,484009
319.082659,6657055,27.9,500056
319.11906,4933668,20.4,530673
319.15432,1034794,3.5,690338
319.15546,2871850,11.4,517176
320.035911,1061556,3.6,578250
320.049543,1071542,3.6,685974
320.08598,1136828,3.9,383558
320.923087,10420545,44.2,531081
321.025503,5775698,24.1,514532
321.061952,9580887,40.6,524113
321.097196,2416477,9.5,534923
321.098259,8925533,37.7,526935
321.134715,6272355,26.2,469714
321.171045,2721129,10.8,619763
321.922671,2000355,7.7,590187
322.028904,1021940,3.4,769539
322.065224,1827834,6.9,656250
322.101715,1629440,6.1,602937
322.138047,1310214,4.7,507836
322.393221,973103,3.2,442849
322.912074,2782341,11.1,500272
322.919941,1663110,6.2,596620
323.00477,1902996,7.2,565814
323.041217,9267866,39.2,496012
323.056402,1319581,4.7,524590
323.07757,14422688,61.6,520298
323.092849,929699,3,508014
323.113973,12802726,54.6,512776
323.150317,6863533,28.8,533977
323.186728,1359539,4.9,596434
324.044604,1821506,6.9,651110
324.072772,1162311,4,699067
324.080841,2577224,10.2,577863
324.117342,2373455,9.3,561108
324.153674,1436501,5.2,552422
324.917978,1984215,7.6,444320
324.999296,1040741,3.5,599930
325.020401,4336104,17.8,507056
325.035683,2030827,7.8,532030
325.05588,2492910,9.8,343506
325.05685,12979182,55.3,499088
325.068622,1017328,3.4,743570
325.069948,3649521,14.8,531922
325.0721,1655025,6,555397
325.093183,21384180,90.1,489665
325.108534,1440503,5.1,586412
325.128678,2566395,9.9,350762
325.129613,12657659,52.9,496828
325.165937,6065153,24.8,498356
325.184597,55409668,235,490027
325.202324,1309831,4.6,406387
325.722425,945441,3,390582
326.060119,1830300,6.8,550781
326.088412,1138081,3.8,568386
326.095643,1186978,4,687355
326.096574,3530914,14,541289
326.132943,2704041,10.5,556410
326.169349,1190575,4.1,789019
326.187961,11330738,47.3,510797
326.188765,5695667,23.3,600443
326.829072,1233443,4.2,712530
327.014976,2338116,8.9,480790
327.0361,5749064,23.5,488862
327.051431,3589450,14.3,527472
327.067047,1219917,4.2,746199
327.072508,15166798,63.6,521990
327.087712,3177809,12.5,475393
327.108872,18054484,75.9,491086
327.124151,1441623,5.1,506516
327.144171,1876827,7,535334
327.145281,7885147,32.6,520318
327.180372,2097505,7.9,508670
327.181595,2014817,7.6,489551
327.19133,1212515,4.2,596994
327.218038,1149032,3.9,591333
328.075826,2551298,9.9,585428
328.091094,1073924,3.6,574583
328.104136,984071,3.2,548238
328.112277,3037192,11.9,501618
328.148666,1416463,5,550145
328.959015,1074594,3.6,598623
328.994247,1019049,3.3,708068
329.030604,5253807,21.4,528692
329.051744,7466675,30.8,537251
329.067026,5422774,22.1,494205
329.088138,12693178,53.1,508858
329.103358,3796669,15.2,538263
329.123481,1941952,7.3,379348
329.124508,9625280,40,499750
329.139774,2442947,9.4,447919
329.15278,1036486,3.4,566678
329.160931,3900615,15.6,484350
329.17617,1448138,5.2,495273
329.19724,1768910,6.5,512045
329.233703,1376469,4.9,686987
330.070335,1078895,3.6,520119
330.091504,2088563,7.9,484803
330.106814,1168118,4,497183
330.127996,1148794,3.9,591112
330.164241,979841,3.2,612883
330.870659,3632134,14.5,531255
331.009832,3837984,15.3,529719
331.031064,1428260,5.1,607212
331.046286,8773671,36.4,501376
331.059387,1027881,3.4,645468
331.067414,5132331,20.8,499906
331.08267,7321646,30.2,512361
331.103796,5104690,20.7,513571
331.119065,5930037,24.2,540623
331.140224,3565625,14.2,498026
331.155464,3150908,12.4,532663
331.176559,2490432,9.6,526165
331.19178,1457219,5.2,566017
332.04954,1576679,5.6,565010
332.070805,1144299,3.8,607124
332.086033,1501934,5.3,482641
332.122438,1387253,4.8,554700
332.846034,3304833,12.8,524124
333.025561,8091045,32.8,498804
333.061941,12425643,50.9,500580
333.073332,1056942,3.4,610731
333.075035,1075118,3.5,609889
333.083107,2106288,7.8,540804
333.097212,2322354,8.7,489142
333.098337,10437043,42.6,495654
333.111369,1585589,5.6,446317
333.119434,1159991,3.8,495444
333.134678,7031226,28.4,476720
333.15582,1423806,5,535548
333.171116,3898817,15.3,513273
333.207426,1122248,3.7,690678
334.028939,1858667,6.8,553427
334.05714,1436784,5,645587
334.065286,2443378,9.2,512920
334.101707,2290297,8.6,520995
334.13804,1679232,6,602033
334.174585,1121160,3.7,533686
334.84311,2039054,7.5,623256
