V1,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,V10,ppm.1,Intensity.1,Width.1,Area.1,Type.1,Flags.1,Impurity/Compound.1,Annotation.1,V19,ppm.2,Intensity.2,Width.2,Area.2,Type.2,Flags.2,Impurity/Compound.2,Annotation.2,V28,ppm.3,Intensity.3,Width.3,Area.3,Type.3,Flags.3,Impurity/Compound.3,Annotation.3,V37,ppm.4,Intensity.4,Width.4,Area.4,Type.4,Flags.4,Impurity/Compound.4,Annotation.4,V46,ppm.5,Intensity.5,Width.5,Area.5,Type.5,Flags.5,Impurity/Compound.5,Annotation.5,V55,ppm.6,Intensity.6,Width.6,Area.6,Type.6,Flags.6,Impurity/Compound.6,Annotation.6,V64,ppm.7,Intensity.7,Width.7,Area.7,Type.7,Flags.7,Impurity/Compound.7,Annotation.7,V73,ppm.8,Intensity.8,Width.8,Area.8,Type.8,Flags.8,Impurity/Compound.8,Annotation.8,V82,ppm.9,Intensity.9,Width.9,Area.9,Type.9,Flags.9,Impurity/Compound.9,Annotation.9,V91,ppm.10,Intensity.10,Width.10,Area.10,Type.10,Flags.10,Impurity/Compound.10,Annotation.10,V100,ppm.11,Intensity.11,Width.11,Area.11,Type.11,Flags.11,Impurity/Compound.11,Annotation.11,source,V109,ppm.12,Intensity.12,Width.12,Area.12,Type.12,Flags.12,Impurity/Compound.12,Annotation.12,v
1,11.07,0,1.03,0.48,Impurity,None,NA,NA,31,6.27,0,0.78,0.08,Impurity,Weak,NA,NA,61,5.14,0,1.41,0.17,Impurity,Weak,NA,NA,91,4.72,0,2.63,1.28,Compound,None,NA,NA,121,4.26,0.2,1.62,4.4,Compound,None,NA,NA,151,3.62,0,1.81,0.51,Artifact,Weak,NA,NA,181,3.39,0.7,11.3,110.58,Artifact,Weak,NA,NA,211,3.02,0.1,1.92,1.56,Compound,None,NA,NA,241,2.49,23.4,1.5,377.68,Solvent,None,NA,NA,271,2.07,0,1.11,0.2,Compound,Weak,NA,NA,301,1.28,0,2.43,0.36,Impurity,Weak,NA,NA,331,0.85,0.1,2.36,2.87,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10.22,0,1.07,0.1,Impurity,Weak,NA,NA,32,6.26,0,1.69,0.14,Artifact,Weak,NA,NA,62,5.13,0,1.62,0.17,Compound,Weak,NA,NA,92,4.71,0,3.32,0.6,Compound,None,NA,NA,122,4.25,0.2,1.71,5.18,Compound,None,NA,NA,152,3.61,0,1.83,0.95,Artifact,Weak,NA,NA,182,3.26,0.1,2.13,1.88,Artifact,Weak,NA,NA,212,3.01,0.1,2.28,2.76,Compound,None,NA,NA,242,2.41,0,1.32,0.21,Artifact,Weak,NA,NA,272,2.06,0,9.46,3.68,Compound,None,NA,NA,302,1.25,0.1,24.51,40.06,Compound,None,NA,NA,332,0.85,0.1,3.61,5.96,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10.02,0,2.3,0.21,Artifact,Weak,NA,NA,33,6.23,0,2.38,0.23,Artifact,Weak,NA,NA,63,5.12,0,1.73,0.19,Compound,Weak,NA,NA,93,4.69,0,1.29,0.17,Compound,Weak,NA,NA,123,4.23,0,2.1,0.82,Compound,None,NA,NA,153,3.61,0.1,1.81,1.23,Artifact,Weak,NA,NA,183,3.25,0.1,2.35,2.14,Artifact,Weak,NA,NA,213,3,0.1,2.19,1.35,Compound,None,NA,NA,243,2.39,0,3.06,0.49,Artifact,Weak,NA,NA,273,2.04,0,3.3,0.97,Compound,None,NA,NA,303,1.24,0.2,6.52,19.58,Compound,None,NA,NA,333,0.84,0.2,3.63,7.51,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9.66,0,1.77,0.41,Impurity,None,NA,NA,34,6.22,0,1.15,0.14,Compound,Weak,NA,NA,64,5.11,0,7.42,4.23,Compound,None,NA,NA,94,4.66,0,2.78,0.89,Compound,None,NA,NA,124,4.22,0,1.97,0.29,Compound,Weak,NA,NA,154,3.6,0,2.08,1.12,Artifact,Weak,NA,NA,184,3.24,0.1,2.55,2.58,Artifact,Weak,NA,NA,214,3,0,1.71,0.71,Compound,None,NA,NA,244,2.34,0.1,1.35,1.7,Solvent,Weak + C13_Sat,NA,NA,274,2.04,0,1.5,0.25,Compound,Weak,NA,NA,304,1.23,0.2,2.81,7.71,Compound,None,NA,NA,334,0.83,0.1,3.81,4.45,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9.65,0,1.05,0.21,Impurity,Weak,NA,NA,35,6.2,0.2,2.17,5.41,Compound,None,NA,NA,65,5.1,0,6.54,3.54,Compound,None,NA,NA,95,4.65,0,2.16,0.25,Compound,Weak,NA,NA,125,4.21,0,2.77,0.48,Compound,None,NA,NA,155,3.59,0.1,1.92,1.28,Artifact,Weak,NA,NA,185,3.23,0.1,2.59,4.46,Artifact,Weak,NA,NA,215,2.99,0,1.82,0.26,Compound,Weak,NA,NA,245,2.33,0.3,1.69,6.47,Solvent,Weak + C13_Sat,NA,NA,275,2.03,0,2.63,0.82,Compound,None,NA,NA,305,1.21,0,2.39,0.15,Artifact,Weak,NA,NA,335,0.81,0.1,9.39,12.39,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,8.14,0.1,2.41,4.29,Compound,None,NA,NA,36,6.19,0.2,2.13,5.21,Compound,None,NA,NA,66,5.08,0,12.45,2.05,Compound,None,NA,NA,96,4.64,0,4.1,1.17,Compound,None,NA,NA,126,4.18,0,2.1,0.12,Artifact,Weak,NA,NA,156,3.58,0,1.89,1,Artifact,Weak,NA,NA,186,3.22,0.1,3.3,3.19,Artifact,Weak,NA,NA,216,2.98,0,1.86,1.05,Compound,None,NA,NA,246,2.33,0.4,1.57,8.64,Solvent,Weak + C13_Sat,NA,NA,276,2.02,0,7.52,1.43,Compound,None,NA,NA,306,1.2,0,7.46,0.66,Artifact,Weak,NA,NA,336,0.8,0,8.63,5.41,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,8.05,0,0.71,0.06,Artifact,Weak,NA,NA,37,6.16,0,1.36,0.11,Artifact,Weak,NA,NA,67,5.03,0,2.1,0.16,Compound,Weak,NA,NA,97,4.64,0,9.27,1.37,Compound,None,NA,NA,127,4.16,0,0.61,0.06,Impurity,Weak,NA,NA,157,3.58,0.1,1.96,2.79,Artifact,Weak,NA,NA,187,3.22,0.1,1.84,1.34,Artifact,Weak,NA,NA,217,2.96,0,1.59,0.89,Compound,None,NA,NA,247,2.32,0.3,1.76,6.79,Solvent,Weak + C13_Sat,NA,NA,277,2.01,0,3.42,0.84,Compound,None,NA,NA,307,1.16,0,1.61,0.15,Compound,Weak,NA,NA,337,0.79,0,1.66,0.61,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7.99,0,23.8,3.49,Compound,None,NA,NA,38,6.14,0,2.95,0.23,Artifact,Weak,NA,NA,68,5.01,0,9,1.41,Compound,None,NA,NA,98,4.62,0.2,2.45,6.72,Compound,None,NA,NA,128,4.13,0,2.71,0.64,Compound,None,NA,NA,158,3.57,0.1,1.45,1.88,Artifact,Weak,NA,NA,188,3.21,0,2.88,1.33,Artifact,Weak,NA,NA,218,2.96,0.1,1.9,3.05,Compound,None,NA,NA,248,2.32,0.1,1.14,1.24,Solvent,Weak + C13_Sat,NA,NA,278,2,0,1.69,0.39,Compound,None,NA,NA,308,1.15,0.1,3.55,2.37,Compound,None,NA,NA,338,0.78,0,1.9,0.89,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7.95,0,4.32,0.23,Artifact,Weak,NA,NA,39,6.13,0,1.96,0.28,Impurity,Weak,NA,NA,69,5,0,20.22,3.74,Compound,None,NA,NA,99,4.61,0.2,2.32,5.98,Compound,None,NA,NA,129,4.13,0,2.82,0.28,Compound,None,NA,NA,159,3.57,0.2,2.59,6.24,Artifact,Weak,NA,NA,189,3.21,0,1.28,0.71,Artifact,Weak,NA,NA,219,2.95,0.2,1.98,4.79,Compound,None,NA,NA,249,2.31,0,1.39,0.22,Compound,Weak,NA,NA,279,1.98,0,0.86,0.08,Artifact,Weak,NA,NA,309,1.12,0,1.59,0.21,Compound,Weak,NA,NA,339,0.78,0,1.56,0.26,Compound,None,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7.94,0,1.26,0.17,Impurity,Weak,NA,NA,40,6.1,0,1.89,0.15,Impurity,Weak,NA,NA,70,4.97,0,2.69,0.4,Impurity,None,NA,NA,100,4.59,0.2,1.96,5.13,Compound,None,NA,NA,130,4.12,0,2.85,0.99,Compound,None,NA,NA,160,3.56,0.1,2.02,2.82,Artifact,Weak,NA,NA,190,3.2,0.1,47.75,38.67,Artifact,Weak,NA,NA,220,2.95,0.1,1.82,2.9,Compound,None,NA,NA,250,2.3,0,1.41,0.8,Compound,None,NA,NA,280,1.91,1,0.95,10.68,Compound,None,NA,NA,310,1.11,0.2,0.96,2.28,Compound,None,NA,NA,340,0.77,0,2.35,0.26,Compound,Weak,NA,NA,data/nmr_peaks//100.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
