sample_type,tray_no,tray_wt_g,tray_drysoil_g,drysoil_g,perc_saturation,target_grav_moisture_perc,target_water_g,target_tray_soil_water_g,tray_soil_water_g,wp4c_weight_g,MPa,pF,temp,date,mode
soil_bc15,1,24.37,25.69,1.32,0,0,0,25.69,25.69,25.69,-135.26,6.15,24.9,2020-07-01,F
soil_bc15,2,24.44,25.61,1.17,5,7,0.08,25.69,25.72,25.71,-11.6,5.08,24.9,2020-07-01,F
soil_bc15,3,24.51,25.72,1.21,10,14,0.17,25.89,25.94,25.94,-0.91,3.97,24.8,2020-07-01,F
soil_bc15,1,24.37,25.69,1.32,0,0,0,25.69,25.69,25.69,-130.94,6.13,24.9,2020-07-01,P
soil_bc15,2,24.44,25.61,1.17,5,7,0.08,25.69,25.72,25.71,-12.94,5.13,24.9,2020-07-01,P
soil_bc15,3,24.51,25.72,1.21,10,14,0.17,25.89,25.94,25.94,-0.84,3.94,24.9,2020-07-01,P
soil_bc15,5,24.58,26.23,1.65,20,28,0.46,26.69,26.74,26.73,-0.32,3.52,24.9,2020-07-01,P
soil_bc15,6,24.32,25.61,1.29,35,49,0.63,26.24,26.26,26.27,-0.18,3.28,24.9,2020-07-01,P
soil_bc15,7,24.71,26.24,1.53,50,70,1.07,27.31,27.34,27.34,-0.15,3.2,24.9,2020-07-01,P
soil_bc15,8,24.42,25.78,1.36,75,105,1.43,27.21,27.24,27.22,-0.21,3.34,24.9,2020-07-01,P
soil_bc15,9,24.24,25.58,1.34,90,126,1.69,27.27,27.28,27.26,-0.17,3.24,24.9,2020-07-01,P
soil_bc15,10,24.6,26.61,2.01,100,140,2.81,29.42,29.47,29.46,-0.22,3.36,24.9,2020-07-01,P
