deltaH_ppm,deltaH_start,deltaH_stop,moiety,abbrev,group,point_range
2.49,,,DMSO,,,
2.02,,,,acetyl,alkyl,
2.00,,,,acetyl,alkyl,
,1.91,1.97,,methylene,alkyl,range
,2.18,2.25,,methylene,alkyl,range
1.49,,,,methylene,alkyl,
1.62,,,,methylene,alkyl,
1.05,,,,methylene,alkyl,
,1.37,1.43,,methylene,alkyl,
1.27,,,,methylene,alkyl,
0.85,,,,methylene,alkyl,
,0.81,0.84,,methylene,alkyl,
0.82,,,,methyl,,
,1.23,1.25,,methyl,,
