pF [-],Water Content [Vol%],soiltype,treatment
-3,68.32,soil_sand,Wetting
-2.98,68.32,soil_sand,Wetting
-2.96,68.32,soil_sand,Wetting
-2.94,68.32,soil_sand,Wetting
-2.92,68.32,soil_sand,Wetting
-2.9,68.32,soil_sand,Wetting
-2.88,68.32,soil_sand,Wetting
-2.86,68.32,soil_sand,Wetting
-2.84,68.32,soil_sand,Wetting
-2.82,68.32,soil_sand,Wetting
-2.8,68.32,soil_sand,Wetting
-2.78,68.32,soil_sand,Wetting
-2.76,68.32,soil_sand,Wetting
-2.739,68.32,soil_sand,Wetting
-2.719,68.32,soil_sand,Wetting
-2.699,68.32,soil_sand,Wetting
-2.679,68.32,soil_sand,Wetting
-2.659,68.32,soil_sand,Wetting
-2.639,68.32,soil_sand,Wetting
-2.619,68.32,soil_sand,Wetting
-2.599,68.32,soil_sand,Wetting
-2.579,68.32,soil_sand,Wetting
-2.559,68.32,soil_sand,Wetting
-2.539,68.32,soil_sand,Wetting
-2.519,68.32,soil_sand,Wetting
-2.499,68.32,soil_sand,Wetting
-2.479,68.32,soil_sand,Wetting
-2.459,68.32,soil_sand,Wetting
-2.439,68.32,soil_sand,Wetting
-2.419,68.32,soil_sand,Wetting
-2.399,68.32,soil_sand,Wetting
-2.379,68.32,soil_sand,Wetting
-2.359,68.32,soil_sand,Wetting
-2.339,68.32,soil_sand,Wetting
-2.319,68.32,soil_sand,Wetting
-2.299,68.32,soil_sand,Wetting
-2.279,68.32,soil_sand,Wetting
-2.259,68.32,soil_sand,Wetting
-2.238,68.32,soil_sand,Wetting
-2.218,68.32,soil_sand,Wetting
-2.198,68.32,soil_sand,Wetting
-2.178,68.32,soil_sand,Wetting
-2.158,68.32,soil_sand,Wetting
-2.138,68.32,soil_sand,Wetting
-2.118,68.32,soil_sand,Wetting
-2.098,68.32,soil_sand,Wetting
-2.078,68.32,soil_sand,Wetting
-2.058,68.32,soil_sand,Wetting
-2.038,68.32,soil_sand,Wetting
-2.018,68.32,soil_sand,Wetting
-1.998,68.32,soil_sand,Wetting
-1.978,68.32,soil_sand,Wetting
-1.958,68.32,soil_sand,Wetting
-1.938,68.32,soil_sand,Wetting
-1.918,68.32,soil_sand,Wetting
-1.898,68.32,soil_sand,Wetting
-1.878,68.32,soil_sand,Wetting
-1.858,68.32,soil_sand,Wetting
-1.838,68.32,soil_sand,Wetting
-1.818,68.32,soil_sand,Wetting
-1.798,68.32,soil_sand,Wetting
-1.778,68.32,soil_sand,Wetting
-1.758,68.32,soil_sand,Wetting
-1.737,68.32,soil_sand,Wetting
-1.717,68.32,soil_sand,Wetting
-1.697,68.32,soil_sand,Wetting
-1.677,68.32,soil_sand,Wetting
-1.657,68.32,soil_sand,Wetting
-1.637,68.32,soil_sand,Wetting
-1.617,68.32,soil_sand,Wetting
-1.597,68.32,soil_sand,Wetting
-1.577,68.32,soil_sand,Wetting
-1.557,68.32,soil_sand,Wetting
-1.537,68.32,soil_sand,Wetting
-1.517,68.32,soil_sand,Wetting
-1.497,68.32,soil_sand,Wetting
-1.477,68.32,soil_sand,Wetting
-1.457,68.32,soil_sand,Wetting
-1.437,68.32,soil_sand,Wetting
-1.417,68.32,soil_sand,Wetting
-1.397,68.32,soil_sand,Wetting
-1.377,68.32,soil_sand,Wetting
-1.357,68.32,soil_sand,Wetting
-1.337,68.32,soil_sand,Wetting
-1.317,68.32,soil_sand,Wetting
-1.297,68.32,soil_sand,Wetting
-1.277,68.32,soil_sand,Wetting
-1.257,68.32,soil_sand,Wetting
-1.236,68.32,soil_sand,Wetting
-1.216,68.32,soil_sand,Wetting
-1.196,68.32,soil_sand,Wetting
-1.176,68.32,soil_sand,Wetting
-1.156,68.32,soil_sand,Wetting
-1.136,68.32,soil_sand,Wetting
-1.116,68.32,soil_sand,Wetting
-1.096,68.32,soil_sand,Wetting
-1.076,68.32,soil_sand,Wetting
-1.056,68.32,soil_sand,Wetting
-1.036,68.32,soil_sand,Wetting
-1.016,68.32,soil_sand,Wetting
-0.996,68.32,soil_sand,Wetting
-0.976,68.32,soil_sand,Wetting
-0.956,68.32,soil_sand,Wetting
-0.936,68.32,soil_sand,Wetting
-0.916,68.32,soil_sand,Wetting
-0.896,68.32,soil_sand,Wetting
-0.876,68.32,soil_sand,Wetting
-0.856,68.32,soil_sand,Wetting
-0.836,68.32,soil_sand,Wetting
-0.816,68.32,soil_sand,Wetting
-0.796,68.32,soil_sand,Wetting
-0.776,68.32,soil_sand,Wetting
-0.756,68.32,soil_sand,Wetting
-0.735,68.32,soil_sand,Wetting
-0.715,68.32,soil_sand,Wetting
-0.695,68.32,soil_sand,Wetting
-0.675,68.32,soil_sand,Wetting
-0.655,68.32,soil_sand,Wetting
-0.635,68.32,soil_sand,Wetting
-0.615,68.32,soil_sand,Wetting
-0.595,68.32,soil_sand,Wetting
-0.575,68.32,soil_sand,Wetting
-0.555,68.32,soil_sand,Wetting
-0.535,68.32,soil_sand,Wetting
-0.515,68.32,soil_sand,Wetting
-0.495,68.32,soil_sand,Wetting
-0.475,68.32,soil_sand,Wetting
-0.455,68.32,soil_sand,Wetting
-0.435,68.32,soil_sand,Wetting
-0.415,68.32,soil_sand,Wetting
-0.395,68.32,soil_sand,Wetting
-0.375,68.32,soil_sand,Wetting
-0.355,68.32,soil_sand,Wetting
-0.335,68.32,soil_sand,Wetting
-0.315,68.32,soil_sand,Wetting
-0.295,68.32,soil_sand,Wetting
-0.275,68.32,soil_sand,Wetting
-0.255,68.32,soil_sand,Wetting
-0.234,68.32,soil_sand,Wetting
-0.214,68.32,soil_sand,Wetting
-0.194,68.32,soil_sand,Wetting
-0.174,68.32,soil_sand,Wetting
-0.154,68.32,soil_sand,Wetting
-0.134,68.32,soil_sand,Wetting
-0.114,68.32,soil_sand,Wetting
-0.094,68.32,soil_sand,Wetting
