Mass,C,H,O,N,C13,S,P,Na,El_comp
139.3136878,0,0,0,0,0,0,0,0,
139.3197087,0,0,0,0,0,0,0,0,
139.3221646,0,0,0,0,0,0,0,0,
139.3322997,0,0,0,0,0,0,0,0,
139.3324533,0,0,0,0,0,0,0,0,
139.3452822,0,0,0,0,0,0,0,0,
139.3695581,0,0,0,0,0,0,0,0,
139.3757623,0,0,0,0,0,0,0,0,
139.389674,0,0,0,0,0,0,0,0,
139.4013973,0,0,0,0,0,0,0,0,
139.4047833,0,0,0,0,0,0,0,0,
139.478152,0,0,0,0,0,0,0,0,
139.4966037,0,0,0,0,0,0,0,0,
139.498413,0,0,0,0,0,0,0,0,
139.5275666,0,0,0,0,0,0,0,0,
139.5303536,0,0,0,0,0,0,0,0,
139.540204,0,0,0,0,0,0,0,0,
139.5495974,0,0,0,0,0,0,0,0,
139.567222,0,0,0,0,0,0,0,0,
139.5869269,0,0,0,0,0,0,0,0,
139.5941849,0,0,0,0,0,0,0,0,
139.615638,0,0,0,0,0,0,0,0,
139.6176048,0,0,0,0,0,0,0,0,
139.7325337,0,0,0,0,0,0,0,0,
139.7461392,0,0,0,0,0,0,0,0,
139.7756672,0,0,0,0,0,0,0,0,
139.7828103,0,0,0,0,0,0,0,0,
139.7898593,0,0,0,0,0,0,0,0,
139.7938493,0,0,0,0,0,0,0,0,
139.7955637,0,0,0,0,0,0,0,0,
139.8019537,0,0,0,0,0,0,0,0,
139.8076903,0,0,0,0,0,0,0,0,
139.8311987,0,0,0,0,0,0,0,0,
139.8321258,0,0,0,0,0,0,0,0,
139.8407997,0,0,0,0,0,0,0,0,
139.8458193,0,0,0,0,0,0,0,0,
139.8461537,0,0,0,0,0,0,0,0,
139.8462417,0,0,0,0,0,0,0,0,
139.8466241,0,0,0,0,0,0,0,0,
139.8521517,0,0,0,0,0,0,0,0,
139.8532182,0,0,0,0,0,0,0,0,
139.8547592,0,0,0,0,0,0,0,0,
139.8589027,0,0,0,0,0,0,0,0,
139.8591389,0,0,0,0,0,0,0,0,
139.8593443,0,0,0,0,0,0,0,0,
139.87016,0,0,0,0,0,0,0,0,
139.871494,0,0,0,0,0,0,0,0,
139.8717197,0,0,0,0,0,0,0,0,
139.8721238,0,0,0,0,0,0,0,0,
139.872808,0,0,0,0,0,0,0,0,
139.8761372,0,0,0,0,0,0,0,0,
139.8768152,0,0,0,0,0,0,0,0,
139.8774302,0,0,0,0,0,0,0,0,
139.8800492,0,0,0,0,0,0,0,0,
139.8818147,0,0,0,0,0,0,0,0,
139.8823312,0,0,0,0,0,0,0,0,
139.8828542,0,0,0,0,0,0,0,0,
139.883624,0,0,0,0,0,0,0,0,
139.8844167,0,0,0,0,0,0,0,0,
139.8846572,0,0,0,0,0,0,0,0,
139.8848043,0,0,0,0,0,0,0,0,
139.8849116,0,0,0,0,0,0,0,0,
139.8852046,0,0,0,0,0,0,0,0,
139.8857704,0,0,0,0,0,0,0,0,
139.8866776,0,0,0,0,0,0,0,0,
139.8868946,0,0,0,0,0,0,0,0,
139.8871376,0,0,0,0,0,0,0,0,
139.8874728,0,0,0,0,0,0,0,0,
139.8887432,0,0,0,0,0,0,0,0,
139.888879,0,0,0,0,0,0,0,0,
139.8890654,0,0,0,0,0,0,0,0,
139.8892942,0,0,0,0,0,0,0,0,
139.8895082,0,0,0,0,0,0,0,0,
139.8896078,0,0,0,0,0,0,0,0,
139.8900192,0,0,0,0,0,0,0,0,
