m/z,I,S/N,Res.
184.126985,2236384,9.6,1290267
184.132244,970330,3.5,1534249
184.134467,1844436,7.7,1166899
184.135382,860094,3,1386419
184.13669,1059686,4,532936
184.138029,1213123,4.7,1639600
184.139008,916006,3.3,814518
184.140235,1619995,6.6,1111128
184.141117,1200200,4.6,1510103
184.146634,2562245,11.1,1104745
184.146908,1138399,4.3,1320151
184.147638,984535,3.6,1493550
184.147793,1075155,4,1969843
184.148733,1507113,6.1,1263957
184.149911,874490,3.1,1036082
184.151236,1374571,5.5,1027607
184.152175,1784788,7.4,1387189
184.153246,1391947,5.5,818694
184.15436,1024926,3.8,1247420
184.156629,1230307,4.8,999984
184.157222,976974,3.6,1986001
184.157382,1314556,5.2,1776844
184.15764,5159758,23.5,1218721
184.157816,924000,3.3,3594233
184.158051,1111090,4.2,1273902
184.158717,2381361,10.3,1073154
184.159194,1004486,3.7,856882
184.15985,5599787,25.6,921336
184.161007,6997829,32.2,1143460
184.161205,1741105,7.2,1307751
184.162051,6322641,29,902650
184.162821,1456415,5.9,1384537
184.163159,4840016,22,1645025
184.163289,3782901,16.9,1771289
184.163448,2174154,9.3,568289
184.164118,4541553,20.5,1218657
184.164297,8688903,40.3,1227029
184.164491,2098255,8.9,1774817
184.164668,1649953,6.8,1397074
184.16498,1452014,5.8,1600653
184.165426,12456774,58.2,1215757
184.165625,5953908,27.3,1416994
184.165977,2721524,11.9,1450205
184.166267,3184076,14.1,950530
184.166519,14722247,69,911403
184.167092,3188736,14.1,1243391
184.167396,3341656,14.8,2055706
184.167569,20388756,96,1257128
184.167925,4373376,19.7,1116718
184.168082,2317695,10,2895290
184.168224,3937723,17.7,707031
184.168487,2639584,11.5,1418550
184.168737,17893496,84.1,1152409
184.169428,1977027,8.3,1668618
184.16963,1814641,7.6,2170231
184.169772,9120133,42.4,1384059
184.170039,2295192,9.8,1419515
184.170426,1764659,7.3,1195933
184.170951,4563492,20.7,832052
184.171426,1108978,4.2,920969
184.172031,11439338,53.4,976925
184.172791,1384365,5.5,1029076
184.173132,4217109,19,1265043
184.173309,2023696,8.6,1574295
184.174252,5240706,23.9,1267729
184.174429,1340316,5.3,1801375
184.175292,2746171,12,1377580
184.17549,1468926,5.9,1471433
184.176417,4924355,22.4,1066242
184.176946,1017105,3.8,1286352
184.177523,2139163,9.1,1049441
184.1808,1955028,8.2,945778
184.18191,1538254,6.2,1311812
184.183055,2196891,9.4,1272023
184.184164,1173567,4.5,1351593
184.185272,1103220,4.2,2019077
184.185449,868377,3,971486
184.186411,1541943,6.3,620246
184.187464,1564491,6.4,1196789
184.189722,974265,3.6,1188302
184.193055,861231,3,521174
184.194142,1035743,3.8,1080224
184.196303,1433779,5.7,927170
184.196586,1113838,4.2,1276776
184.198532,1392461,5.5,1176285
184.199691,1895720,7.9,1480585
184.201825,1240352,4.8,1302532
184.208451,1034971,3.8,924323
184.209546,1305637,5.1,1360983
184.220595,1223640,4.7,1100379
184.221698,988675,3.6,1079181
184.222864,861283,3,482006
184.223927,1139046,4.3,1412415
184.230594,1335437,5.3,1175620
184.232787,1019471,3.8,901104
184.2429,861619,3,571268
184.250214,1091091,4.1,1213508
184.251288,981378,3.6,1617690
184.253743,898152,3.2,657330
184.256024,917877,3.3,834054
184.264827,876450,3.1,1076657
184.265975,867878,3,1310415
184.26707,1012111,3.7,492502
184.275906,1077584,4,1285485
184.276998,879091,3.1,1846858
184.309098,938422,3.4,1014800
185.215739,996380,3.7,964490
