m/z,I,S/N,Res.
317.13965,994958,3.5,351303
319.044027,972458,3.4,856844
319.046138,1901227,7.7,690446
319.082562,1989806,8.1,681462
319.118935,1614769,6.4,550623
319.155287,1460788,5.7,938843
320.92293,3541957,15.2,564994
321.025454,1871310,7.6,798833
321.061754,3023313,12.9,749199
321.098209,3139284,13.4,695801
321.134525,2635735,11.1,602994
322.387435,901502,3.1,727706
323.041095,2263924,9.4,645730
323.07747,4070263,17.7,631478
323.113828,4266619,18.6,644288
323.150225,2245758,9.3,669628
324.117148,1123918,4.1,789050
325.056727,4108572,17.8,632114
325.092096,1520927,5.9,536680
325.093142,6570271,29.1,611259
325.12947,4984610,21.8,658444
325.165915,1221029,4.5,667320
325.183295,1319334,5,373010
325.18452,5845287,25.8,620969
326.096478,1539443,6,802722
326.13274,915446,3.1,796357
326.187868,1403514,5.4,687227
326.759728,1660074,6.6,723103
327.035913,1556033,6.1,724673
327.051255,1158850,4.3,908490
327.072385,3784132,16.3,606167
327.08778,1101637,4,923715
327.108775,6193607,27.4,667709
327.145175,2687690,11.3,650460
327.839701,946372,3.3,732162
328.11208,1041307,3.7,705202
328.22434,1192229,4.4,704251
328.28792,928810,3.2,805359
328.703587,947021,3.3,813076
328.75685,1640785,6.4,366485
329.030581,1073640,3.8,799932
329.051696,1853802,7.4,558447
329.066878,1321963,5,441177
329.08804,3114605,13.2,584235
329.103204,1054574,3.8,720841
329.124424,2615408,10.9,529683
329.160819,1401843,5.3,803596
330.189949,950090,3.3,708056
330.203676,2321227,9.6,553657
331.046038,1790482,7.1,810991
331.067355,1226771,4.5,375623
331.082602,1987861,8,404067
331.095681,956566,3.3,976449
331.103701,1317783,5,880574
331.118861,2065944,8.4,652533
331.139941,1093594,3.9,657554
333.025473,1350201,5.1,701090
333.061871,2700988,11.3,713356
333.098198,2588735,10.8,583815
333.134636,2370498,9.8,672817
333.170937,1589189,6.2,629659
334.101583,943956,3.2,750055
334.938668,1426395,5.4,770793
335.039854,923427,3.1,654143
335.041106,3243108,13.7,628412
335.076556,975975,3.4,468536
335.077486,3970151,17,626875
335.11387,4013674,17.2,636454
335.149069,992493,3.5,960121
335.150219,2683245,11.2,649750
335.190151,915952,3.1,750176
336.117309,969151,3.4,720699
337.020369,1190668,4.4,555475
337.05549,961039,3.3,411597
337.056762,4036367,17.3,556548
337.092087,1356818,5.1,762313
337.093142,5954322,26.1,607024
337.12955,5914901,25.9,570388
337.165917,2491928,10.3,543097
338.13293,1116427,4,453972
338.443616,983493,3.4,529324
338.933575,6825391,30,636197
339.036011,2738616,11.4,660561
339.072423,6414779,28.2,584802
339.107695,1162878,4.2,535320
339.108792,8112062,35.9,604879
339.145152,4374209,18.8,516104
339.181592,1547076,6,655975
339.200147,2105286,8.5,755869
339.351259,934995,3.2,747002
339.93313,1465604,5.6,760867
340.075838,1284113,4.8,699645
340.112094,1342804,5,514901
340.14858,1234071,4.5,830564
340.224404,956957,3.3,761980
340.930587,1005274,3.5,828252
341.050084,931172,3.2,941980
341.051652,3712100,15.8,544828
341.066967,1193574,4.4,620940
341.086784,1349223,5.1,824100
341.088055,7906408,34.8,580485
341.103287,1006377,3.5,596987
341.124418,6865003,30.1,574035
341.160824,3297646,13.9,563832
341.197125,942961,3.2,965193
342.091485,1294142,4.8,531090
342.127809,1546049,6,679137
342.240066,1427658,5.4,679394
343.031035,937998,3.2,662857
343.04623,1553296,6,656804
343.067302,4006161,17.1,584495
343.082543,1576723,6.1,682693
343.103741,6168341,27,597310
343.118972,1217558,4.5,701745
343.140103,3751704,16,598187
343.155248,911257,3.1,634107
343.176413,1214491,4.5,779136
343.199024,1323933,5,491221
343.212912,939934,3.2,558316
344.10709,1001131,3.5,648306
344.182926,900977,3,748735
344.219336,1321845,4.9,666999
344.759301,1397667,5.3,650013
345.025522,1425594,5.4,596475
345.046714,978108,3.4,729937
345.061823,2485181,10.2,575301
345.082964,2358463,9.6,633930
345.098209,2319040,9.4,582124
345.119397,2145218,8.6,643570
345.134601,2331075,9.5,656024
345.155727,1132229,4.1,731157
345.170983,1554375,6,889323
345.178209,1146951,4.1,746205
346.757158,1453136,5.5,386512
347.041134,3462248,14.6,629051
347.077493,3613547,15.3,564339
347.113899,3742319,15.9,574414
347.15028,3460722,14.6,621706
347.186645,1557621,6,641704
349.020421,2058516,8.3,689815
