m/z,I,S/N,Res.
123.121345,870072,3.2,686128
123.187215,932375,3.5,1430454
124.551373,868644,3.1,1308125
124.627549,860249,3.1,1195384
124.953999,915343,3.4,1458724
125.126799,843366,3,788629
125.630222,859216,3.1,1151445
126.437083,843831,3,1216546
126.676057,866522,3.1,1113335
126.764175,851313,3.1,1152846
129.049253,863754,3.1,1157904
129.116933,894489,3.3,1141039
129.341224,2343524,10.3,1237151
130.905181,934829,3.5,1163640
131.472848,874810,3.2,1170649
132.642458,874431,3.2,1225948
133.187195,840355,3,1253475
133.582358,875298,3.2,835425
133.900234,916413,3.4,1210632
133.96759,855699,3.1,983519
134.66687,855167,3.1,891774
135.075551,887678,3.2,1056829
136.703822,865425,3.1,1271029
136.704766,861821,3.1,1031489
136.860985,874008,3.2,847858
137.861716,872666,3.2,722136
137.939943,920270,3.4,960024
138.094983,903833,3.3,1145449
139.289862,840618,3,817649
139.307749,895020,3.3,869440
139.776252,885086,3.2,1172730
140.250027,878800,3.2,921951
141.264066,1018650,3.9,1129040
141.265814,950002,3.5,689873
141.486551,1276534,5.1,529364
142.083268,917985,3.4,1063389
142.15088,854969,3.1,971025
143.194058,841990,3,939149
144.117041,865868,3.1,1055093
145.797247,907981,3.3,1106081
146.129225,910775,3.3,916411
146.838517,856949,3.1,1048616
147.339073,852818,3.1,997455
147.8139,909655,3.3,546850
148.024301,851761,3.1,1118367
148.128697,902115,3.3,953326
149.158232,851777,3.1,1073779
149.285699,855890,3.1,1333119
150.324642,1602420,6.7,987083
151.356113,962920,3.6,958957
152.311897,847614,3,1010809
152.487837,850066,3.1,1111119
152.959859,928351,3.4,902341
153.427265,1299483,5.2,1170886
154.208703,900962,3.3,1079189
157.591015,901401,3.3,1078506
158.323991,894279,3.3,1127427
159.227284,951581,3.5,878694
160.065948,855955,3.1,1089255
160.351358,897121,3.3,976523
160.613417,842189,3,993333
160.977262,847631,3,804707
162.018021,1017539,3.9,852192
162.975962,854285,3.1,658145
165.251777,844996,3,1017961
165.846077,842823,3,922403
166.110619,916727,3.4,810157
166.180875,880827,3.2,936089
167.722781,887130,3.2,984914
168.156629,882422,3.2,925213
169.470584,843179,3,881531
169.551584,876017,3.2,913988
169.673923,938681,3.5,741329
173.77417,937432,3.5,648332
174.371318,3442372,15.6,931496
177.647366,882685,3.2,1004352
178.299476,896688,3.2,1027783
179.342826,1971266,8.4,973984
180.071598,893820,3.2,1022018
181.592911,849207,3,795426
183.064309,881359,3.2,839640
183.069807,861424,3.1,973143
183.893676,865524,3.1,794817
185.366998,856526,3,737509
186.503912,954573,3.5,891550
187.665193,868335,3.1,1003686
190.668956,855661,3,973722
190.914623,976129,3.6,846587
191.435515,877581,3.1,710697
191.621279,876733,3.1,753204
191.861166,853521,3,1099171
195.988919,851628,3,943500
199.719623,878174,3.1,648428
202.130348,911775,3.3,718350
202.648311,852807,3,608093
206.937739,935500,3.4,815893
210.1472,874607,3.1,888557
212.089243,854961,3,529919
218.742002,968324,3.5,697211
218.812281,903112,3.2,806433
220.051635,883982,3.1,661360
222.131146,906049,3.2,795650
222.196518,865156,3,736831
222.767129,907363,3.2,838056
225.797473,911428,3.3,601321
231.800039,910206,3.2,656949
232.977171,916604,3.3,756204
234.497646,863692,3,666273
235.493821,862530,3,460611
237.306733,931301,3.3,607504
238.929459,876607,3.1,629283
239.169896,886861,3.1,842551
240.533806,875163,3.1,769256
241.187519,883137,3.1,725819
241.69515,930655,3.3,672884
242.345838,881478,3.1,624260
245.697713,870486,3,707404
247.840951,881636,3.1,736112
252.872767,870993,3,645803
253.836029,867933,3,542742
256.295673,944616,3.4,693037
257.283448,871165,3,531439
257.448458,955724,3.4,652387
258.428168,887716,3.1,665606
258.5224,1272620,4.9,568044
259.305992,890740,3.1,710418
260.943384,873617,3,332048
261.017343,960280,3.4,489595
261.361389,887226,3.1,591959
262.101701,936452,3.3,690575
262.874254,895059,3.1,649962
266.40312,927955,3.3,634793
268.807463,950001,3.4,569327
269.093639,885908,3.1,628079
271.937121,958083,3.4,492549
274.971834,1356329,5.2,716929
275.092754,986682,3.5,683101
277.108344,1486435,5.8,535824
278.345258,883359,3,487884
279.087546,1621906,6.4,608546
279.12403,1169943,4.3,581617
279.917398,35745044,162.5,393323
279.918006,93687064,427.6,571929
280.182577,906174,3.1,587337
280.91741,1970356,7.9,568884
280.921372,2255796,9.3,601314
281.030483,986566,3.4,633079
281.066881,1523148,5.9,677386
281.103199,1490385,5.8,246283
281.139634,1485527,5.7,672328
281.91384,9250389,41.3,579211
281.922386,995798,3.5,640237
283.046157,943120,3.2,701580
283.082613,1767446,7,534653
283.118971,1581340,6.2,260957
283.155319,1099426,4,450419
284.366264,904941,3.1,484286
285.040568,1204832,4.4,600984
285.061871,1192292,4.4,648251
285.098145,1331306,5,576229
285.134456,937072,3.2,622010
287.019938,1177271,4.3,654164
287.056344,1553853,6,568621
287.113765,1009096,3.5,560167
287.885982,918352,3.1,556318
288.987508,1909012,7.6,348781
289.035557,1832733,7.3,547605
289.071893,1506084,5.8,577734
289.108328,1368362,5.1,677012
291.01485,1154436,4.2,624028
291.051289,1599115,6.2,487883
291.079141,907024,3.1,631684
291.087643,2620562,10.8,592388
291.123955,1810328,7.2,345048
291.160438,1246623,4.6,777046
293.030538,1369594,5.1,301910
293.066919,2573825,10.5,552081
293.103259,2889735,12,470054
293.139031,1313038,4.9,650216
293.139682,1607694,6.2,637522
293.176077,2753557,11.3,312206
293.179398,1086742,3.8,730797
294.179423,1004242,3.5,632168
295.046123,1700726,6.6,272205
295.082524,3121533,13,298789
295.118958,4065668,17.2,281896
295.155328,1521291,5.8,600255
295.52233,927441,3.1,368255
296.360639,919665,3.1,426220
297.040669,974964,3.3,472329
297.061797,2553593,10.4,524532
297.098225,4296960,18.3,536908
297.134602,2921735,12.1,428522
297.153235,36780300,164.5,509740
298.156589,6881741,29.7,331700
299.040914,1140217,4,382098
299.05577,1048188,3.6,852331
299.056351,1443964,5.4,732466
299.077489,2414209,9.7,527711
299.092272,910851,3,302001
299.113854,2686600,10.9,484329
299.149038,1572751,6,476329
299.150173,1952911,7.7,590001
301.035621,1692418,6.5,526593
301.056678,1143302,4,580104
301.072064,1360649,5,306388
301.093146,1807117,7,249775
301.108363,1063697,3.7,270045
301.129542,1574165,6,479339
301.165896,1219356,4.4,625585
303.014957,1115020,3.9,509519
303.051242,2283155,9.1,408011
303.087614,3078554,12.7,577362
303.124084,1856930,7.2,580287
303.145111,1035174,3.6,482279
303.160439,1350569,5,264377
305.030617,2169633,8.6,460866
305.065768,1185576,4.2,659115
305.066856,3489064,14.4,439402
305.103316,3485999,14.4,498645
305.139557,2385719,9.5,473941
306.106653,1289210,4.7,529202
306.656917,2106985,8.3,521611
306.907337,2565276,10.3,552339
307.009825,1314993,4.8,470414
307.046195,3337400,13.7,494031
307.082523,4917440,20.7,500387
307.118939,4996295,21.1,526957
307.155287,2924750,11.9,495574
307.158799,1223119,4.4,215517
307.732995,1005380,3.4,467982
309.025459,1869899,7.2,556719
309.061808,3763794,15.6,459274
309.09823,6430298,27.4,501169
309.134549,5017185,21.1,431450
309.153153,1272165,4.6,670126
309.17099,1949288,7.6,534376
309.174295,1325417,4.8,622081
310.065179,1047839,3.6,629458
310.101604,1109286,3.9,362651
310.137658,958254,3.2,380860
310.173767,936245,3.1,634431
311.041062,2108390,8.2,396480
311.056356,1604330,6,509969
311.07746,5434350,22.8,499843
311.092845,939249,3.1,509144
311.113845,7490549,31.8,478049
311.150219,3289085,13.4,452312
311.168859,88876032,388.7,467355
312.11714,1720771,6.5,487300
312.153456,986314,3.3,521536
312.172187,16618702,71.8,472715
313.020329,1060988,3.6,598300
313.035582,2072959,8,508070
313.056749,3054467,12.3,484950
313.072023,1848710,7.1,281396
