m/z,I,S/N,Res.
123.324584,851763,3.1,760864
124.017475,867341,3.2,1188186
124.171473,836621,3,1015596
124.21792,846910,3.1,1253022
124.879098,924362,3.4,1395908
126.060536,836800,3,1394317
126.478217,861400,3.1,1270684
126.597246,1034439,4,1156983
126.934441,844101,3,1473433
127.744048,1022518,3.9,891253
129.422175,858500,3.1,1031768
130.228121,836659,3,1328533
131.118905,900956,3.3,1208152
131.724678,843515,3,1085965
132.267119,840752,3,1220183
132.475829,844581,3,1338437
133.431451,1581845,6.6,1259242
134.837506,845150,3,866832
135.228033,839671,3,1093275
135.465125,850252,3.1,749255
135.738505,868553,3.2,1378500
135.75206,840361,3,1229660
135.988981,897886,3.3,953725
136.056916,918458,3.4,1088651
136.106595,851921,3.1,1362364
136.229174,838748,3,1379260
136.705994,882219,3.2,1328506
136.708286,953655,3.6,490841
137.686696,840213,3,387611
138.732139,889233,3.3,1025210
139.071914,915126,3.4,851212
141.262877,859784,3.1,1383719
141.263838,961424,3.6,1148218
141.486664,842471,3,1045443
141.888055,940719,3.5,1389668
142.615327,865311,3.1,1111833
144.792918,884464,3.2,1164106
145.876292,859682,3.1,911162
146.449426,881977,3.2,1054224
148.361895,861305,3.1,881335
150.094115,854988,3.1,735492
150.549328,897410,3.3,906952
153.06329,866071,3.1,1156754
153.331295,1254659,5,1018995
153.427279,1352535,5.5,858147
153.510359,905659,3.3,1107954
153.598821,855183,3.1,1257589
153.8699,857659,3.1,610166
153.960989,859488,3.1,996494
154.280415,911599,3.4,997263
156.141793,885988,3.2,756255
156.193059,859351,3.1,884659
156.543519,880188,3.2,938747
157.901816,844465,3,1020777
158.022865,918537,3.4,858406
158.622559,848402,3,988620
158.818573,844928,3,946769
160.204626,903604,3.3,609544
160.528736,940861,3.5,988328
162.293128,882122,3.2,859661
163.500939,884194,3.2,917780
164.543604,876111,3.2,961306
166.414931,851199,3,483151
166.888136,881741,3.2,913688
167.41466,842177,3,883531
169.799706,842679,3,881699
170.797343,884418,3.2,750225
171.249013,860883,3.1,872009
172.533702,929825,3.4,793569
173.690456,857476,3.1,883032
174.060306,846575,3,1007809
174.640828,845010,3,941790
175.253274,862121,3.1,438446
175.348098,855684,3.1,1116756
175.677714,874571,3.1,955603
178.446411,873110,3.1,928628
179.379535,851720,3,861702
179.668193,860939,3.1,800297
180.114657,849154,3,956476
182.338118,879158,3.2,732616
191.369434,859547,3,430840
191.665099,923040,3.3,845861
192.785356,855496,3,700671
196.271073,892807,3.2,921511
197.088712,903750,3.2,620239
202.177442,860372,3,684794
202.645618,856965,3,684569
206.21246,873313,3.1,776855
207.758143,872044,3.1,872394
207.961808,867774,3.1,741099
208.516595,871405,3.1,772384
209.595963,863558,3,792453
210.332379,866336,3,618270
212.783868,912180,3.3,714003
213.18549,870415,3.1,573705
222.988066,865428,3,744004
233.883537,955511,3.4,551631
240.817678,880053,3.1,599162
240.931586,938809,3.4,668422
241.292165,896067,3.1,659408
243.482268,884996,3.1,789604
244.087278,866454,3,680448
244.54151,948645,3.4,612437
245.834571,929935,3.3,609728
247.409758,914629,3.2,562052
250.804638,899977,3.2,665841
263.123657,872288,3,668547
264.867484,967153,3.4,537697
266.804071,1179553,4.4,664193
267.087494,935356,3.3,742141
267.363176,880982,3,632673
267.627333,913008,3.2,593027
268.801094,2329960,9.8,600924
270.798113,1642817,6.5,685885
274.971785,1568835,6.2,695508
275.019818,989513,3.5,799345
275.056272,1282126,4.8,645309
275.092595,936275,3.2,692004
277.035491,1141468,4.2,407892
277.071942,1466209,5.7,540571
278.825251,933341,3.2,559374
279.051128,1515902,5.9,609818
279.086982,1000579,3.5,792404
279.087608,1563267,6.1,649896
279.123933,1663113,6.6,567151
279.917382,6452479,28.5,355073
279.917979,17595648,79.5,561765
280.841581,986508,3.4,602015
281.030404,1192361,4.4,792579
281.066845,1820079,7.3,648926
281.102582,1208757,4.5,433194
281.103223,1570229,6.1,628550
281.139603,1637050,6.4,323935
281.913761,1610804,6.3,703815
283.046035,894184,3,666156
283.061323,1050347,3.7,705156
283.082485,1863662,7.5,307830
283.118904,1739508,6.9,636222
285.061728,973108,3.4,771654
285.098087,1158970,4.2,624838
286.024824,903255,3,558311
286.924997,903153,3,638777
287.056379,1235080,4.5,567582
287.092626,1080719,3.8,659474
289.035517,1121509,4,207414
289.071904,1571051,6.1,491979
289.108316,1490162,5.7,726057
291.014889,971851,3.3,706387
291.05124,2244689,9.1,599076
291.087585,1878616,7.5,278088
291.123985,1511007,5.8,538933
292.891653,1955239,7.8,279315
293.03043,1621185,6.2,615012
293.066903,2779080,11.5,565729
293.103258,3155918,13.2,574599
293.139642,1374933,5.1,591693
293.176044,11439580,50.5,537404
293.179509,900957,3,319952
293.891115,929379,3.1,641313
294.179332,2198682,8.9,269922
294.474785,906194,3,534597
295.046093,2533183,10.4,577911
295.082477,3431750,14.4,475469
295.1189,4430669,18.9,298142
295.155182,1182804,4.3,553595
297.061776,2928837,12.1,289550
297.098194,3815628,16.1,286319
297.134535,3221715,13.5,318462
297.153189,5809367,25.1,273166
299.01989,1036805,3.6,426705
299.041037,1110090,3.9,618482
299.056295,1576525,6,709873
299.077475,2751057,11.2,540954
299.092662,943380,3.2,394095
299.113832,3198040,13.2,575960
299.150178,1392991,5.2,532644
301.035565,1874135,7.3,467189
301.072012,1895902,7.4,403985
301.093028,1896418,7.4,489716
301.108331,1367781,5.1,351820
301.129456,1327082,4.9,499635
301.144755,1097965,3.9,538238
301.165806,1132785,4,680949
303.014756,1293926,4.7,641690
303.051187,2827629,11.6,462195
303.087568,3072372,12.7,612264
303.12403,1984380,7.8,564690
303.145116,1008768,3.5,550476
303.160313,965507,3.3,735824
305.030475,2714879,11,571226
305.066904,3574023,14.8,427945
305.103272,3098894,12.7,433593
305.139688,2082582,8.2,362792
306.506117,976173,3.3,642120
306.657148,1692748,6.5,697492
306.907277,9767039,42.3,480434
307.009628,1107604,3.9,535158
307.046168,3218076,13.2,272725
307.082507,4869283,20.5,490646
307.118911,4365483,18.3,494457
307.15528,2127538,8.4,551148
307.906849,2666317,10.8,569099
308.085822,932721,3.1,705779
